# Area: Botswana
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  -22.33   Longitude 24.68 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 997.17 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DWN,1981,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1982,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1983,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1984,26.52,24.58,19.24,17.85,15.31,15.63,17.27,20.62,24.64,21.17,23.22,25.33,20.93
ALLSKY_SFC_SW_DWN,1985,25.82,24.08,21.52,18.39,16.01,14.57,15.89,18.6,23.38,25.18,26.71,24.0,21.16
ALLSKY_SFC_SW_DWN,1986,26.1,23.83,20.45,15.58,16.02,14.78,16.73,19.27,22.01,22.3,25.61,26.38,20.74
ALLSKY_SFC_SW_DWN,1987,27.1,24.33,21.69,18.09,15.23,15.07,16.2,19.67,20.17,22.47,23.81,25.22,20.74
ALLSKY_SFC_SW_DWN,1988,26.65,21.36,21.72,17.96,16.43,14.67,15.66,21.23,22.17,25.17,25.92,24.14,21.1
ALLSKY_SFC_SW_DWN,1989,23.24,21.73,23.63,17.79,17.8,14.46,17.15,18.66,23.88,26.33,26.34,27.95,21.59
ALLSKY_SFC_SW_DWN,1990,26.32,24.03,20.23,19.28,17.41,16.13,16.2,21.38,24.76,25.6,26.69,26.41,22.03
ALLSKY_SFC_SW_DWN,1991,23.88,24.33,19.95,21.25,17.76,15.23,15.57,21.49,23.76,24.87,26.9,24.39,21.59
ALLSKY_SFC_SW_DWN,1992,28.01,26.29,22.09,18.31,16.01,15.11,15.22,21.76,23.92,24.55,26.01,25.62,21.9
ALLSKY_SFC_SW_DWN,1993,26.36,21.6,22.34,18.18,16.15,13.89,15.75,21.39,23.43,23.11,24.88,27.4,21.22
ALLSKY_SFC_SW_DWN,1994,23.33,24.86,24.82,20.66,18.21,15.42,16.84,22.2,24.59,26.81,24.04,28.31,22.5
ALLSKY_SFC_SW_DWN,1995,28.09,25.5,21.09,20.88,17.07,16.32,17.02,20.41,24.26,26.03,26.68,26.54,22.47
ALLSKY_SFC_SW_DWN,1996,23.51,22.57,24.44,21.58,16.34,15.66,16.85,18.44,20.8,25.61,22.79,24.93,21.13
ALLSKY_SFC_SW_DWN,1997,24.34,25.57,20.24,20.73,17.17,16.83,16.91,21.36,21.96,26.01,27.45,27.86,22.18
ALLSKY_SFC_SW_DWN,1998,26.04,27.19,23.79,21.0,18.67,14.61,15.94,21.88,24.0,23.27,24.11,23.22,21.94
ALLSKY_SFC_SW_DWN,1999,28.17,27.17,23.46,21.0,16.21,16.03,16.36,21.32,24.69,26.51,26.04,25.38,22.67
ALLSKY_SFC_SW_DWN,2000,24.03,21.46,20.58,20.11,18.24,14.37,17.73,17.92,22.7,25.6,26.54,27.03,21.36
ALLSKY_SFC_SW_DWN,2001,29.24,21.17,21.22,18.35,16.78,15.54,16.78,18.13,22.11,25.22,22.29,28.94,21.33
ALLSKY_SFC_SW_DWN,2002,26.93,24.01,22.28,20.69,17.58,15.91,16.98,17.77,23.61,25.63,27.07,26.68,22.08
ALLSKY_SFC_SW_DWN,2003,28.29,23.56,24.27,20.42,17.35,13.96,16.61,19.9,23.91,24.42,25.79,28.21,22.23
ALLSKY_SFC_SW_DWN,2004,25.51,22.52,19.13,19.84,17.69,15.49,17.16,20.08,24.15,26.74,26.62,25.61,21.71
ALLSKY_SFC_SW_DWN,2005,25.45,25.35,21.99,18.44,17.91,15.9,17.4,18.18,23.52,26.72,25.58,25.77,21.83
ALLSKY_SFC_SW_DWN,2006,23.83,21.11,20.07,20.15,17.49,16.24,17.18,20.1,23.67,22.49,24.84,26.18,21.11
ALLSKY_SFC_SW_DWN,2007,27.9,26.97,22.86,19.71,18.6,16.12,17.08,20.53,22.93,23.84,26.28,24.48,22.25
ALLSKY_SFC_SW_DWN,2008,23.92,26.3,20.13,20.41,17.57,15.77,17.0,20.14,23.8,25.21,22.65,27.08,21.65
ALLSKY_SFC_SW_DWN,2009,23.91,24.23,21.37,21.67,17.49,14.63,16.5,20.86,20.87,22.43,25.99,25.99,21.31
ALLSKY_SFC_SW_DWN,2010,23.99,23.13,22.22,17.02,16.64,16.55,16.04,20.29,22.64,25.64,24.08,27.07,21.27
ALLSKY_SFC_SW_DWN,2011,24.24,25.8,22.29,16.73,17.51,16.3,16.43,20.6,23.86,25.26,26.65,23.7,21.59
ALLSKY_SFC_SW_DWN,2012,26.68,24.53,23.0,21.11,18.57,16.45,17.42,20.19,23.56,24.92,26.74,25.02,22.34
ALLSKY_SFC_SW_DWN,2013,25.46,26.8,23.88,21.34,18.72,16.75,16.98,20.07,21.48,26.91,26.81,24.27,22.43
ALLSKY_SFC_SW_DWN,2014,25.22,23.08,20.63,18.97,17.73,16.64,16.75,20.47,23.35,26.25,22.88,23.8,21.31
ALLSKY_SFC_SW_DWN,2015,27.23,27.03,21.08,17.54,18.69,16.53,17.12,20.16,22.22,26.96,29.18,27.49,22.58
ALLSKY_SFC_SW_DWN,2016,25.94,25.18,21.29,20.04,18.1,16.29,17.41,21.2,23.25,26.36,25.6,25.19,22.15
ALLSKY_SFC_SW_DWN,2017,22.42,21.72,23.67,18.91,18.1,15.77,17.05,19.45,22.51,24.67,27.86,26.57,21.56
ALLSKY_SFC_SW_DWN,2018,28.16,21.53,21.76,20.54,17.19,16.79,16.08,19.51,23.21,26.31,28.35,27.48,22.25
ALLSKY_SFC_SW_DWN,2019,27.94,24.94,24.98,19.53,18.47,16.56,17.78,20.06,24.35,26.58,26.63,25.3,22.75
ALLSKY_SFC_SW_DWN,2020,24.51,23.89,21.55,18.8,18.93,16.72,17.86,20.01,22.45,25.72,23.43,24.67,21.55
ALLSKY_SFC_SW_DWN,2021,22.83,20.85,22.04,21.23,18.15,15.94,17.46,19.53,22.89,25.31,25.99,24.18,21.37
ALLSKY_SFC_SW_DWN,2022,24.12,25.12,19.7,17.96,17.08,15.24,15.37,19.96,23.32,23.53,23.67,24.95,20.81
ALLSKY_SFC_SW_DWN,2023,28.04,21.77,22.38,20.36,16.62,15.87,16.4,19.44,22.57,25.47,24.52,25.53,21.59
