# Area: Canada
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  56.13   Longitude -106.35 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 468.12 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DWN,1981,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1982,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1983,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1984,2.28,5.67,12.35,17.42,18.85,20.92,19.28,15.31,10.13,4.58,2.75,1.71,10.95
ALLSKY_SFC_SW_DWN,1985,2.45,6.23,11.96,17.05,19.78,20.55,20.89,17.3,10.81,5.2,2.91,1.27,11.39
ALLSKY_SFC_SW_DWN,1986,2.44,6.12,11.68,16.26,19.34,20.89,17.18,17.89,10.1,5.69,2.7,1.58,11.01
ALLSKY_SFC_SW_DWN,1987,2.51,5.92,11.17,15.76,19.66,20.53,18.8,16.28,11.93,4.78,2.32,1.35,10.94
ALLSKY_SFC_SW_DWN,1988,2.49,5.36,11.01,17.69,20.91,19.54,18.6,16.2,10.73,6.2,2.55,1.3,11.06
ALLSKY_SFC_SW_DWN,1989,2.41,5.53,12.24,17.66,18.38,20.27,21.14,16.59,10.96,5.94,2.48,1.33,11.27
ALLSKY_SFC_SW_DWN,1990,2.58,5.89,11.88,16.79,23.15,22.1,19.54,17.98,10.75,4.83,2.81,1.62,11.69
ALLSKY_SFC_SW_DWN,1991,2.44,6.31,12.06,16.75,19.45,18.51,20.0,17.86,10.85,6.25,2.88,1.47,11.27
ALLSKY_SFC_SW_DWN,1992,2.4,5.78,12.35,17.38,19.38,21.03,19.88,16.38,9.9,5.54,2.69,1.69,11.21
ALLSKY_SFC_SW_DWN,1993,2.58,6.05,12.66,16.38,20.7,20.72,17.53,15.58,10.92,5.63,2.68,1.3,11.08
ALLSKY_SFC_SW_DWN,1994,2.62,6.42,11.78,17.88,19.0,21.24,19.94,17.24,11.51,5.05,2.39,1.46,11.4
ALLSKY_SFC_SW_DWN,1995,2.7,5.91,10.46,16.52,20.8,21.1,19.16,14.28,12.68,5.35,2.59,1.48,11.1
ALLSKY_SFC_SW_DWN,1996,2.89,5.79,12.4,16.69,17.47,21.36,19.65,16.54,10.01,5.5,2.63,1.57,11.05
ALLSKY_SFC_SW_DWN,1997,2.52,6.25,11.71,18.01,19.96,19.4,20.64,16.4,9.82,5.97,2.8,1.62,11.29
ALLSKY_SFC_SW_DWN,1998,2.98,5.81,12.97,18.01,22.17,21.42,21.21,18.05,12.44,5.65,2.33,1.49,12.08
ALLSKY_SFC_SW_DWN,1999,2.36,5.77,12.35,16.88,19.5,21.77,19.51,17.13,11.46,5.31,2.43,1.26,11.34
ALLSKY_SFC_SW_DWN,2000,2.36,6.16,11.98,17.76,17.75,19.36,19.51,14.49,9.1,5.73,2.26,1.41,10.67
ALLSKY_SFC_SW_DWN,2001,2.48,6.73,11.76,18.79,18.19,20.37,20.6,17.86,11.2,6.29,2.46,1.57,11.55
ALLSKY_SFC_SW_DWN,2002,2.88,6.02,13.18,17.66,22.93,23.8,18.72,16.04,9.64,5.74,2.15,1.3,11.7
ALLSKY_SFC_SW_DWN,2003,2.8,6.56,12.04,17.14,19.87,18.64,20.49,15.96,8.93,5.4,2.9,1.74,11.07
ALLSKY_SFC_SW_DWN,2004,2.7,5.64,12.11,17.23,18.02,21.78,20.3,14.33,9.97,6.33,2.77,1.72,11.08
ALLSKY_SFC_SW_DWN,2005,2.41,5.97,12.01,16.37,20.17,21.14,19.37,14.65,10.5,6.45,2.27,1.26,11.07
ALLSKY_SFC_SW_DWN,2006,1.93,5.94,11.84,17.73,16.71,21.76,18.14,15.28,12.85,6.46,2.33,1.76,11.07
ALLSKY_SFC_SW_DWN,2007,2.61,6.28,10.79,18.26,19.87,20.43,20.41,14.08,8.98,5.76,2.29,1.65,10.97
ALLSKY_SFC_SW_DWN,2008,2.7,6.21,12.89,16.87,23.23,23.44,18.75,16.04,10.93,6.56,2.09,1.88,11.81
ALLSKY_SFC_SW_DWN,2009,2.79,6.54,11.89,16.22,20.49,19.02,19.65,14.93,10.76,4.69,2.87,1.73,10.99
ALLSKY_SFC_SW_DWN,2010,2.51,6.05,11.31,14.65,19.39,21.21,20.03,13.56,9.76,6.62,2.5,1.56,10.79
ALLSKY_SFC_SW_DWN,2011,2.77,6.46,11.92,17.8,22.87,17.9,19.06,17.14,12.89,5.77,2.86,1.3,11.59
ALLSKY_SFC_SW_DWN,2012,2.49,6.38,11.07,16.4,20.43,18.46,19.79,15.77,11.29,3.93,2.01,1.66,10.82
ALLSKY_SFC_SW_DWN,2013,2.73,5.79,13.06,17.77,22.52,18.05,18.6,17.63,12.68,5.61,2.55,1.77,11.6
ALLSKY_SFC_SW_DWN,2014,2.49,6.41,12.97,17.19,17.02,20.68,21.19,16.7,9.83,5.54,2.56,1.56,11.2
ALLSKY_SFC_SW_DWN,2015,2.47,6.7,12.0,18.76,23.2,20.96,17.93,15.92,10.41,6.07,2.3,1.34,11.53
ALLSKY_SFC_SW_DWN,2016,2.27,6.09,10.97,17.83,20.19,21.02,19.29,15.93,9.68,4.06,2.36,1.33,10.93
ALLSKY_SFC_SW_DWN,2017,2.72,6.05,11.31,17.05,18.61,19.26,20.51,18.18,10.96,4.61,2.46,1.62,11.14
ALLSKY_SFC_SW_DWN,2018,2.7,6.53,12.03,18.47,21.04,19.78,18.61,14.99,9.33,6.12,2.16,1.61,11.14
ALLSKY_SFC_SW_DWN,2019,2.71,6.82,12.28,16.63,20.72,17.93,19.15,12.72,10.04,5.53,2.44,1.55,10.73
ALLSKY_SFC_SW_DWN,2020,2.39,5.67,11.8,17.75,19.46,18.07,17.89,15.17,9.89,4.41,2.35,1.66,10.55
ALLSKY_SFC_SW_DWN,2021,2.52,6.58,12.41,17.55,22.17,19.68,19.59,15.7,9.8,6.23,2.5,1.49,11.38
ALLSKY_SFC_SW_DWN,2022,2.54,6.83,12.69,18.53,18.91,20.45,19.99,18.24,11.83,7.03,2.52,1.47,11.78
ALLSKY_SFC_SW_DWN,2023,2.37,6.48,13.1,17.6,19.59,20.96,18.89,14.1,11.02,6.18,2.38,1.74,11.22
