# Area: Chad
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  15.45   Longitude 18.73 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 323.25 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DWN,1981,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1982,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1983,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1984,19.49,20.96,24.94,25.43,25.93,26.86,26.55,25.82,23.95,22.35,21.24,18.03,23.47
ALLSKY_SFC_SW_DWN,1985,20.09,23.11,24.61,26.83,27.78,26.81,24.89,24.13,24.78,23.68,21.29,19.15,23.92
ALLSKY_SFC_SW_DWN,1986,21.09,22.11,24.38,27.43,27.79,27.61,27.13,25.56,24.85,22.98,19.74,19.22,24.17
ALLSKY_SFC_SW_DWN,1987,22.01,21.36,24.41,27.38,27.33,26.79,27.71,25.02,25.02,23.77,20.29,17.89,24.1
ALLSKY_SFC_SW_DWN,1988,19.03,22.07,24.92,27.61,25.98,25.19,25.19,23.19,23.95,23.93,22.49,19.65,23.6
ALLSKY_SFC_SW_DWN,1989,21.4,22.16,25.91,28.05,26.53,24.98,25.07,23.83,24.93,23.93,20.16,19.73,23.9
ALLSKY_SFC_SW_DWN,1990,20.71,23.19,26.22,26.96,27.48,26.15,24.12,25.18,25.37,23.44,21.45,20.49,24.23
ALLSKY_SFC_SW_DWN,1991,20.73,23.54,25.37,25.23,25.77,25.43,24.92,24.46,25.07,23.99,21.57,20.08,23.84
ALLSKY_SFC_SW_DWN,1992,21.19,23.28,23.52,26.58,27.11,26.68,24.2,24.29,24.81,24.17,21.26,20.81,23.99
ALLSKY_SFC_SW_DWN,1993,20.54,22.73,24.92,27.07,24.91,25.77,25.63,25.12,24.97,24.03,21.41,19.56,23.89
ALLSKY_SFC_SW_DWN,1994,20.92,22.46,25.55,25.46,25.43,26.67,24.15,23.79,22.87,22.76,20.83,20.49,23.45
ALLSKY_SFC_SW_DWN,1995,21.07,23.37,25.6,25.79,25.9,25.44,24.46,23.99,25.13,23.74,21.57,20.9,23.91
ALLSKY_SFC_SW_DWN,1996,21.75,23.79,25.45,25.76,26.35,25.99,25.35,24.15,24.67,23.83,21.8,20.43,24.11
ALLSKY_SFC_SW_DWN,1997,21.7,23.3,24.47,26.19,26.36,25.45,24.98,23.58,25.21,23.09,21.71,19.24,23.77
ALLSKY_SFC_SW_DWN,1998,21.14,23.96,26.13,26.43,27.19,26.2,24.51,24.39,23.74,24.04,21.27,21.07,24.17
ALLSKY_SFC_SW_DWN,1999,21.12,23.63,26.01,27.93,26.42,26.55,24.49,23.68,25.03,23.81,21.68,20.68,24.24
ALLSKY_SFC_SW_DWN,2000,20.94,22.79,25.61,27.23,27.17,26.56,24.52,25.4,25.05,23.94,21.86,20.58,24.3
ALLSKY_SFC_SW_DWN,2001,22.24,23.16,27.1,27.19,28.08,27.75,25.92,24.76,25.58,23.98,22.39,20.66,24.9
ALLSKY_SFC_SW_DWN,2002,21.23,23.28,25.92,27.66,28.96,27.77,25.91,25.46,24.34,22.84,21.12,20.52,24.59
ALLSKY_SFC_SW_DWN,2003,21.7,22.73,24.21,27.2,28.02,26.71,24.9,24.62,24.78,23.34,21.62,20.39,24.19
ALLSKY_SFC_SW_DWN,2004,20.76,23.66,26.24,28.08,27.93,27.29,23.93,24.28,25.1,23.85,21.94,20.27,24.43
ALLSKY_SFC_SW_DWN,2005,20.14,23.26,25.06,27.41,26.22,25.75,23.68,23.45,24.61,24.05,22.35,20.55,23.87
ALLSKY_SFC_SW_DWN,2006,21.25,23.1,25.34,28.62,26.93,26.1,25.57,23.23,24.49,23.33,21.36,20.25,24.13
ALLSKY_SFC_SW_DWN,2007,20.77,23.27,26.05,26.57,27.34,26.94,24.52,23.29,25.05,24.27,21.8,20.3,24.18
ALLSKY_SFC_SW_DWN,2008,20.01,23.1,26.03,26.64,27.79,26.32,25.0,23.28,23.47,23.62,21.81,20.02,23.92
ALLSKY_SFC_SW_DWN,2009,21.12,23.42,25.7,26.03,25.76,26.49,25.17,24.19,24.18,22.49,20.65,20.35,23.79
ALLSKY_SFC_SW_DWN,2010,21.33,23.59,26.0,26.59,27.56,25.95,23.14,23.4,24.32,22.73,21.72,20.65,23.91
ALLSKY_SFC_SW_DWN,2011,20.87,22.0,26.34,26.33,27.59,26.22,24.17,23.78,25.28,23.09,22.18,19.96,23.99
ALLSKY_SFC_SW_DWN,2012,20.7,23.12,25.31,26.4,25.18,25.74,23.17,22.78,24.86,23.3,21.72,19.86,23.5
ALLSKY_SFC_SW_DWN,2013,19.72,23.44,26.39,26.17,28.01,26.73,25.44,22.48,25.06,23.69,22.0,20.05,24.09
ALLSKY_SFC_SW_DWN,2014,21.42,23.67,23.98,26.3,26.35,27.83,25.63,22.99,24.01,23.7,21.58,20.09,23.95
ALLSKY_SFC_SW_DWN,2015,20.26,23.13,24.02,27.43,27.47,27.33,24.6,22.63,23.57,23.82,21.39,18.41,23.66
ALLSKY_SFC_SW_DWN,2016,19.99,22.78,23.09,27.31,27.35,25.23,25.33,24.13,24.96,23.71,21.1,19.42,23.69
ALLSKY_SFC_SW_DWN,2017,20.91,23.19,25.98,26.67,26.72,25.17,23.82,22.36,25.19,23.79,21.94,19.0,23.72
ALLSKY_SFC_SW_DWN,2018,21.04,22.94,26.4,28.35,27.78,25.94,24.61,23.75,23.68,23.88,21.41,19.04,24.07
ALLSKY_SFC_SW_DWN,2019,20.53,21.16,24.65,26.75,26.48,25.5,24.84,23.03,24.82,21.96,21.62,20.12,23.46
ALLSKY_SFC_SW_DWN,2020,20.75,22.43,24.57,27.03,27.14,27.4,24.54,22.94,23.16,23.76,21.66,20.39,23.81
ALLSKY_SFC_SW_DWN,2021,21.39,23.18,25.47,28.41,29.04,26.64,23.8,23.15,24.57,23.75,22.06,19.77,24.27
ALLSKY_SFC_SW_DWN,2022,20.33,23.41,24.61,26.66,26.26,25.7,24.5,22.74,23.77,23.51,21.56,19.44,23.53
ALLSKY_SFC_SW_DWN,2023,19.98,22.38,24.04,25.81,26.57,24.53,24.73,22.02,23.87,22.47,20.71,20.07,23.1
