# Area: China, Taiwan Province of
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  25.03   Longitude 121.57 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 100.59 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DWN,1981,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1982,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1983,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1984,5.31,4.3,7.25,10.58,14.32,18.79,20.73,20.17,16.22,11.58,8.79,5.78,12.01
ALLSKY_SFC_SW_DWN,1985,5.39,4.95,7.81,14.17,17.72,17.52,21.73,21.97,16.91,13.3,9.98,7.29,13.28
ALLSKY_SFC_SW_DWN,1986,9.14,5.73,12.66,13.3,16.55,19.64,23.25,21.32,17.26,11.47,7.34,8.16,13.88
ALLSKY_SFC_SW_DWN,1987,9.66,9.11,9.05,12.27,13.94,16.72,22.12,22.26,14.08,13.23,7.36,6.56,13.07
ALLSKY_SFC_SW_DWN,1988,6.56,6.18,6.63,10.91,11.3,19.98,24.35,21.62,14.09,10.71,9.99,9.65,12.69
ALLSKY_SFC_SW_DWN,1989,5.16,6.18,11.99,11.19,12.95,20.9,20.36,21.59,15.24,12.28,9.3,8.24,12.99
ALLSKY_SFC_SW_DWN,1990,5.89,5.94,10.88,10.06,16.2,17.62,23.23,18.55,16.45,12.31,10.89,7.59,13.02
ALLSKY_SFC_SW_DWN,1991,5.16,8.87,8.8,11.9,16.72,20.51,23.13,21.44,15.31,10.2,9.05,7.78,13.26
ALLSKY_SFC_SW_DWN,1992,7.79,6.95,6.35,12.24,14.19,16.53,21.97,19.04,17.4,11.27,9.08,7.97,12.58
ALLSKY_SFC_SW_DWN,1993,6.51,9.96,8.75,9.21,13.86,16.87,21.49,22.21,18.59,12.39,8.48,7.22,12.98
ALLSKY_SFC_SW_DWN,1994,7.8,6.28,9.17,13.86,17.72,19.8,22.71,20.79,16.71,13.6,12.41,5.47,13.9
ALLSKY_SFC_SW_DWN,1995,7.06,8.01,10.3,11.66,15.07,17.33,22.39,21.96,17.44,12.68,9.1,8.07,13.46
ALLSKY_SFC_SW_DWN,1996,6.09,7.08,9.55,12.31,13.34,22.53,22.26,21.42,17.13,12.74,7.9,9.98,13.55
ALLSKY_SFC_SW_DWN,1997,7.96,7.08,10.33,13.84,17.49,17.32,20.06,17.65,15.92,13.18,10.51,6.21,13.17
ALLSKY_SFC_SW_DWN,1998,5.03,5.97,10.16,14.08,15.08,14.66,22.01,22.02,15.72,11.3,9.05,6.55,12.68
ALLSKY_SFC_SW_DWN,1999,6.72,10.12,7.9,13.14,13.89,19.15,19.27,21.12,18.43,11.37,8.2,7.38,13.06
ALLSKY_SFC_SW_DWN,2000,6.9,4.37,10.46,10.66,18.8,18.48,21.23,18.33,17.9,12.02,6.96,7.38,12.83
ALLSKY_SFC_SW_DWN,2001,8.3,8.29,12.65,11.7,13.02,19.99,22.22,22.09,12.8,13.03,10.46,7.48,13.54
ALLSKY_SFC_SW_DWN,2002,8.15,10.11,12.84,14.69,17.62,19.22,21.15,20.8,15.96,12.06,9.74,6.98,14.13
ALLSKY_SFC_SW_DWN,2003,9.57,9.29,10.57,13.51,15.34,16.88,24.11,21.71,17.3,14.87,6.98,7.77,14.03
ALLSKY_SFC_SW_DWN,2004,6.72,11.82,8.37,14.16,17.18,19.47,22.14,20.72,14.6,13.46,11.0,7.71,13.95
ALLSKY_SFC_SW_DWN,2005,5.39,5.29,11.81,13.97,12.93,15.81,21.39,17.73,18.76,11.41,9.49,6.17,12.55
ALLSKY_SFC_SW_DWN,2006,6.56,6.88,10.24,11.0,11.85,17.07,21.42,20.28,14.9,15.76,9.44,6.31,12.68
ALLSKY_SFC_SW_DWN,2007,6.92,10.32,8.38,11.75,17.78,16.0,23.66,18.27,15.71,11.01,7.24,7.0,12.86
ALLSKY_SFC_SW_DWN,2008,5.58,4.65,12.74,12.05,16.87,18.16,21.99,21.84,15.5,13.0,8.34,9.08,13.36
ALLSKY_SFC_SW_DWN,2009,7.65,9.41,9.97,13.19,19.68,17.89,22.29,20.35,19.01,10.86,7.93,7.67,13.85
ALLSKY_SFC_SW_DWN,2010,7.43,7.64,12.22,10.34,14.38,12.73,21.45,21.47,18.41,9.33,7.42,9.92,12.78
ALLSKY_SFC_SW_DWN,2011,3.45,7.91,8.29,16.17,13.36,19.37,21.9,21.39,16.88,10.91,7.88,4.18,12.65
ALLSKY_SFC_SW_DWN,2012,4.91,5.39,10.55,11.91,15.53,16.51,23.29,19.25,16.17,14.29,7.84,6.23,12.69
ALLSKY_SFC_SW_DWN,2013,6.66,7.56,11.56,11.04,13.69,18.11,22.8,20.04,17.88,12.96,8.82,5.71,13.11
ALLSKY_SFC_SW_DWN,2014,10.28,7.84,10.62,13.76,11.29,16.44,23.16,20.34,19.01,14.02,8.83,6.87,13.58
ALLSKY_SFC_SW_DWN,2015,8.53,8.68,9.45,14.03,13.87,21.08,21.75,17.71,16.36,12.8,9.45,5.17,13.26
ALLSKY_SFC_SW_DWN,2016,4.91,7.57,9.64,11.75,16.39,19.65,23.41,21.49,14.54,12.8,8.67,7.36,13.21
ALLSKY_SFC_SW_DWN,2017,7.72,9.0,9.46,14.99,15.42,16.24,23.79,23.0,18.56,12.34,6.33,5.87,13.59
ALLSKY_SFC_SW_DWN,2018,6.98,7.24,15.21,16.69,20.94,18.58,22.21,19.69,17.73,11.16,8.37,7.05,14.37
ALLSKY_SFC_SW_DWN,2019,7.75,6.66,10.13,14.47,13.21,15.66,21.16,20.77,17.25,14.78,10.43,7.63,13.37
ALLSKY_SFC_SW_DWN,2020,8.58,11.21,10.03,13.0,15.28,21.23,22.38,20.49,14.99,12.07,9.61,4.88,13.65
ALLSKY_SFC_SW_DWN,2021,8.5,12.84,11.44,14.67,18.24,18.53,23.13,19.7,20.86,12.87,7.91,6.84,14.63
ALLSKY_SFC_SW_DWN,2022,5.72,5.67,12.55,14.57,10.38,16.39,24.6,23.22,16.49,10.46,8.2,5.63,12.87
ALLSKY_SFC_SW_DWN,2023,7.36,7.48,13.15,13.94,16.82,19.68,22.37,19.09,19.35,11.01,11.54,6.59,14.06
