# Area: Cook Islands
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  -21.21   Longitude -159.78 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 0.18 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DWN,1981,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1982,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1983,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1984,23.63,18.58,18.62,16.39,13.14,12.5,12.79,14.85,16.52,17.03,20.73,18.78,16.96
ALLSKY_SFC_SW_DWN,1985,22.42,22.11,20.22,15.8,12.39,10.66,12.52,14.71,17.42,19.65,19.23,22.29,17.43
ALLSKY_SFC_SW_DWN,1986,19.75,21.13,20.01,13.33,11.76,11.16,11.84,14.61,16.68,20.09,22.91,24.35,17.28
ALLSKY_SFC_SW_DWN,1987,19.65,20.33,19.35,16.93,11.83,12.17,12.66,14.51,18.01,22.16,24.1,24.03,17.96
ALLSKY_SFC_SW_DWN,1988,20.64,21.35,21.09,13.74,13.53,11.67,11.84,15.72,17.93,20.82,19.27,21.21,17.4
ALLSKY_SFC_SW_DWN,1989,20.29,21.09,20.24,14.64,12.62,12.06,12.41,14.88,17.91,19.39,19.6,22.13,17.25
ALLSKY_SFC_SW_DWN,1990,22.99,17.99,20.56,14.29,11.98,12.42,12.72,16.76,16.88,19.46,22.31,21.8,17.52
ALLSKY_SFC_SW_DWN,1991,21.43,18.95,19.46,15.48,12.19,11.41,12.61,14.38,16.28,20.09,21.61,22.61,17.21
ALLSKY_SFC_SW_DWN,1992,22.72,21.86,19.38,14.91,13.18,12.2,12.04,14.74,20.31,20.9,23.6,23.25,18.24
ALLSKY_SFC_SW_DWN,1993,23.98,21.72,17.99,15.58,13.47,12.39,11.79,13.39,17.56,20.41,24.52,22.66,17.93
ALLSKY_SFC_SW_DWN,1994,19.56,21.06,19.14,15.16,11.95,12.53,10.95,15.1,17.02,21.73,24.04,21.05,17.41
ALLSKY_SFC_SW_DWN,1995,22.87,24.04,20.68,13.95,12.13,12.29,13.48,15.04,18.12,22.28,20.97,24.1,18.3
ALLSKY_SFC_SW_DWN,1996,19.64,20.59,20.2,16.42,12.73,12.07,13.89,16.79,19.62,20.79,24.69,24.39,18.48
ALLSKY_SFC_SW_DWN,1997,25.74,25.61,20.59,16.77,14.45,12.77,12.38,16.11,17.58,23.27,26.28,23.98,19.59
ALLSKY_SFC_SW_DWN,1998,23.75,18.64,19.74,18.71,14.9,12.92,12.12,16.28,18.12,22.39,25.52,24.71,18.99
ALLSKY_SFC_SW_DWN,1999,22.4,18.6,19.11,17.17,12.14,12.55,13.24,14.95,18.77,18.26,25.17,23.15,17.95
ALLSKY_SFC_SW_DWN,2000,22.95,24.27,21.05,16.73,12.63,11.98,12.17,15.4,18.36,20.24,24.22,23.5,18.6
ALLSKY_SFC_SW_DWN,2001,24.6,20.59,19.0,15.83,14.12,10.62,13.26,16.62,17.33,22.86,23.48,23.6,18.49
ALLSKY_SFC_SW_DWN,2002,23.06,22.12,19.78,16.47,15.67,12.96,14.07,15.23,19.63,20.37,20.18,24.5,18.66
ALLSKY_SFC_SW_DWN,2003,24.83,23.6,17.89,16.66,13.81,13.39,14.06,14.69,20.06,21.46,24.52,19.59,18.67
ALLSKY_SFC_SW_DWN,2004,24.11,21.97,20.68,17.86,14.16,12.55,13.06,15.95,17.1,20.92,20.04,27.09,18.8
ALLSKY_SFC_SW_DWN,2005,22.79,21.73,20.1,14.42,14.6,10.97,12.41,16.07,18.4,21.46,20.11,22.29,17.94
ALLSKY_SFC_SW_DWN,2006,20.31,19.48,20.67,17.93,12.32,11.63,11.74,15.62,17.91,22.09,23.73,22.79,18.01
ALLSKY_SFC_SW_DWN,2007,24.48,21.07,17.74,16.96,11.99,11.98,13.47,15.85,18.28,20.35,20.96,21.01,17.83
ALLSKY_SFC_SW_DWN,2008,19.61,23.51,20.34,17.15,11.81,12.05,14.34,16.22,17.6,23.07,24.52,22.71,18.56
ALLSKY_SFC_SW_DWN,2009,20.63,24.09,18.46,16.95,13.91,11.1,13.81,13.99,18.63,22.75,23.85,24.37,18.51
ALLSKY_SFC_SW_DWN,2010,22.88,22.88,23.04,15.3,13.82,13.64,14.3,16.33,18.39,18.1,22.27,22.02,18.56
ALLSKY_SFC_SW_DWN,2011,24.94,21.01,21.06,17.8,13.39,13.02,14.96,17.46,19.82,22.39,22.82,22.14,19.23
ALLSKY_SFC_SW_DWN,2012,23.72,20.74,18.96,16.87,11.38,13.16,12.03,16.49,17.72,23.99,25.65,23.78,18.7
ALLSKY_SFC_SW_DWN,2013,22.23,23.78,21.74,18.36,15.01,13.34,12.67,15.48,19.81,21.86,24.54,25.18,19.47
ALLSKY_SFC_SW_DWN,2014,24.13,25.35,19.88,16.36,13.54,12.41,12.13,14.5,20.76,22.45,22.54,21.54,18.75
ALLSKY_SFC_SW_DWN,2015,21.15,24.37,18.04,16.44,14.23,11.74,13.62,15.71,19.33,22.3,23.59,25.26,18.78
ALLSKY_SFC_SW_DWN,2016,25.13,22.36,18.24,17.04,13.83,13.76,12.56,14.76,17.98,23.54,20.94,21.38,18.45
ALLSKY_SFC_SW_DWN,2017,25.12,19.44,21.43,15.78,13.63,12.63,14.27,15.47,20.23,21.17,20.28,20.56,18.34
ALLSKY_SFC_SW_DWN,2018,21.35,21.31,20.21,14.95,13.45,13.17,12.38,15.54,19.62,19.06,23.81,23.52,18.18
ALLSKY_SFC_SW_DWN,2019,21.65,22.17,18.4,16.34,12.24,12.39,13.84,15.61,19.36,20.1,20.9,21.19,17.82
ALLSKY_SFC_SW_DWN,2020,21.07,18.35,19.36,16.52,13.24,13.75,12.83,15.69,18.07,20.9,22.36,24.59,18.06
ALLSKY_SFC_SW_DWN,2021,26.55,20.88,19.86,18.07,13.17,12.73,13.55,15.06,19.48,23.76,25.69,20.99,19.14
ALLSKY_SFC_SW_DWN,2022,21.79,21.82,19.16,16.66,12.98,13.81,14.73,15.78,19.95,21.32,26.47,21.82,18.83
ALLSKY_SFC_SW_DWN,2023,21.71,24.36,17.8,17.78,12.11,11.45,12.29,15.13,19.13,21.22,24.42,23.22,18.34
