# Area: Cuba
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  21.52   Longitude -77.78 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 49.59 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DWN,1981,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1982,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1983,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1984,13.77,15.01,18.4,22.4,21.01,20.95,23.29,21.75,19.36,17.28,13.61,12.89,18.32
ALLSKY_SFC_SW_DWN,1985,14.93,16.15,21.24,21.91,20.74,24.02,22.87,22.07,20.48,16.96,14.42,13.08,19.08
ALLSKY_SFC_SW_DWN,1986,13.46,17.46,18.14,24.24,21.61,22.13,23.81,22.56,21.42,17.0,15.31,14.09,19.27
ALLSKY_SFC_SW_DWN,1987,13.55,16.94,18.41,21.52,23.13,22.55,23.29,22.61,20.44,15.45,13.54,12.11,18.63
ALLSKY_SFC_SW_DWN,1988,12.66,16.48,19.01,21.18,19.2,20.76,21.95,22.16,19.44,16.21,14.69,12.77,18.04
ALLSKY_SFC_SW_DWN,1989,15.21,16.23,18.74,22.66,22.58,23.56,21.8,22.22,21.26,19.29,15.01,12.66,19.28
ALLSKY_SFC_SW_DWN,1990,14.96,16.38,19.96,22.62,21.35,23.41,22.93,22.94,20.35,16.55,14.78,13.35,19.14
ALLSKY_SFC_SW_DWN,1991,14.93,17.89,21.18,23.18,21.01,22.13,23.44,22.41,20.21,17.52,14.34,14.05,19.36
ALLSKY_SFC_SW_DWN,1992,14.57,17.04,20.07,21.35,21.66,21.69,23.52,22.74,19.12,17.99,15.45,13.71,19.08
ALLSKY_SFC_SW_DWN,1993,13.3,16.8,18.45,21.11,20.29,23.06,24.14,23.04,19.37,17.59,13.69,12.96,18.66
ALLSKY_SFC_SW_DWN,1994,14.22,18.6,20.91,22.59,21.96,23.18,24.35,22.8,20.75,17.06,14.55,14.08,19.59
ALLSKY_SFC_SW_DWN,1995,14.62,17.0,19.18,21.4,23.41,20.62,22.09,20.96,20.68,18.13,14.62,13.02,18.82
ALLSKY_SFC_SW_DWN,1996,13.41,17.38,19.8,22.82,20.75,21.86,23.87,22.18,20.8,17.23,13.16,14.15,18.95
ALLSKY_SFC_SW_DWN,1997,15.11,18.5,20.6,22.49,23.72,20.58,22.8,21.96,21.04,17.16,14.37,13.52,19.32
ALLSKY_SFC_SW_DWN,1998,14.31,17.97,17.49,23.91,24.02,23.92,22.94,21.93,19.2,17.62,14.95,13.64,19.32
ALLSKY_SFC_SW_DWN,1999,14.62,17.66,21.46,23.76,21.86,21.49,22.84,22.3,20.83,15.79,13.02,13.1,19.07
ALLSKY_SFC_SW_DWN,2000,14.64,17.87,21.85,22.85,23.39,21.37,23.81,21.59,20.57,18.64,14.98,10.44,19.33
ALLSKY_SFC_SW_DWN,2001,14.67,18.56,20.71,23.5,20.53,23.66,22.55,22.26,19.97,16.37,14.16,12.37,19.1
ALLSKY_SFC_SW_DWN,2002,14.7,18.37,21.14,24.43,20.29,21.85,23.14,22.26,16.92,18.34,14.73,13.23,19.12
ALLSKY_SFC_SW_DWN,2003,13.2,17.78,20.46,22.18,22.77,22.22,22.81,21.82,20.64,18.62,14.48,12.71,19.14
ALLSKY_SFC_SW_DWN,2004,15.21,17.63,19.92,22.83,22.25,23.16,22.22,23.0,19.58,18.56,15.53,13.15,19.42
ALLSKY_SFC_SW_DWN,2005,14.95,18.08,19.21,20.65,22.0,20.73,22.72,22.01,20.11,14.73,15.28,13.97,18.7
ALLSKY_SFC_SW_DWN,2006,14.79,15.85,21.55,23.38,22.59,20.42,22.52,21.21,21.31,17.75,13.49,12.9,19.0
ALLSKY_SFC_SW_DWN,2007,14.24,16.86,18.32,22.48,19.81,19.91,23.86,22.22,19.79,14.87,15.06,14.01,18.46
ALLSKY_SFC_SW_DWN,2008,15.47,17.95,20.27,23.54,23.3,22.32,23.73,21.74,20.49,17.39,12.71,12.85,19.31
ALLSKY_SFC_SW_DWN,2009,14.66,17.25,20.13,22.04,22.22,21.74,24.19,23.32,20.58,18.08,14.88,14.68,19.49
ALLSKY_SFC_SW_DWN,2010,14.27,15.42,19.22,21.79,22.25,23.47,20.95,22.8,19.15,15.36,14.79,13.98,18.63
ALLSKY_SFC_SW_DWN,2011,14.03,18.58,21.84,23.69,23.63,21.37,22.44,22.26,20.69,16.68,15.47,13.98,19.55
ALLSKY_SFC_SW_DWN,2012,15.12,18.2,22.09,20.31,19.33,20.78,22.11,21.43,20.84,17.54,14.35,14.42,18.88
ALLSKY_SFC_SW_DWN,2013,14.51,17.51,19.95,22.38,21.5,21.98,21.65,21.75,19.57,18.46,14.59,14.91,19.07
ALLSKY_SFC_SW_DWN,2014,14.36,17.95,20.82,21.9,22.51,20.27,24.36,23.35,20.62,17.83,15.61,14.01,19.48
ALLSKY_SFC_SW_DWN,2015,14.96,17.3,20.36,23.86,21.7,19.8,23.92,22.82,20.66,17.93,14.92,14.72,19.43
ALLSKY_SFC_SW_DWN,2016,13.74,16.19,19.39,23.0,23.15,21.8,23.03,22.03,20.99,15.82,14.72,14.8,19.06
ALLSKY_SFC_SW_DWN,2017,15.11,18.14,19.44,20.86,22.98,23.21,23.88,23.14,19.93,17.52,13.39,13.85,19.3
ALLSKY_SFC_SW_DWN,2018,12.18,19.15,21.06,22.56,18.77,21.62,23.51,22.66,20.94,18.31,16.64,13.65,19.24
ALLSKY_SFC_SW_DWN,2019,14.63,18.89,20.07,23.14,22.98,23.91,23.42,22.2,19.56,17.54,15.81,14.3,19.7
ALLSKY_SFC_SW_DWN,2020,15.23,18.21,21.69,24.06,19.94,21.9,22.88,23.28,20.47,17.48,13.08,14.04,19.36
ALLSKY_SFC_SW_DWN,2021,14.99,19.69,21.98,23.93,23.23,22.32,23.38,21.52,21.21,17.77,14.34,15.02,19.95
ALLSKY_SFC_SW_DWN,2022,15.52,18.2,21.51,22.99,20.61,20.83,24.0,22.79,21.04,18.17,16.09,15.4,19.77
ALLSKY_SFC_SW_DWN,2023,16.8,20.02,21.56,24.12,20.72,20.97,24.75,23.0,20.84,17.07,15.01,12.34,19.76
