# Area: Dominican Republic
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  18.74   Longitude -70.16 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 126.11 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DWN,1981,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1982,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1983,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1984,17.35,19.1,22.11,24.94,22.31,22.11,23.15,22.3,18.68,17.67,16.6,16.6,20.25
ALLSKY_SFC_SW_DWN,1985,17.77,18.71,19.72,20.97,22.21,22.63,22.82,20.39,18.67,16.26,15.5,15.5,19.27
ALLSKY_SFC_SW_DWN,1986,15.69,19.02,20.7,20.65,19.85,20.88,21.67,19.6,19.42,17.46,15.94,16.44,18.94
ALLSKY_SFC_SW_DWN,1987,16.91,18.27,20.13,21.68,21.93,19.84,22.84,23.45,21.27,19.5,17.52,14.31,19.81
ALLSKY_SFC_SW_DWN,1988,16.09,18.95,21.12,21.51,22.13,22.21,21.75,19.23,19.03,19.1,16.72,15.26,19.42
ALLSKY_SFC_SW_DWN,1989,16.18,17.95,20.37,21.73,21.87,22.75,22.01,21.66,21.24,19.11,17.77,16.64,19.95
ALLSKY_SFC_SW_DWN,1990,15.96,18.48,20.98,21.78,22.47,21.08,22.4,22.34,21.47,16.54,15.8,15.73,19.59
ALLSKY_SFC_SW_DWN,1991,17.08,18.59,21.11,22.16,20.08,22.69,22.84,22.18,21.5,19.52,17.4,16.58,20.15
ALLSKY_SFC_SW_DWN,1992,16.93,19.39,20.67,20.82,18.64,21.71,23.98,22.08,19.7,19.59,17.56,15.69,19.73
ALLSKY_SFC_SW_DWN,1993,15.26,19.31,19.64,20.48,18.01,20.89,23.78,23.09,19.2,19.25,16.94,16.23,19.34
ALLSKY_SFC_SW_DWN,1994,16.62,18.98,20.15,22.43,21.1,22.68,22.82,22.2,20.86,18.64,16.61,15.85,19.91
ALLSKY_SFC_SW_DWN,1995,17.23,18.2,20.02,22.61,21.56,22.85,22.65,21.34,21.45,18.99,17.39,16.25,20.05
ALLSKY_SFC_SW_DWN,1996,17.31,18.38,19.64,22.17,22.09,21.66,21.81,21.44,20.95,18.61,15.21,16.08,19.62
ALLSKY_SFC_SW_DWN,1997,16.93,19.5,21.62,22.98,22.63,22.82,21.26,21.99,21.4,17.7,16.92,16.38,20.17
ALLSKY_SFC_SW_DWN,1998,16.39,19.46,19.91,22.21,21.43,21.86,22.48,21.57,19.81,18.25,16.54,15.01,19.57
ALLSKY_SFC_SW_DWN,1999,17.37,18.77,20.48,24.44,22.4,20.89,22.64,22.44,20.77,18.49,15.67,14.87,19.94
ALLSKY_SFC_SW_DWN,2000,17.16,19.08,22.09,21.99,21.49,23.21,23.44,22.18,19.85,19.56,18.14,15.41,20.3
ALLSKY_SFC_SW_DWN,2001,15.71,19.68,21.22,22.48,20.71,23.45,22.25,23.25,21.97,17.29,15.9,15.15,19.91
ALLSKY_SFC_SW_DWN,2002,17.03,19.45,22.71,22.36,20.86,21.59,23.22,21.75,18.88,19.42,18.18,15.61,20.09
ALLSKY_SFC_SW_DWN,2003,15.67,18.35,22.09,21.15,23.31,21.36,21.79,21.28,22.07,18.2,15.63,15.03,19.67
ALLSKY_SFC_SW_DWN,2004,16.7,19.07,21.11,20.64,20.81,21.26,22.2,22.86,17.51,19.24,17.3,16.17,19.58
ALLSKY_SFC_SW_DWN,2005,16.14,20.33,21.88,21.69,19.43,18.9,20.25,21.45,21.41,15.09,16.87,16.02,19.1
ALLSKY_SFC_SW_DWN,2006,16.92,18.53,21.75,21.18,22.99,20.98,21.16,21.54,21.64,18.17,16.59,15.65,19.77
ALLSKY_SFC_SW_DWN,2007,17.35,18.99,19.92,21.98,20.8,23.27,22.8,20.98,21.43,14.64,16.97,15.89,19.58
ALLSKY_SFC_SW_DWN,2008,17.61,19.34,21.66,21.41,22.26,21.65,23.43,20.62,17.67,19.44,16.4,16.21,19.82
ALLSKY_SFC_SW_DWN,2009,17.06,19.09,21.09,21.71,19.33,21.1,22.06,23.09,22.04,19.25,17.52,15.58,19.91
ALLSKY_SFC_SW_DWN,2010,15.89,18.76,20.09,21.64,20.22,20.24,20.72,21.9,19.14,18.66,15.65,14.32,18.94
ALLSKY_SFC_SW_DWN,2011,17.2,19.82,23.24,23.62,20.96,20.46,19.97,19.91,21.16,18.16,17.01,16.38,19.82
ALLSKY_SFC_SW_DWN,2012,16.61,19.12,21.72,20.49,22.44,23.51,23.19,19.43,22.82,17.47,16.22,16.5,19.96
ALLSKY_SFC_SW_DWN,2013,16.71,20.73,20.12,23.53,20.93,20.66,22.07,22.06,21.24,17.86,16.95,16.05,19.9
ALLSKY_SFC_SW_DWN,2014,17.11,19.27,21.98,23.21,21.35,21.31,22.8,21.0,20.97,20.78,17.27,16.4,20.29
ALLSKY_SFC_SW_DWN,2015,17.03,18.43,21.45,24.14,22.69,22.62,23.53,23.29,21.67,19.29,15.44,14.95,20.39
ALLSKY_SFC_SW_DWN,2016,17.09,18.6,21.43,20.57,20.06,21.69,22.75,21.45,22.17,16.19,15.45,15.92,19.45
ALLSKY_SFC_SW_DWN,2017,17.74,17.94,20.67,19.88,21.03,22.58,22.5,22.72,19.59,18.2,13.87,16.43,19.45
ALLSKY_SFC_SW_DWN,2018,14.45,18.78,21.88,22.38,20.26,21.95,22.23,21.79,20.34,17.3,17.68,16.35,19.61
ALLSKY_SFC_SW_DWN,2019,17.14,19.04,21.12,22.67,20.23,23.41,23.43,23.18,19.9,19.47,17.82,15.24,20.22
ALLSKY_SFC_SW_DWN,2020,16.86,18.66,21.41,23.98,21.98,23.7,22.16,22.86,21.02,18.03,14.88,15.75,20.11
ALLSKY_SFC_SW_DWN,2021,17.07,19.79,22.11,22.32,23.43,21.78,22.08,21.61,22.05,18.07,18.01,16.36,20.39
ALLSKY_SFC_SW_DWN,2022,17.87,18.84,20.77,21.49,21.9,23.58,22.33,22.21,19.89,18.42,17.92,16.91,20.18
ALLSKY_SFC_SW_DWN,2023,17.03,20.86,22.86,22.77,22.24,22.99,22.48,21.37,21.87,19.55,16.43,15.38,20.48
