# Area: Ecuador
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  -1.83   Longitude -78.18 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 1626.27 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DWN,1981,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1982,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1983,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1984,14.91,13.88,13.11,12.74,13.68,12.36,12.48,14.4,13.41,14.37,14.87,14.84,13.76
ALLSKY_SFC_SW_DWN,1985,14.86,14.02,14.82,14.36,13.81,14.06,13.48,13.65,15.18,16.32,16.98,14.68,14.69
ALLSKY_SFC_SW_DWN,1986,13.59,14.55,12.78,15.47,14.03,14.11,14.87,14.49,15.06,13.59,15.71,14.33,14.37
ALLSKY_SFC_SW_DWN,1987,14.47,13.88,15.17,16.59,16.22,15.99,13.45,14.13,15.23,15.8,16.51,14.52,15.16
ALLSKY_SFC_SW_DWN,1988,14.05,14.25,14.22,13.52,13.94,13.91,14.05,13.29,14.09,14.09,14.55,14.66,14.05
ALLSKY_SFC_SW_DWN,1989,13.9,13.65,13.11,15.04,13.88,13.17,13.2,14.19,15.41,15.93,17.44,18.64,14.8
ALLSKY_SFC_SW_DWN,1990,15.02,14.52,13.89,14.68,13.7,14.19,15.28,15.29,16.94,17.23,17.03,14.96,15.23
ALLSKY_SFC_SW_DWN,1991,14.36,14.19,13.8,15.06,13.99,14.53,15.42,15.7,15.79,16.48,16.07,16.6,15.17
ALLSKY_SFC_SW_DWN,1992,16.21,14.79,13.2,14.05,13.81,14.37,14.62,15.94,14.14,13.41,16.04,14.4,14.58
ALLSKY_SFC_SW_DWN,1993,13.52,13.7,11.51,14.71,14.02,14.95,14.92,15.39,13.1,13.98,15.62,14.12,14.13
ALLSKY_SFC_SW_DWN,1994,14.27,13.6,14.83,14.61,14.09,14.22,14.98,13.58,15.48,16.04,14.83,13.56,14.51
ALLSKY_SFC_SW_DWN,1995,16.2,16.02,15.7,14.27,13.26,13.46,12.88,15.18,14.48,15.07,15.6,14.92,14.75
ALLSKY_SFC_SW_DWN,1996,12.51,12.57,13.38,14.46,13.7,13.35,14.08,13.93,15.1,15.66,19.23,15.7,14.47
ALLSKY_SFC_SW_DWN,1997,14.75,14.0,14.71,14.77,14.85,14.36,13.52,14.94,14.93,15.71,14.25,15.0,14.65
ALLSKY_SFC_SW_DWN,1998,13.91,14.59,14.36,15.02,14.26,13.67,13.19,14.28,15.9,15.08,16.51,17.62,14.86
ALLSKY_SFC_SW_DWN,1999,13.83,12.89,14.05,14.29,13.73,12.9,12.88,15.41,13.66,14.89,16.57,13.0,14.02
ALLSKY_SFC_SW_DWN,2000,13.24,12.53,12.32,13.55,12.75,12.89,13.95,12.98,14.0,16.82,17.29,14.75,13.92
ALLSKY_SFC_SW_DWN,2001,14.47,13.73,13.26,13.11,13.51,13.68,13.54,13.85,15.38,17.84,15.49,15.21,14.43
ALLSKY_SFC_SW_DWN,2002,16.25,13.74,12.73,14.38,13.35,14.12,13.64,14.46,15.83,14.48,13.68,13.29,14.16
ALLSKY_SFC_SW_DWN,2003,13.51,13.13,12.16,14.0,12.73,12.21,13.51,14.32,14.44,16.07,14.9,13.49,13.71
ALLSKY_SFC_SW_DWN,2004,18.59,12.25,12.18,13.78,13.63,13.16,13.09,15.07,13.87,15.42,15.61,16.57,14.45
ALLSKY_SFC_SW_DWN,2005,16.13,13.24,12.32,12.97,14.78,13.62,15.5,14.45,14.9,14.08,16.88,13.88,14.4
ALLSKY_SFC_SW_DWN,2006,13.5,13.14,13.09,13.96,14.84,13.16,13.79,13.73,15.18,17.25,14.65,13.38,14.15
ALLSKY_SFC_SW_DWN,2007,13.36,15.6,12.46,13.26,13.83,11.64,15.83,12.99,12.48,14.42,14.12,13.74,13.64
ALLSKY_SFC_SW_DWN,2008,13.2,12.33,12.66,13.61,12.19,13.27,12.04,12.97,14.06,14.47,14.69,14.65,13.34
ALLSKY_SFC_SW_DWN,2009,11.62,11.81,13.9,13.17,14.53,12.55,13.53,13.49,16.61,16.12,16.39,14.76,14.05
ALLSKY_SFC_SW_DWN,2010,13.99,13.32,14.04,13.68,14.0,11.93,14.13,12.57,15.41,16.14,15.03,12.99,13.94
ALLSKY_SFC_SW_DWN,2011,15.95,12.64,15.32,13.64,13.6,13.37,12.09,15.76,13.87,16.68,17.33,13.64,14.5
ALLSKY_SFC_SW_DWN,2012,13.16,12.5,13.79,13.67,12.62,14.32,13.84,15.14,15.84,15.19,14.31,14.93,14.11
ALLSKY_SFC_SW_DWN,2013,13.23,11.63,13.07,14.71,13.35,13.79,12.6,13.85,15.33,15.62,16.42,14.72,14.03
ALLSKY_SFC_SW_DWN,2014,13.9,12.61,11.89,13.22,12.82,11.88,13.94,13.02,15.57,14.59,15.42,14.75,13.64
ALLSKY_SFC_SW_DWN,2015,12.7,14.79,12.05,12.85,12.71,12.3,13.03,14.05,16.92,14.36,14.67,14.44,13.73
ALLSKY_SFC_SW_DWN,2016,16.53,12.3,11.51,14.41,14.31,11.9,12.51,15.56,15.16,17.26,17.78,15.04,14.53
ALLSKY_SFC_SW_DWN,2017,14.47,12.95,12.61,13.27,13.39,14.1,13.88,15.06,15.08,15.27,15.91,14.78,14.24
ALLSKY_SFC_SW_DWN,2018,14.52,14.44,13.34,14.17,12.72,13.14,13.23,15.04,16.7,16.74,13.48,13.01,14.21
ALLSKY_SFC_SW_DWN,2019,13.98,12.58,13.05,13.65,13.24,12.32,13.2,13.41,16.35,14.44,14.38,13.97,13.72
ALLSKY_SFC_SW_DWN,2020,15.26,14.33,13.89,12.94,12.7,13.82,12.32,16.81,15.35,16.08,16.38,12.93,14.4
ALLSKY_SFC_SW_DWN,2021,13.81,12.98,12.44,13.2,13.6,13.55,13.56,13.16,15.22,15.59,14.95,14.13,13.85
ALLSKY_SFC_SW_DWN,2022,15.08,13.13,12.93,13.08,12.86,13.04,12.54,13.75,17.01,15.18,15.69,16.04,14.2
ALLSKY_SFC_SW_DWN,2023,13.36,12.74,12.14,12.99,13.48,13.11,13.14,15.36,16.5,15.69,14.57,12.88,13.83
