# Area: Georgia
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  42.32   Longitude 43.36 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 1233.67 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DWN,1981,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1982,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1983,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1984,6.13,10.35,12.51,12.92,16.6,20.66,18.25,15.53,15.51,10.7,6.22,5.74,12.59
ALLSKY_SFC_SW_DWN,1985,5.57,7.05,13.3,14.02,18.31,20.22,17.69,20.74,13.54,10.03,6.31,5.79,12.75
ALLSKY_SFC_SW_DWN,1986,6.42,9.35,13.97,16.73,14.37,19.04,22.14,20.81,15.1,11.12,6.58,4.98,13.41
ALLSKY_SFC_SW_DWN,1987,4.15,8.57,12.23,14.74,18.58,19.01,20.42,17.26,15.92,10.71,6.67,4.26,12.73
ALLSKY_SFC_SW_DWN,1988,5.57,9.96,11.11,16.1,18.74,21.21,20.05,17.98,13.52,9.61,4.9,4.21,12.75
ALLSKY_SFC_SW_DWN,1989,5.96,9.64,12.34,15.3,17.69,20.97,20.49,19.01,13.36,9.11,5.92,5.03,12.92
ALLSKY_SFC_SW_DWN,1990,5.81,8.66,12.55,13.16,16.22,18.74,18.7,15.63,13.57,10.49,6.5,5.08,12.11
ALLSKY_SFC_SW_DWN,1991,5.06,8.56,11.55,14.53,15.71,20.52,19.62,16.59,15.25,10.98,7.14,5.74,12.62
ALLSKY_SFC_SW_DWN,1992,5.79,10.04,15.04,13.79,16.94,18.6,19.99,19.61,14.46,9.22,6.2,5.68,12.96
ALLSKY_SFC_SW_DWN,1993,6.57,10.76,13.5,13.03,16.32,20.0,20.41,18.31,14.99,12.5,7.27,5.82,13.3
ALLSKY_SFC_SW_DWN,1994,5.83,9.77,11.82,16.1,18.54,21.26,21.04,17.26,16.96,11.21,5.95,5.77,13.47
ALLSKY_SFC_SW_DWN,1995,5.79,9.26,11.97,13.94,21.07,20.21,20.12,19.35,15.25,10.48,6.24,5.74,13.31
ALLSKY_SFC_SW_DWN,1996,6.96,9.38,12.65,13.48,17.66,20.43,21.36,17.9,12.71,10.35,8.29,4.49,12.98
ALLSKY_SFC_SW_DWN,1997,5.4,10.03,13.47,15.26,20.35,20.65,20.35,20.3,15.09,9.9,8.27,4.89,13.68
ALLSKY_SFC_SW_DWN,1998,6.02,8.86,12.38,16.45,19.24,21.93,21.63,21.21,15.54,12.04,5.61,4.73,13.83
ALLSKY_SFC_SW_DWN,1999,7.4,7.87,12.37,16.19,19.16,20.04,23.75,18.93,15.39,9.97,6.09,5.62,13.6
ALLSKY_SFC_SW_DWN,2000,5.58,8.99,12.36,16.76,18.78,20.48,24.62,19.47,15.63,10.03,8.72,4.73,13.85
ALLSKY_SFC_SW_DWN,2001,7.03,7.35,10.35,13.66,15.2,23.97,23.65,20.26,16.58,10.33,6.62,4.23,13.3
ALLSKY_SFC_SW_DWN,2002,6.15,8.84,11.04,14.0,20.15,18.18,21.93,18.26,16.03,10.58,7.84,5.21,13.21
ALLSKY_SFC_SW_DWN,2003,5.46,7.29,12.42,14.46,21.51,23.27,19.32,19.91,15.0,9.19,6.5,5.44,13.35
ALLSKY_SFC_SW_DWN,2004,6.12,7.19,11.68,15.18,17.54,20.76,21.94,19.56,16.33,11.0,6.65,5.65,13.32
ALLSKY_SFC_SW_DWN,2005,6.37,10.5,11.26,13.83,18.84,19.01,22.98,17.7,14.65,8.11,6.57,5.13,12.93
ALLSKY_SFC_SW_DWN,2006,4.49,8.43,11.81,14.03,20.09,22.8,17.36,22.84,14.75,10.08,5.97,5.39,13.2
ALLSKY_SFC_SW_DWN,2007,6.73,9.66,12.34,12.88,21.99,20.29,22.65,19.83,18.21,11.45,5.74,4.77,13.91
ALLSKY_SFC_SW_DWN,2008,7.35,10.08,11.91,16.33,16.87,19.72,21.07,19.07,14.44,10.91,7.72,5.55,13.43
ALLSKY_SFC_SW_DWN,2009,6.37,8.35,10.63,15.98,19.71,20.91,18.52,18.83,12.85,12.26,6.53,4.98,13.02
ALLSKY_SFC_SW_DWN,2010,4.12,7.61,10.71,14.87,20.62,21.21,22.39,22.51,16.21,8.45,8.89,6.02,13.67
ALLSKY_SFC_SW_DWN,2011,6.07,7.22,12.26,11.88,16.88,20.06,21.54,19.47,16.14,10.12,6.08,5.93,12.84
ALLSKY_SFC_SW_DWN,2012,5.25,9.75,12.29,18.25,17.61,22.89,22.44,18.8,17.68,11.34,7.45,4.83,14.04
ALLSKY_SFC_SW_DWN,2013,5.52,8.07,11.44,15.83,21.49,22.16,17.64,18.91,13.73,11.83,7.41,6.2,13.38
ALLSKY_SFC_SW_DWN,2014,5.8,10.1,11.79,15.18,17.0,21.11,22.61,21.05,13.86,11.62,6.78,4.89,13.5
ALLSKY_SFC_SW_DWN,2015,5.8,9.1,11.85,13.33,18.41,20.73,21.51,20.87,18.36,9.22,6.66,4.91,13.42
ALLSKY_SFC_SW_DWN,2016,4.64,8.94,11.26,17.38,17.23,20.49,20.38,21.43,14.68,9.98,7.58,4.76,13.23
ALLSKY_SFC_SW_DWN,2017,6.77,10.74,13.73,16.88,15.94,20.8,21.87,21.6,18.02,9.81,6.88,5.56,14.06
ALLSKY_SFC_SW_DWN,2018,5.49,9.2,9.1,19.54,18.11,22.61,21.21,18.35,15.6,12.23,7.31,4.95,13.65
ALLSKY_SFC_SW_DWN,2019,5.64,8.24,12.74,15.98,20.88,21.85,20.26,20.33,14.77,12.77,8.45,6.05,14.03
ALLSKY_SFC_SW_DWN,2020,6.33,9.13,12.47,16.56,18.51,22.95,21.74,20.33,17.49,13.15,6.78,6.02,14.3
ALLSKY_SFC_SW_DWN,2021,6.06,7.7,11.88,13.07,21.64,22.1,21.97,20.49,13.09,10.62,7.41,5.51,13.5
ALLSKY_SFC_SW_DWN,2022,5.77,8.93,11.82,16.38,18.04,18.51,21.01,22.43,15.34,9.78,7.23,6.13,13.48
ALLSKY_SFC_SW_DWN,2023,7.73,8.48,9.51,14.86,17.62,19.68,21.91,21.98,16.18,10.6,6.28,5.16,13.36
