# Area: Guadeloupe
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  16.0   Longitude -61.72 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 26.33 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DWN,1981,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1982,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1983,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1984,16.04,18.03,20.51,22.34,21.53,20.27,18.67,20.55,17.76,16.07,12.72,14.88,18.28
ALLSKY_SFC_SW_DWN,1985,16.54,16.94,19.26,20.46,19.87,17.37,19.35,20.68,18.69,16.04,15.08,14.64,17.92
ALLSKY_SFC_SW_DWN,1986,15.9,17.63,19.66,19.62,18.29,18.77,19.26,19.55,18.8,17.18,14.75,14.77,17.85
ALLSKY_SFC_SW_DWN,1987,15.11,18.0,19.08,21.1,18.62,18.26,19.26,20.35,19.15,17.54,14.6,15.51,18.05
ALLSKY_SFC_SW_DWN,1988,15.77,16.91,19.47,21.31,21.92,20.51,19.93,18.93,19.21,17.89,15.48,14.66,18.5
ALLSKY_SFC_SW_DWN,1989,16.29,19.06,20.16,20.95,22.02,19.42,20.91,20.6,17.95,18.83,16.57,16.27,19.09
ALLSKY_SFC_SW_DWN,1990,15.96,18.78,20.18,21.14,21.24,19.5,20.57,20.91,20.68,15.35,16.13,15.39,18.81
ALLSKY_SFC_SW_DWN,1991,15.52,18.28,20.62,21.7,20.69,19.72,20.08,20.58,19.18,18.45,15.31,14.25,18.7
ALLSKY_SFC_SW_DWN,1992,14.96,17.69,19.69,20.53,18.37,18.35,19.61,20.72,19.62,19.83,14.6,16.1,18.34
ALLSKY_SFC_SW_DWN,1993,16.84,20.09,22.22,22.36,20.32,20.96,21.39,21.98,19.36,19.57,18.19,16.78,20.0
ALLSKY_SFC_SW_DWN,1994,17.51,19.67,21.92,23.97,22.86,22.5,22.78,22.96,19.44,19.05,15.4,15.53,20.3
ALLSKY_SFC_SW_DWN,1995,16.57,17.21,19.21,21.82,24.32,22.32,22.55,21.17,19.08,19.37,17.97,16.31,19.84
ALLSKY_SFC_SW_DWN,1996,16.62,19.56,21.65,22.52,22.03,21.05,20.56,22.06,19.09,17.87,16.14,14.77,19.49
ALLSKY_SFC_SW_DWN,1997,17.48,18.97,22.09,23.93,23.6,22.01,21.95,22.82,20.56,18.27,18.16,16.27,20.51
ALLSKY_SFC_SW_DWN,1998,16.75,19.74,20.78,22.62,21.41,20.88,22.9,22.11,21.39,17.92,16.47,14.79,19.81
ALLSKY_SFC_SW_DWN,1999,17.24,18.92,22.86,23.34,23.65,21.28,22.63,23.39,20.57,18.52,14.13,15.5,20.18
ALLSKY_SFC_SW_DWN,2000,16.66,19.75,21.31,22.39,22.55,21.17,23.18,22.58,21.25,20.09,16.73,16.39,20.34
ALLSKY_SFC_SW_DWN,2001,17.52,20.19,23.04,23.56,23.59,23.21,22.26,22.53,22.41,17.29,17.83,14.34,20.64
ALLSKY_SFC_SW_DWN,2002,17.37,19.04,22.57,22.38,22.89,22.39,22.56,23.32,21.25,18.73,17.65,16.92,20.6
ALLSKY_SFC_SW_DWN,2003,17.79,20.2,22.69,22.91,21.68,20.64,21.87,23.2,20.98,18.86,14.46,15.84,20.1
ALLSKY_SFC_SW_DWN,2004,17.29,19.37,22.03,23.52,19.16,21.79,21.11,23.32,20.5,18.15,14.6,16.74,19.8
ALLSKY_SFC_SW_DWN,2005,15.43,17.3,22.88,23.0,22.29,20.08,20.99,22.75,20.8,17.09,17.24,16.98,19.75
ALLSKY_SFC_SW_DWN,2006,16.42,20.05,21.14,23.45,23.27,21.21,21.8,21.41,21.48,18.28,17.83,15.86,20.18
ALLSKY_SFC_SW_DWN,2007,17.92,19.95,20.46,23.75,23.62,23.22,22.35,21.37,20.4,17.05,18.49,16.94,20.45
ALLSKY_SFC_SW_DWN,2008,17.18,19.81,21.9,22.66,23.23,21.56,22.66,22.13,19.17,17.31,16.51,16.83,20.08
ALLSKY_SFC_SW_DWN,2009,17.31,19.59,21.67,22.88,21.4,22.34,21.33,23.16,20.25,19.54,17.65,16.73,20.32
ALLSKY_SFC_SW_DWN,2010,17.9,20.15,21.42,21.3,21.79,21.53,20.07,22.06,20.51,17.98,16.42,15.15,19.68
ALLSKY_SFC_SW_DWN,2011,17.06,19.92,22.27,21.52,20.09,21.2,19.84,19.82,20.26,20.76,17.21,15.13,19.58
ALLSKY_SFC_SW_DWN,2012,18.18,20.4,20.75,22.82,20.43,23.11,21.95,20.7,21.54,18.41,18.08,16.18,20.2
ALLSKY_SFC_SW_DWN,2013,17.31,20.94,22.34,21.84,21.98,20.46,23.09,21.92,20.92,19.02,17.62,15.56,20.25
ALLSKY_SFC_SW_DWN,2014,18.27,19.74,23.29,23.97,22.22,22.03,22.5,21.34,20.35,19.4,16.72,16.5,20.53
ALLSKY_SFC_SW_DWN,2015,18.5,20.48,22.4,22.9,23.12,21.91,22.24,22.37,21.66,19.29,16.17,16.57,20.63
ALLSKY_SFC_SW_DWN,2016,16.78,20.23,21.47,21.31,21.19,21.8,22.78,22.42,20.82,19.28,15.43,16.53,20.01
ALLSKY_SFC_SW_DWN,2017,18.16,20.26,21.4,20.97,22.09,20.79,23.15,22.03,17.95,18.38,17.97,16.83,20.0
ALLSKY_SFC_SW_DWN,2018,17.23,20.42,22.81,22.85,23.52,22.67,21.87,22.32,21.52,19.76,16.01,17.32,20.69
ALLSKY_SFC_SW_DWN,2019,16.97,20.07,22.55,23.15,20.73,21.63,22.58,22.15,21.68,20.03,18.1,16.88,20.54
ALLSKY_SFC_SW_DWN,2020,17.31,19.46,22.33,24.95,23.89,22.96,22.9,22.59,21.09,17.84,15.95,17.23,20.71
ALLSKY_SFC_SW_DWN,2021,17.35,20.33,22.77,22.16,23.53,20.52,22.37,22.55,22.08,19.38,18.7,17.06,20.73
ALLSKY_SFC_SW_DWN,2022,18.56,20.6,22.24,23.39,22.12,22.35,22.24,23.15,20.16,19.87,16.83,17.7,20.77
ALLSKY_SFC_SW_DWN,2023,17.74,20.58,23.2,23.7,23.63,23.05,21.13,22.33,22.63,17.72,18.56,17.23,20.95
