# Area: Guinea-Bissau
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  11.8   Longitude -15.18 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 30.32 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DWN,1981,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1982,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1983,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1984,15.9,19.6,21.79,21.6,21.5,17.6,17.59,17.53,18.44,17.94,19.01,16.19,18.71
ALLSKY_SFC_SW_DWN,1985,16.92,20.37,21.25,21.7,22.33,20.46,17.18,17.03,17.33,18.87,19.09,16.72,19.09
ALLSKY_SFC_SW_DWN,1986,17.45,21.84,22.3,22.12,21.14,19.54,17.72,16.86,17.47,18.16,18.5,18.08,19.24
ALLSKY_SFC_SW_DWN,1987,17.07,19.15,23.38,22.3,21.78,18.76,18.67,17.48,17.87,18.7,19.13,17.74,19.34
ALLSKY_SFC_SW_DWN,1988,18.45,18.95,23.25,22.81,22.93,20.24,16.97,15.32,17.2,18.79,19.23,17.2,19.27
ALLSKY_SFC_SW_DWN,1989,18.79,20.78,22.14,21.94,23.06,19.45,18.56,15.85,18.77,18.87,18.1,18.22,19.53
ALLSKY_SFC_SW_DWN,1990,18.67,21.09,21.89,22.66,23.39,20.07,16.94,18.13,18.34,18.98,18.51,18.71,19.77
ALLSKY_SFC_SW_DWN,1991,17.99,21.73,23.11,23.78,23.96,20.71,17.1,16.11,18.37,17.32,18.38,17.59,19.65
ALLSKY_SFC_SW_DWN,1992,17.93,18.93,21.33,22.96,20.95,18.66,16.34,16.68,17.83,18.92,18.17,18.12,18.9
ALLSKY_SFC_SW_DWN,1993,17.97,20.65,23.56,22.19,22.79,19.93,18.12,17.32,17.99,18.4,18.93,18.74,19.71
ALLSKY_SFC_SW_DWN,1994,19.57,20.59,23.57,23.25,23.11,19.82,18.71,17.66,17.33,18.91,17.96,17.3,19.81
ALLSKY_SFC_SW_DWN,1995,18.86,20.26,23.73,23.68,22.94,20.42,17.84,16.09,18.23,19.32,18.71,16.86,19.73
ALLSKY_SFC_SW_DWN,1996,19.9,21.31,22.06,24.04,22.25,19.09,17.63,18.4,17.98,18.62,18.78,18.34,19.86
ALLSKY_SFC_SW_DWN,1997,19.63,21.25,21.69,24.95,22.49,18.17,18.53,16.84,18.14,17.67,18.82,17.66,19.64
ALLSKY_SFC_SW_DWN,1998,19.78,21.67,22.23,23.18,22.1,19.14,17.41,17.62,17.37,18.88,19.02,17.63,19.65
ALLSKY_SFC_SW_DWN,1999,20.12,22.61,24.2,22.95,23.48,18.74,17.43,15.36,17.48,17.58,17.87,18.96,19.71
ALLSKY_SFC_SW_DWN,2000,19.31,21.81,24.0,23.21,23.35,19.76,17.64,17.61,16.9,17.57,17.68,18.95,19.81
ALLSKY_SFC_SW_DWN,2001,21.14,21.12,24.77,24.28,22.76,18.37,17.72,17.12,18.52,19.09,17.19,17.62,19.97
ALLSKY_SFC_SW_DWN,2002,18.28,21.74,23.64,23.66,23.92,18.92,18.36,17.08,18.56,18.38,19.45,18.48,20.02
ALLSKY_SFC_SW_DWN,2003,19.86,22.19,23.5,24.55,22.04,18.96,14.35,15.33,16.03,17.98,18.56,18.02,19.26
ALLSKY_SFC_SW_DWN,2004,18.4,20.67,22.34,23.65,23.61,19.68,16.08,17.93,18.56,19.26,18.88,18.41,19.78
ALLSKY_SFC_SW_DWN,2005,18.35,19.9,24.75,23.58,20.4,16.59,17.9,16.62,17.78,18.84,19.22,18.54,19.37
ALLSKY_SFC_SW_DWN,2006,19.89,21.67,23.43,24.31,23.46,19.65,17.67,16.43,17.34,18.62,19.99,19.63,20.16
ALLSKY_SFC_SW_DWN,2007,19.33,22.06,23.08,24.02,22.15,20.42,17.21,16.62,17.61,19.99,19.03,19.8,20.09
ALLSKY_SFC_SW_DWN,2008,19.99,21.12,23.91,23.23,21.87,19.35,17.18,16.18,17.75,18.15,19.77,19.03,19.79
ALLSKY_SFC_SW_DWN,2009,20.35,21.66,24.26,24.39,23.07,19.0,18.16,15.28,16.92,18.45,18.17,17.63,19.76
ALLSKY_SFC_SW_DWN,2010,20.13,21.67,22.55,23.24,20.77,19.3,15.96,15.76,16.34,18.51,20.2,18.08,19.35
ALLSKY_SFC_SW_DWN,2011,18.21,23.07,24.68,23.81,23.49,17.16,17.19,17.3,18.42,18.75,19.46,19.25,20.05
ALLSKY_SFC_SW_DWN,2012,20.29,19.3,21.54,23.74,22.16,19.79,15.74,17.52,17.84,17.96,18.34,19.2,19.45
ALLSKY_SFC_SW_DWN,2013,18.91,22.64,24.68,25.48,22.74,19.51,17.48,14.42,17.48,19.11,18.25,18.47,19.91
ALLSKY_SFC_SW_DWN,2014,20.26,22.81,24.6,25.2,22.1,20.33,17.22,15.47,18.41,18.58,18.13,17.87,20.05
ALLSKY_SFC_SW_DWN,2015,18.34,22.26,23.36,22.84,21.29,19.5,15.92,16.7,16.99,17.86,18.47,16.63,19.15
ALLSKY_SFC_SW_DWN,2016,18.68,21.02,24.87,25.38,22.87,19.79,15.41,17.77,17.73,19.79,18.95,18.29,20.04
ALLSKY_SFC_SW_DWN,2017,20.26,21.84,23.85,24.09,21.39,18.24,16.4,17.02,18.35,19.96,17.8,18.79,19.82
ALLSKY_SFC_SW_DWN,2018,19.73,20.87,23.38,24.83,24.1,19.0,15.83,16.27,16.15,19.95,18.17,19.79,19.83
ALLSKY_SFC_SW_DWN,2019,20.16,21.24,24.6,24.97,24.22,21.04,15.51,16.2,17.33,19.59,19.53,19.88,20.34
ALLSKY_SFC_SW_DWN,2020,18.63,21.84,24.7,23.71,22.97,18.33,14.65,15.13,17.72,20.26,20.27,19.92,19.83
ALLSKY_SFC_SW_DWN,2021,20.59,20.84,24.16,24.85,22.56,19.62,16.49,15.95,19.26,18.12,18.65,18.18,19.92
ALLSKY_SFC_SW_DWN,2022,20.18,22.34,23.32,24.4,23.51,18.87,15.36,14.75,17.69,19.06,19.07,18.55,19.73
ALLSKY_SFC_SW_DWN,2023,20.06,20.77,24.31,24.74,20.67,17.78,17.28,17.33,17.3,17.92,19.56,18.98,19.71
