# Area: Guinea
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  9.56   Longitude -13.68 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 16.73 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DWN,1981,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1982,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1983,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1984,17.12,20.0,21.91,21.5,20.02,17.67,17.38,18.54,19.05,18.52,18.86,17.16,18.97
ALLSKY_SFC_SW_DWN,1985,18.93,21.02,20.9,20.93,20.92,17.86,16.69,15.95,17.86,19.12,19.34,17.64,18.91
ALLSKY_SFC_SW_DWN,1986,18.77,22.06,22.56,21.57,20.01,17.63,14.83,15.43,16.45,17.85,18.18,18.34,18.61
ALLSKY_SFC_SW_DWN,1987,18.73,22.04,24.09,22.74,19.55,17.64,17.32,16.4,18.77,18.74,19.14,18.12,19.42
ALLSKY_SFC_SW_DWN,1988,19.69,21.03,23.23,22.43,21.36,18.59,14.92,13.3,16.39,19.36,19.03,18.37,18.96
ALLSKY_SFC_SW_DWN,1989,19.72,20.1,22.28,21.41,20.09,17.85,17.62,14.04,18.08,19.13,18.02,17.47,18.81
ALLSKY_SFC_SW_DWN,1990,18.82,21.29,21.35,22.3,19.87,18.42,15.18,16.48,17.85,19.8,17.97,18.18,18.94
ALLSKY_SFC_SW_DWN,1991,19.01,21.08,21.86,22.48,20.97,18.24,16.09,15.02,18.77,17.76,18.23,17.84,18.92
ALLSKY_SFC_SW_DWN,1992,17.97,18.47,21.37,22.87,18.12,16.75,15.59,14.22,17.95,18.89,17.93,18.41,18.2
ALLSKY_SFC_SW_DWN,1993,18.22,20.61,22.02,21.65,20.02,17.81,16.2,16.48,18.95,18.4,18.41,19.07,18.97
ALLSKY_SFC_SW_DWN,1994,19.37,20.93,22.57,22.3,21.11,18.37,16.46,15.16,17.16,17.99,18.76,18.26,19.02
ALLSKY_SFC_SW_DWN,1995,19.6,19.6,22.5,21.79,20.8,18.55,15.83,15.62,18.34,19.33,19.07,17.42,19.03
ALLSKY_SFC_SW_DWN,1996,20.18,21.6,21.32,22.69,19.57,17.91,16.64,17.26,17.37,18.98,19.41,17.74,19.21
ALLSKY_SFC_SW_DWN,1997,19.35,21.02,21.59,23.42,19.66,16.46,15.26,16.06,17.69,19.02,18.34,18.39,18.84
ALLSKY_SFC_SW_DWN,1998,19.21,21.92,21.04,22.41,19.2,18.02,16.39,15.12,17.36,19.16,19.23,17.74,18.87
ALLSKY_SFC_SW_DWN,1999,19.7,22.01,23.41,21.98,20.69,18.23,16.03,12.9,17.2,18.11,16.79,18.5,18.77
ALLSKY_SFC_SW_DWN,2000,18.87,21.88,22.78,21.59,20.83,16.75,17.01,15.18,16.28,17.81,18.05,18.87,18.82
ALLSKY_SFC_SW_DWN,2001,19.85,21.21,23.12,21.92,20.63,17.66,16.46,13.46,17.57,18.82,16.28,17.53,18.69
ALLSKY_SFC_SW_DWN,2002,18.26,21.18,22.48,22.61,21.88,17.23,16.25,14.06,17.34,18.48,19.18,18.41,18.93
ALLSKY_SFC_SW_DWN,2003,17.81,22.02,22.67,22.83,20.32,17.11,13.41,13.59,16.98,18.39,18.23,18.01,18.41
ALLSKY_SFC_SW_DWN,2004,19.1,19.88,20.92,22.01,18.63,16.79,15.6,15.87,19.41,19.46,19.77,18.3,18.8
ALLSKY_SFC_SW_DWN,2005,18.56,20.0,22.87,21.54,19.43,15.17,16.24,13.8,18.69,18.98,18.79,18.97,18.58
ALLSKY_SFC_SW_DWN,2006,19.72,21.34,22.22,22.26,20.39,16.47,16.34,14.05,18.15,18.74,20.02,19.66,19.09
ALLSKY_SFC_SW_DWN,2007,19.34,21.59,22.19,22.25,19.79,17.13,14.49,14.1,17.11,19.27,18.89,19.66,18.79
ALLSKY_SFC_SW_DWN,2008,20.55,20.88,22.18,21.33,20.06,17.01,16.13,14.38,17.29,18.19,19.64,18.81,18.86
ALLSKY_SFC_SW_DWN,2009,19.19,21.89,23.32,22.58,21.2,17.89,15.57,13.58,15.88,18.99,17.94,18.82,18.88
ALLSKY_SFC_SW_DWN,2010,20.22,21.27,20.66,20.88,18.59,17.77,15.0,14.64,17.18,18.11,19.92,17.6,18.46
ALLSKY_SFC_SW_DWN,2011,18.94,23.01,23.05,22.33,19.61,16.55,15.18,15.17,17.36,18.63,18.71,19.13,18.94
ALLSKY_SFC_SW_DWN,2012,20.69,19.48,21.88,22.55,19.92,16.99,13.92,14.58,17.47,18.38,18.42,18.88,18.59
ALLSKY_SFC_SW_DWN,2013,19.96,22.51,23.85,24.05,19.67,17.36,15.41,13.28,16.41,18.76,19.19,19.27,19.12
ALLSKY_SFC_SW_DWN,2014,20.33,22.38,23.63,23.82,20.04,17.39,16.62,14.17,16.77,18.29,17.7,18.16,19.08
ALLSKY_SFC_SW_DWN,2015,19.15,22.18,22.6,21.56,20.74,16.82,15.08,15.18,17.09,18.93,19.18,17.08,18.77
ALLSKY_SFC_SW_DWN,2016,17.45,20.7,24.08,24.0,22.04,16.98,13.36,14.13,16.34,20.03,18.45,18.26,18.81
ALLSKY_SFC_SW_DWN,2017,20.97,21.6,22.86,22.77,19.7,16.23,15.1,15.26,17.76,19.63,17.9,19.12,19.06
ALLSKY_SFC_SW_DWN,2018,19.78,21.18,22.89,23.12,21.77,16.01,14.39,14.9,16.94,19.15,18.72,20.6,19.11
ALLSKY_SFC_SW_DWN,2019,20.0,22.12,23.1,22.7,21.83,17.25,14.58,13.83,17.43,18.72,19.41,20.72,19.29
ALLSKY_SFC_SW_DWN,2020,19.06,21.57,23.46,20.58,19.45,18.25,13.36,13.33,17.29,19.85,20.05,19.5,18.79
ALLSKY_SFC_SW_DWN,2021,20.45,20.89,22.38,22.46,20.17,17.93,15.06,15.37,19.06,19.29,19.97,18.46,19.27
ALLSKY_SFC_SW_DWN,2022,20.35,22.01,22.64,23.7,19.85,18.1,13.95,12.97,16.17,19.24,19.65,18.72,18.92
ALLSKY_SFC_SW_DWN,2023,21.37,21.05,23.63,23.06,18.54,16.44,16.37,15.5,17.36,18.07,18.67,20.18,19.17
