# Area: Guyana
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  4.86   Longitude -58.93 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 127.22 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DWN,1981,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1982,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1983,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1984,16.84,18.77,19.28,19.97,17.42,17.64,18.07,18.99,19.58,17.69,17.84,15.14,18.09
ALLSKY_SFC_SW_DWN,1985,16.59,17.1,17.67,17.78,17.0,16.11,17.24,18.68,19.55,18.28,16.3,16.31,17.38
ALLSKY_SFC_SW_DWN,1986,16.2,16.74,19.05,18.55,16.28,16.26,17.66,18.97,19.68,18.1,16.11,15.4,17.42
ALLSKY_SFC_SW_DWN,1987,14.8,16.94,18.17,17.41,17.03,17.47,18.04,19.93,20.24,19.43,18.09,16.85,17.87
ALLSKY_SFC_SW_DWN,1988,16.41,17.46,17.73,18.45,17.25,17.32,17.66,18.92,19.65,19.39,17.41,17.34,17.92
ALLSKY_SFC_SW_DWN,1989,16.3,16.23,16.41,18.55,17.04,18.13,19.13,20.47,21.35,18.65,16.28,16.32,17.91
ALLSKY_SFC_SW_DWN,1990,15.79,17.67,16.84,15.89,17.26,18.31,19.2,20.68,20.95,19.91,17.89,16.12,18.04
ALLSKY_SFC_SW_DWN,1991,16.47,17.98,17.82,18.92,17.82,16.91,17.86,19.53,21.4,21.38,19.6,16.92,18.55
ALLSKY_SFC_SW_DWN,1992,17.65,16.7,18.84,17.68,17.9,17.73,18.87,19.62,21.93,20.15,18.33,16.37,18.49
ALLSKY_SFC_SW_DWN,1993,16.37,17.59,18.01,18.27,17.48,18.93,19.7,19.57,20.68,19.85,17.94,17.4,18.48
ALLSKY_SFC_SW_DWN,1994,17.88,18.07,19.45,19.13,18.1,18.62,18.59,20.75,20.92,19.62,18.0,17.5,18.89
ALLSKY_SFC_SW_DWN,1995,17.31,17.2,16.83,17.88,17.67,16.91,18.81,20.58,22.01,20.68,18.02,17.65,18.47
ALLSKY_SFC_SW_DWN,1996,17.67,17.36,19.32,19.33,16.57,16.45,18.05,20.59,22.06,21.13,18.09,17.23,18.66
ALLSKY_SFC_SW_DWN,1997,16.54,16.33,18.83,19.53,17.19,18.07,19.44,21.45,22.44,21.2,19.37,15.91,18.87
ALLSKY_SFC_SW_DWN,1998,17.31,17.22,17.97,16.78,17.76,18.87,19.74,21.04,21.55,20.68,18.91,16.87,18.73
ALLSKY_SFC_SW_DWN,1999,16.8,18.36,19.87,19.08,19.2,17.74,18.55,19.14,20.96,20.07,19.25,17.57,18.88
ALLSKY_SFC_SW_DWN,2000,16.34,18.38,18.53,16.34,16.55,17.44,18.43,20.47,20.82,20.9,17.17,15.96,18.11
ALLSKY_SFC_SW_DWN,2001,16.34,16.97,19.17,18.66,16.65,16.81,19.24,19.15,20.91,20.25,18.92,16.36,18.29
ALLSKY_SFC_SW_DWN,2002,18.45,16.79,18.7,18.22,17.8,17.56,19.29,20.38,22.71,20.69,18.63,16.36,18.81
ALLSKY_SFC_SW_DWN,2003,18.07,17.86,17.65,18.43,16.26,18.1,19.06,20.97,20.81,20.11,18.58,18.34,18.69
ALLSKY_SFC_SW_DWN,2004,18.37,18.28,16.94,18.7,16.45,18.62,19.59,21.3,21.7,20.86,19.8,18.58,19.1
ALLSKY_SFC_SW_DWN,2005,16.6,17.94,19.37,16.77,18.21,18.9,18.41,20.23,22.4,20.83,18.53,16.76,18.75
ALLSKY_SFC_SW_DWN,2006,15.74,17.73,19.25,19.2,16.74,17.77,17.84,20.58,22.28,20.02,17.61,16.28,18.42
ALLSKY_SFC_SW_DWN,2007,16.49,19.53,18.11,17.96,17.49,17.62,18.97,19.19,20.83,19.98,19.88,15.39,18.44
ALLSKY_SFC_SW_DWN,2008,16.69,16.1,18.34,18.6,16.69,17.04,18.47,20.5,21.73,20.99,18.86,15.25,18.28
ALLSKY_SFC_SW_DWN,2009,16.71,17.33,17.99,19.57,19.43,16.55,19.63,20.91,21.79,20.09,18.75,16.86,18.81
ALLSKY_SFC_SW_DWN,2010,17.56,17.32,18.92,16.83,16.45,18.1,18.38,18.84,21.31,21.16,18.4,17.84,18.43
ALLSKY_SFC_SW_DWN,2011,18.72,17.58,16.64,19.6,16.19,17.93,18.7,21.47,21.7,19.09,17.98,18.18,18.65
ALLSKY_SFC_SW_DWN,2012,16.2,17.71,17.56,17.08,18.28,18.65,18.16,19.5,22.07,21.33,19.86,16.76,18.59
ALLSKY_SFC_SW_DWN,2013,17.27,15.71,19.26,17.74,16.12,18.99,18.78,19.3,21.21,20.86,18.61,16.53,18.38
ALLSKY_SFC_SW_DWN,2014,17.81,16.65,17.87,18.21,16.93,17.14,19.26,20.39,22.2,20.52,18.15,17.86,18.6
ALLSKY_SFC_SW_DWN,2015,17.54,17.85,17.38,17.94,17.08,17.91,18.78,19.77,22.61,21.3,18.81,16.58,18.63
ALLSKY_SFC_SW_DWN,2016,17.29,15.76,18.12,16.77,16.48,17.38,18.45,21.21,22.22,21.72,18.74,17.02,18.44
ALLSKY_SFC_SW_DWN,2017,16.26,16.64,18.06,18.19,18.17,17.43,17.83,21.65,21.01,20.53,18.63,16.39,18.41
ALLSKY_SFC_SW_DWN,2018,18.23,17.47,18.96,16.95,15.47,16.85,18.2,21.04,21.43,21.02,17.56,16.57,18.32
ALLSKY_SFC_SW_DWN,2019,17.16,17.6,19.07,18.3,15.34,17.04,18.46,20.16,20.86,20.33,17.84,16.01,18.18
ALLSKY_SFC_SW_DWN,2020,18.39,18.31,18.09,18.2,16.91,17.12,19.52,19.13,22.14,20.6,16.98,16.52,18.49
ALLSKY_SFC_SW_DWN,2021,15.91,16.25,17.7,16.63,16.19,18.02,17.35,19.18,22.07,19.9,17.72,14.89,17.65
ALLSKY_SFC_SW_DWN,2022,18.21,15.95,18.29,15.8,17.01,16.4,17.62,19.97,20.52,18.71,16.24,15.62,17.55
ALLSKY_SFC_SW_DWN,2023,16.04,15.76,18.01,17.93,16.73,18.19,18.15,21.93,22.77,21.87,18.94,17.72,18.68
