# Area: Latvia
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  56.88   Longitude 24.6 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 42.62 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DWN,1981,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1982,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1983,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1984,1.38,4.35,10.52,14.95,18.39,18.86,15.83,15.06,7.62,3.56,1.68,0.93,9.44
ALLSKY_SFC_SW_DWN,1985,1.35,4.58,8.69,13.93,19.72,17.69,17.18,14.05,8.7,4.02,1.99,0.86,9.42
ALLSKY_SFC_SW_DWN,1986,1.43,4.52,9.16,11.2,17.35,20.53,17.03,15.03,8.72,4.21,1.63,1.0,9.35
ALLSKY_SFC_SW_DWN,1987,1.17,3.95,10.44,14.23,14.03,17.54,19.15,13.78,10.13,5.52,2.24,0.96,9.45
ALLSKY_SFC_SW_DWN,1988,1.38,3.73,8.93,13.1,21.27,20.6,18.73,13.42,10.25,4.74,1.94,1.07,9.95
ALLSKY_SFC_SW_DWN,1989,1.27,3.38,6.27,11.74,21.15,18.79,20.09,13.18,10.41,4.74,1.61,0.96,9.5
ALLSKY_SFC_SW_DWN,1990,1.44,3.25,7.8,16.26,19.61,20.46,15.13,14.46,8.08,4.54,1.61,1.02,9.5
ALLSKY_SFC_SW_DWN,1991,1.41,4.33,7.32,12.13,16.59,17.56,20.23,15.89,9.16,5.03,1.83,0.92,9.4
ALLSKY_SFC_SW_DWN,1992,1.43,3.48,7.19,10.11,20.29,24.41,20.29,15.14,8.13,4.42,2.04,0.95,9.84
ALLSKY_SFC_SW_DWN,1993,1.35,3.56,7.54,14.5,21.33,20.18,17.8,14.41,9.43,4.53,2.2,0.84,9.84
ALLSKY_SFC_SW_DWN,1994,1.37,4.43,8.72,11.38,18.78,20.35,24.12,14.76,8.25,4.43,1.75,1.02,9.99
ALLSKY_SFC_SW_DWN,1995,1.53,3.02,6.18,13.07,17.23,20.39,21.14,17.44,10.46,4.86,2.12,1.24,9.93
ALLSKY_SFC_SW_DWN,1996,1.79,4.23,10.81,15.77,16.58,20.84,18.34,18.47,9.93,4.7,1.85,1.0,10.37
ALLSKY_SFC_SW_DWN,1997,1.45,3.89,8.35,12.22,18.53,18.99,21.07,19.83,10.37,3.9,1.52,0.93,10.13
ALLSKY_SFC_SW_DWN,1998,1.22,3.48,8.97,12.98,20.03,17.97,16.87,13.96,10.63,4.97,2.18,1.0,9.56
ALLSKY_SFC_SW_DWN,1999,1.31,3.72,9.51,12.02,20.1,22.68,21.96,15.97,11.48,4.04,1.9,0.9,10.5
ALLSKY_SFC_SW_DWN,2000,1.37,3.64,7.65,15.12,20.03,19.18,16.12,13.36,11.71,4.63,1.16,0.86,9.58
ALLSKY_SFC_SW_DWN,2001,1.24,4.05,8.9,10.92,20.13,18.01,20.46,15.42,8.6,4.76,2.03,1.26,9.69
ALLSKY_SFC_SW_DWN,2002,1.31,3.51,8.18,14.63,22.11,20.38,19.65,18.04,10.47,4.52,1.53,1.31,10.51
ALLSKY_SFC_SW_DWN,2003,1.47,3.89,9.82,13.32,17.11,20.33,19.17,14.7,11.24,4.39,1.3,1.1,9.85
ALLSKY_SFC_SW_DWN,2004,1.62,3.57,8.12,16.27,18.09,17.81,17.31,15.2,9.43,5.08,2.03,0.98,9.64
ALLSKY_SFC_SW_DWN,2005,1.55,4.61,9.99,13.54,17.47,22.05,20.82,14.86,10.76,6.55,1.76,1.04,10.45
ALLSKY_SFC_SW_DWN,2006,1.73,4.52,10.16,13.79,18.35,22.43,22.6,13.81,11.86,4.71,1.59,1.02,10.58
ALLSKY_SFC_SW_DWN,2007,1.65,5.1,8.53,14.57,18.37,21.13,17.15,16.95,10.42,4.29,1.75,0.81,10.08
ALLSKY_SFC_SW_DWN,2008,1.4,3.15,6.82,13.65,20.06,21.32,19.9,13.79,8.88,4.48,2.0,0.94,9.72
ALLSKY_SFC_SW_DWN,2009,1.41,3.74,7.1,17.46,19.24,17.74,18.66,16.64,10.26,4.1,1.73,0.92,9.95
ALLSKY_SFC_SW_DWN,2010,2.46,3.58,8.42,13.47,17.9,17.83,21.09,14.82,9.0,6.01,1.76,0.86,9.81
ALLSKY_SFC_SW_DWN,2011,1.42,5.71,9.89,15.28,18.12,22.14,18.54,15.11,10.11,5.46,1.96,0.97,10.41
ALLSKY_SFC_SW_DWN,2012,1.59,4.63,8.75,14.04,19.41,19.13,18.71,13.72,9.33,4.26,1.41,0.89,9.67
ALLSKY_SFC_SW_DWN,2013,1.72,4.45,12.15,12.7,19.48,21.11,18.46,16.42,10.28,4.41,1.71,0.99,10.36
ALLSKY_SFC_SW_DWN,2014,2.39,3.15,8.57,17.03,17.46,17.76,21.07,14.55,10.87,5.2,1.91,1.12,10.13
ALLSKY_SFC_SW_DWN,2015,1.3,3.36,7.99,12.51,17.02,20.97,18.73,19.0,9.27,6.45,1.88,1.2,10.02
ALLSKY_SFC_SW_DWN,2016,1.67,3.31,8.11,13.14,21.23,20.92,17.16,13.59,10.9,4.58,1.55,1.05,9.78
ALLSKY_SFC_SW_DWN,2017,1.37,3.66,8.07,12.66,21.5,20.46,18.28,15.85,8.2,4.37,1.69,1.04,9.8
ALLSKY_SFC_SW_DWN,2018,1.28,4.52,9.48,14.35,23.96,23.12,18.89,15.82,11.2,5.84,1.64,0.86,10.95
ALLSKY_SFC_SW_DWN,2019,1.58,3.77,8.07,17.62,16.94,23.63,18.43,15.83,10.45,4.59,1.37,1.0,10.29
ALLSKY_SFC_SW_DWN,2020,1.37,3.79,9.57,14.81,19.32,21.07,18.43,16.12,10.92,4.35,1.84,1.0,10.23
ALLSKY_SFC_SW_DWN,2021,1.49,4.86,8.18,12.94,16.66,23.33,21.51,12.69,10.26,6.05,1.78,1.09,10.09
ALLSKY_SFC_SW_DWN,2022,1.54,3.93,11.66,15.19,18.23,21.42,20.21,17.49,10.42,4.82,1.63,0.98,10.66
ALLSKY_SFC_SW_DWN,2023,1.2,3.58,7.25,13.89,22.62,23.18,18.04,14.3,12.47,4.46,1.92,1.01,10.35
