# Area: Madagascar
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  -18.77   Longitude 46.87 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 1301.86 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DWN,1981,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1982,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1983,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1984,20.41,21.4,21.24,19.19,17.31,15.37,16.72,18.88,22.97,22.69,24.06,24.25,20.37
ALLSKY_SFC_SW_DWN,1985,25.66,20.79,20.56,19.4,17.3,15.0,16.7,19.25,21.57,25.2,24.73,23.2,20.79
ALLSKY_SFC_SW_DWN,1986,24.33,21.24,22.17,18.68,17.05,16.17,17.43,19.19,21.9,21.52,23.7,23.1,20.54
ALLSKY_SFC_SW_DWN,1987,21.23,23.09,20.98,19.51,17.82,16.6,16.0,19.41,22.27,23.08,23.02,24.53,20.61
ALLSKY_SFC_SW_DWN,1988,21.46,22.0,21.3,20.23,17.88,15.97,17.01,19.77,22.94,23.24,24.26,23.97,20.83
ALLSKY_SFC_SW_DWN,1989,22.94,20.59,21.12,20.08,16.2,15.38,16.72,19.18,21.18,24.26,24.08,22.22,20.33
ALLSKY_SFC_SW_DWN,1990,23.19,22.64,22.54,18.65,18.26,16.4,17.23,19.14,21.66,24.67,24.99,24.95,21.19
ALLSKY_SFC_SW_DWN,1991,24.78,19.9,19.97,18.02,15.7,15.61,17.91,20.39,22.66,24.13,24.93,24.76,20.74
ALLSKY_SFC_SW_DWN,1992,21.57,21.7,20.6,19.72,18.02,16.47,17.89,20.09,22.96,23.43,23.45,26.04,21.0
ALLSKY_SFC_SW_DWN,1993,21.94,19.5,20.62,19.81,16.64,15.96,17.76,19.8,22.43,24.89,24.45,23.73,20.64
ALLSKY_SFC_SW_DWN,1994,20.38,19.87,20.85,20.68,17.59,16.89,16.88,19.18,24.02,23.42,26.61,24.1,20.87
ALLSKY_SFC_SW_DWN,1995,21.56,21.28,22.37,19.52,16.94,16.08,17.78,20.59,21.91,26.17,24.96,22.62,20.98
ALLSKY_SFC_SW_DWN,1996,22.47,20.92,20.05,20.89,16.96,16.13,17.01,20.21,23.23,25.53,26.4,21.19,20.91
ALLSKY_SFC_SW_DWN,1997,20.57,21.46,22.27,18.8,17.14,16.71,17.58,19.57,22.18,23.2,24.83,23.82,20.67
ALLSKY_SFC_SW_DWN,1998,22.74,20.2,23.05,20.66,19.61,16.82,18.7,20.41,22.82,25.38,27.38,21.49,21.61
ALLSKY_SFC_SW_DWN,1999,24.23,24.33,22.22,20.98,18.53,17.5,16.57,19.84,23.97,25.19,25.02,24.23,21.86
ALLSKY_SFC_SW_DWN,2000,22.01,22.63,22.86,20.88,18.14,17.02,16.89,20.28,24.84,24.83,20.82,22.32,21.12
ALLSKY_SFC_SW_DWN,2001,20.64,24.91,22.93,20.64,18.73,17.16,17.54,20.65,23.19,24.25,26.28,24.8,21.78
ALLSKY_SFC_SW_DWN,2002,25.77,21.65,22.51,20.16,16.34,16.6,17.43,20.4,22.89,25.7,25.86,24.47,21.65
ALLSKY_SFC_SW_DWN,2003,19.93,22.73,21.73,21.61,17.95,17.5,18.28,21.01,22.48,26.81,25.94,23.82,21.64
ALLSKY_SFC_SW_DWN,2004,22.09,22.18,19.65,20.75,18.03,16.69,17.61,20.07,21.98,24.04,24.93,21.33,20.77
ALLSKY_SFC_SW_DWN,2005,22.15,24.07,21.74,19.97,17.25,16.23,17.78,20.61,23.07,26.27,25.37,22.58,21.4
ALLSKY_SFC_SW_DWN,2006,23.62,23.69,23.36,20.29,17.33,17.17,16.61,19.82,24.24,26.14,25.33,22.9,21.69
ALLSKY_SFC_SW_DWN,2007,18.53,20.19,23.27,19.95,17.91,17.61,17.33,21.2,23.98,26.76,25.24,23.56,21.3
ALLSKY_SFC_SW_DWN,2008,22.69,20.83,22.9,21.01,17.99,16.9,18.04,19.98,23.16,26.14,23.62,25.24,21.55
ALLSKY_SFC_SW_DWN,2009,23.14,24.75,21.43,18.91,18.44,17.0,16.95,18.17,23.26,24.28,25.61,24.91,21.38
ALLSKY_SFC_SW_DWN,2010,21.69,22.24,20.76,21.42,17.46,16.01,17.71,20.35,25.34,24.73,26.5,24.21,21.52
ALLSKY_SFC_SW_DWN,2011,22.6,22.0,21.14,20.49,17.49,16.73,17.66,19.23,22.94,23.9,25.09,25.78,21.25
ALLSKY_SFC_SW_DWN,2012,19.91,21.82,21.89,19.17,18.63,16.63,17.14,21.04,24.46,26.08,24.83,24.96,21.38
ALLSKY_SFC_SW_DWN,2013,24.97,20.22,22.19,20.77,18.03,17.73,18.03,21.58,23.69,24.09,24.73,24.45,21.72
ALLSKY_SFC_SW_DWN,2014,19.95,21.27,22.51,20.86,19.18,17.31,16.38,20.17,23.91,26.01,26.02,24.93,21.54
ALLSKY_SFC_SW_DWN,2015,19.36,17.39,21.59,21.1,18.62,16.63,17.78,20.62,23.79,24.79,26.36,23.79,21.0
ALLSKY_SFC_SW_DWN,2016,24.1,21.49,20.61,20.89,17.76,16.79,18.31,20.71,25.2,25.77,24.72,26.02,21.86
ALLSKY_SFC_SW_DWN,2017,26.25,24.05,20.75,19.37,18.77,16.52,17.29,19.34,23.16,25.38,24.83,23.29,21.57
ALLSKY_SFC_SW_DWN,2018,22.13,22.92,22.5,20.81,18.67,16.58,17.05,21.15,24.2,26.13,24.74,26.09,21.91
ALLSKY_SFC_SW_DWN,2019,22.21,22.84,20.8,20.81,18.0,16.26,18.38,21.15,22.57,25.4,24.43,24.89,21.47
ALLSKY_SFC_SW_DWN,2020,21.32,23.52,22.54,20.13,18.35,16.49,17.78,21.52,23.63,24.1,26.21,23.17,21.55
ALLSKY_SFC_SW_DWN,2021,25.18,21.7,21.83,19.99,18.11,16.96,17.88,20.2,23.51,25.41,23.99,26.45,21.78
ALLSKY_SFC_SW_DWN,2022,20.62,22.26,21.0,20.51,18.06,16.77,17.73,21.26,23.71,26.29,24.05,22.78,21.24
ALLSKY_SFC_SW_DWN,2023,17.39,22.08,18.77,19.99,18.19,17.27,16.9,18.57,23.82,24.05,24.65,23.11,20.37
