# Area: Mongolia
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  47.92   Longitude 106.92 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 1545.31 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DWN,1981,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1982,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1983,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1984,7.34,11.31,16.97,21.06,25.27,23.3,17.81,19.29,16.47,10.35,7.96,5.21,15.19
ALLSKY_SFC_SW_DWN,1985,6.87,11.57,16.97,19.77,26.27,24.31,21.77,21.4,18.72,11.82,7.77,5.29,16.06
ALLSKY_SFC_SW_DWN,1986,6.79,10.04,16.9,21.42,24.91,24.4,22.88,20.49,18.25,11.47,7.16,5.34,15.86
ALLSKY_SFC_SW_DWN,1987,6.83,11.0,15.62,20.47,25.15,25.47,22.93,19.44,15.86,10.16,7.44,5.25,15.48
ALLSKY_SFC_SW_DWN,1988,6.84,11.1,16.96,22.33,21.13,24.87,24.11,18.16,17.09,12.44,7.83,5.43,15.69
ALLSKY_SFC_SW_DWN,1989,6.63,10.91,16.61,20.22,25.13,26.43,22.37,20.75,16.58,11.48,7.48,5.67,15.88
ALLSKY_SFC_SW_DWN,1990,7.11,10.67,16.1,20.77,25.89,24.44,21.01,18.82,17.02,12.25,7.27,5.21,15.57
ALLSKY_SFC_SW_DWN,1991,7.18,11.32,16.23,20.39,24.51,25.22,21.24,19.09,16.43,11.67,7.85,5.38,15.56
ALLSKY_SFC_SW_DWN,1992,7.26,11.57,17.29,20.82,23.93,26.03,22.71,19.73,14.92,11.43,7.59,5.52,15.74
ALLSKY_SFC_SW_DWN,1993,7.12,11.09,16.55,20.48,23.72,22.55,20.49,19.26,16.24,11.88,7.4,5.5,15.21
ALLSKY_SFC_SW_DWN,1994,6.69,11.18,16.17,19.43,24.73,23.89,23.04,20.4,16.79,11.41,7.53,5.14,15.55
ALLSKY_SFC_SW_DWN,1995,7.11,11.69,16.34,20.51,24.33,23.02,23.02,20.69,16.29,10.84,7.72,5.57,15.61
ALLSKY_SFC_SW_DWN,1996,6.87,11.32,16.02,21.33,24.15,23.85,21.75,20.16,17.27,11.67,7.36,4.9,15.56
ALLSKY_SFC_SW_DWN,1997,6.86,11.65,16.25,21.62,23.62,23.89,22.31,21.18,16.94,12.11,7.49,4.93,15.75
ALLSKY_SFC_SW_DWN,1998,6.47,10.53,17.51,19.56,23.59,23.05,22.04,18.56,16.26,11.66,7.45,4.87,15.15
ALLSKY_SFC_SW_DWN,1999,6.74,11.01,15.61,21.2,23.96,24.63,23.89,20.45,15.51,12.34,7.29,4.64,15.63
ALLSKY_SFC_SW_DWN,2000,7.36,10.43,16.19,21.56,24.05,25.66,22.94,17.79,17.89,11.75,7.43,5.25,15.69
ALLSKY_SFC_SW_DWN,2001,7.62,12.02,15.52,20.71,24.56,24.23,23.33,19.67,16.95,11.85,7.22,5.23,15.76
ALLSKY_SFC_SW_DWN,2002,7.13,11.27,15.74,20.15,21.91,24.29,24.35,20.33,16.56,10.67,7.89,5.88,15.53
ALLSKY_SFC_SW_DWN,2003,7.18,11.07,16.3,20.3,20.73,22.68,22.4,21.1,15.94,12.37,6.85,6.1,15.27
ALLSKY_SFC_SW_DWN,2004,7.42,11.37,16.65,21.57,24.55,24.08,23.55,19.89,16.03,12.28,7.55,5.22,15.86
ALLSKY_SFC_SW_DWN,2005,6.92,11.75,17.13,20.76,24.3,23.44,22.56,20.32,17.76,12.26,7.93,5.01,15.86
ALLSKY_SFC_SW_DWN,2006,5.61,9.77,16.26,21.06,23.23,24.79,22.84,23.23,17.69,11.54,7.73,4.71,15.73
ALLSKY_SFC_SW_DWN,2007,6.23,9.4,15.98,21.76,24.22,26.67,23.28,19.4,18.1,11.94,7.83,4.63,15.81
ALLSKY_SFC_SW_DWN,2008,6.77,10.88,15.8,21.15,25.07,21.57,24.52,21.92,17.16,11.31,7.89,4.87,15.75
ALLSKY_SFC_SW_DWN,2009,6.62,10.09,15.08,20.65,25.22,25.41,22.18,20.48,17.8,11.52,7.7,5.54,15.71
ALLSKY_SFC_SW_DWN,2010,7.22,11.65,16.16,20.78,25.44,24.24,22.8,21.51,17.75,11.76,7.08,4.93,15.96
ALLSKY_SFC_SW_DWN,2011,6.99,10.88,16.98,21.6,23.67,23.22,23.92,19.96,17.79,11.88,7.33,6.42,15.91
ALLSKY_SFC_SW_DWN,2012,7.98,12.57,17.66,22.0,25.05,23.51,19.82,20.08,16.98,11.92,7.09,6.03,15.89
ALLSKY_SFC_SW_DWN,2013,7.6,12.61,16.47,19.25,24.72,23.83,22.24,18.73,17.08,11.08,7.28,5.64,15.55
ALLSKY_SFC_SW_DWN,2014,7.21,11.29,16.81,19.65,22.41,23.58,23.47,21.13,17.01,11.51,8.19,5.26,15.65
ALLSKY_SFC_SW_DWN,2015,6.19,10.5,15.33,20.75,25.41,25.55,22.39,21.72,16.5,12.4,6.65,5.5,15.77
ALLSKY_SFC_SW_DWN,2016,7.84,12.2,16.89,21.1,24.41,22.37,22.38,20.1,15.07,11.5,6.93,5.79,15.56
ALLSKY_SFC_SW_DWN,2017,7.79,12.07,16.78,23.1,27.15,25.75,23.74,19.65,16.98,11.39,6.75,6.26,16.47
ALLSKY_SFC_SW_DWN,2018,7.71,12.0,17.0,20.02,26.77,25.16,19.74,19.62,16.12,12.35,7.97,5.06,15.81
ALLSKY_SFC_SW_DWN,2019,6.53,11.24,16.79,20.79,25.36,24.64,21.56,19.72,17.77,11.88,7.11,4.87,15.7
ALLSKY_SFC_SW_DWN,2020,6.89,10.77,17.55,23.47,24.29,24.9,22.73,18.42,16.98,11.78,6.89,6.5,15.94
ALLSKY_SFC_SW_DWN,2021,7.62,11.54,15.84,20.06,23.81,23.74,22.73,18.32,16.14,11.85,7.01,4.75,15.3
ALLSKY_SFC_SW_DWN,2022,6.68,11.3,15.44,21.65,25.21,23.48,22.61,19.76,17.65,11.19,7.67,6.21,15.75
ALLSKY_SFC_SW_DWN,2023,7.22,11.7,16.51,20.54,22.11,25.93,21.2,20.45,15.45,12.44,7.49,6.12,15.61
