# Area: Norway
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  60.47   Longitude 8.47 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 947.45 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DWN,1981,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1982,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1983,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1984,1.19,4.02,9.56,15.26,17.4,18.38,17.0,12.73,7.5,4.0,1.49,0.64,9.11
ALLSKY_SFC_SW_DWN,1985,1.16,3.76,9.15,14.47,18.97,16.96,15.39,11.14,7.76,4.23,1.38,0.64,8.78
ALLSKY_SFC_SW_DWN,1986,1.23,4.24,8.16,15.03,16.65,19.92,15.41,10.47,8.51,4.04,1.26,0.61,8.8
ALLSKY_SFC_SW_DWN,1987,1.14,3.4,8.1,13.12,15.65,16.09,16.52,11.75,9.15,3.02,1.53,0.62,8.36
ALLSKY_SFC_SW_DWN,1988,1.08,3.78,8.59,14.99,18.5,19.69,13.63,11.98,7.36,3.41,1.46,0.6,8.76
ALLSKY_SFC_SW_DWN,1989,1.0,2.87,7.35,13.88,17.23,18.42,19.92,11.8,8.91,4.36,1.29,0.67,9.01
ALLSKY_SFC_SW_DWN,1990,1.03,2.65,6.98,13.01,20.14,17.4,16.89,12.74,7.29,3.91,1.66,0.6,8.73
ALLSKY_SFC_SW_DWN,1991,1.16,3.9,6.9,12.15,18.39,15.77,17.54,13.75,9.31,4.54,1.39,0.6,8.81
ALLSKY_SFC_SW_DWN,1992,1.14,3.27,7.92,14.26,18.62,20.5,17.71,11.48,7.88,4.75,1.44,0.71,9.15
ALLSKY_SFC_SW_DWN,1993,1.11,3.6,8.65,14.62,17.74,20.54,15.91,13.12,9.23,3.97,1.62,0.62,9.25
ALLSKY_SFC_SW_DWN,1994,1.1,4.16,8.1,13.02,19.07,18.82,20.46,13.1,7.73,4.34,1.49,0.58,9.36
ALLSKY_SFC_SW_DWN,1995,1.05,3.17,7.21,15.12,17.05,18.06,18.89,16.8,8.96,3.98,1.71,0.69,9.42
ALLSKY_SFC_SW_DWN,1996,1.25,3.58,9.64,14.54,16.69,18.77,18.4,13.63,10.63,4.03,1.46,0.63,9.45
ALLSKY_SFC_SW_DWN,1997,1.25,2.76,8.47,14.66,17.76,19.87,19.24,15.77,8.95,4.27,1.57,0.66,9.64
ALLSKY_SFC_SW_DWN,1998,1.04,2.87,8.35,14.35,19.92,16.81,16.74,14.28,8.78,4.14,1.64,0.61,9.17
ALLSKY_SFC_SW_DWN,1999,1.15,3.01,6.65,12.41,17.69,16.07,20.2,13.87,7.58,4.45,1.5,0.62,8.81
ALLSKY_SFC_SW_DWN,2000,1.13,3.88,8.03,12.51,17.35,17.42,16.28,14.35,8.0,3.28,1.56,0.6,8.71
ALLSKY_SFC_SW_DWN,2001,1.28,4.26,9.34,12.56,17.02,17.44,18.14,13.28,7.13,3.51,1.74,0.7,8.9
ALLSKY_SFC_SW_DWN,2002,1.15,3.56,8.58,11.23,15.15,18.22,15.42,15.34,9.89,3.5,1.53,0.76,8.72
ALLSKY_SFC_SW_DWN,2003,1.29,4.31,8.85,15.53,14.73,17.85,17.45,14.68,8.36,4.97,1.48,0.7,9.21
ALLSKY_SFC_SW_DWN,2004,1.02,3.96,9.2,12.03,17.33,18.47,17.52,13.35,9.56,3.35,1.6,0.61,9.01
ALLSKY_SFC_SW_DWN,2005,1.16,3.45,9.23,15.94,14.97,17.79,16.56,13.32,8.91,4.61,1.29,0.62,9.01
ALLSKY_SFC_SW_DWN,2006,1.17,3.77,9.47,14.36,18.46,20.62,19.29,12.7,8.5,3.93,1.62,0.64,9.57
ALLSKY_SFC_SW_DWN,2007,0.85,2.01,8.09,14.64,15.25,19.44,13.6,12.99,9.79,5.25,1.54,0.76,8.71
ALLSKY_SFC_SW_DWN,2008,1.05,3.72,7.11,13.96,20.69,19.7,19.09,11.88,7.81,4.1,1.63,0.69,9.3
ALLSKY_SFC_SW_DWN,2009,1.14,3.87,7.86,14.11,17.01,20.27,13.61,12.42,9.05,4.97,1.09,0.63,8.85
ALLSKY_SFC_SW_DWN,2010,1.29,3.36,7.65,14.23,18.98,20.2,16.88,11.46,9.43,4.5,1.7,0.81,9.23
ALLSKY_SFC_SW_DWN,2011,1.41,3.82,9.21,14.14,15.7,15.54,13.67,11.54,8.12,4.47,1.59,0.63,8.34
ALLSKY_SFC_SW_DWN,2012,0.91,3.43,9.12,10.61,17.37,15.72,14.89,13.58,9.01,4.22,1.17,0.75,8.42
ALLSKY_SFC_SW_DWN,2013,1.55,3.76,10.22,16.14,13.15,17.56,18.47,14.19,9.34,4.87,1.61,0.62,9.32
ALLSKY_SFC_SW_DWN,2014,0.72,1.59,7.59,16.4,15.99,20.21,17.04,11.87,10.32,3.08,0.91,0.64,8.89
ALLSKY_SFC_SW_DWN,2015,0.91,3.16,7.82,17.57,15.81,17.81,16.56,14.95,8.24,4.52,1.73,0.64,9.17
ALLSKY_SFC_SW_DWN,2016,1.13,3.76,7.92,15.27,16.34,18.71,16.01,12.38,9.9,4.58,1.33,0.67,9.0
ALLSKY_SFC_SW_DWN,2017,1.28,3.41,8.0,14.89,16.85,17.85,18.19,13.81,5.78,4.17,1.66,0.67,8.91
ALLSKY_SFC_SW_DWN,2018,0.88,2.88,8.43,15.17,19.83,21.85,20.99,12.86,8.87,4.42,1.32,0.61,9.88
ALLSKY_SFC_SW_DWN,2019,1.17,3.31,9.07,15.93,15.52,16.27,18.62,12.95,8.61,4.1,1.38,0.65,8.99
ALLSKY_SFC_SW_DWN,2020,1.14,3.07,7.74,15.95,18.72,18.82,16.75,15.3,8.59,3.75,1.56,0.53,9.34
ALLSKY_SFC_SW_DWN,2021,1.55,3.72,8.82,18.95,15.56,19.38,18.89,14.41,8.53,4.1,1.55,0.65,9.7
ALLSKY_SFC_SW_DWN,2022,1.21,3.76,9.74,16.26,16.43,18.98,17.75,14.28,9.27,4.12,1.17,0.69,9.5
ALLSKY_SFC_SW_DWN,2023,1.35,4.01,9.4,15.09,19.2,20.7,14.8,10.47,9.24,4.6,1.25,0.8,9.26
