# Area: Pakistan
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  30.38   Longitude 69.35 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 1381.46 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DWN,1981,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1982,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1983,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1984,14.37,17.48,20.73,23.34,26.57,25.94,22.76,20.73,21.42,19.03,15.67,13.26,20.11
ALLSKY_SFC_SW_DWN,1985,13.93,17.3,18.92,22.03,24.94,24.53,21.8,22.57,20.89,17.61,15.27,11.61,19.29
ALLSKY_SFC_SW_DWN,1986,14.3,14.99,18.13,22.41,25.32,23.52,22.74,21.49,21.63,18.3,14.97,12.84,19.24
ALLSKY_SFC_SW_DWN,1987,13.95,15.33,17.45,24.97,22.11,24.98,24.14,23.19,22.17,18.41,15.84,12.96,19.63
ALLSKY_SFC_SW_DWN,1988,13.35,16.12,20.81,24.12,26.49,25.03,22.61,22.62,22.07,19.31,15.25,11.75,19.96
ALLSKY_SFC_SW_DWN,1989,13.84,16.34,17.07,23.62,26.18,24.79,22.71,23.36,22.0,18.87,14.52,11.89,19.61
ALLSKY_SFC_SW_DWN,1990,12.75,15.08,20.71,23.66,25.34,25.1,24.23,22.35,21.12,18.68,15.11,12.1,19.71
ALLSKY_SFC_SW_DWN,1991,13.84,16.26,19.16,22.31,23.61,25.18,23.68,22.88,20.98,18.69,14.66,11.91,19.44
ALLSKY_SFC_SW_DWN,1992,11.51,15.9,20.0,21.49,25.12,25.33,25.11,22.83,20.56,18.5,15.14,12.55,19.51
ALLSKY_SFC_SW_DWN,1993,13.75,16.51,20.34,23.83,25.44,25.35,23.93,24.25,21.4,18.88,15.67,13.29,20.24
ALLSKY_SFC_SW_DWN,1994,14.33,16.2,20.46,24.83,25.15,25.65,21.73,22.25,21.66,19.13,15.69,12.98,20.01
ALLSKY_SFC_SW_DWN,1995,14.71,15.66,20.0,22.04,25.3,25.05,22.86,22.75,22.17,18.7,15.38,11.61,19.7
ALLSKY_SFC_SW_DWN,1996,13.33,15.39,18.63,23.97,24.94,24.6,24.04,23.42,21.56,17.72,15.09,12.53,19.61
ALLSKY_SFC_SW_DWN,1997,13.77,16.93,17.0,22.23,25.68,25.11,23.03,22.84,21.78,16.14,14.12,12.19,19.24
ALLSKY_SFC_SW_DWN,1998,13.11,16.05,19.4,22.76,26.34,22.08,24.69,24.27,21.45,19.01,15.91,13.49,19.9
ALLSKY_SFC_SW_DWN,1999,12.22,15.64,20.75,26.22,27.22,27.89,24.81,23.27,21.48,19.15,15.42,13.9,20.68
ALLSKY_SFC_SW_DWN,2000,14.14,17.54,21.32,26.07,27.81,26.2,24.07,23.94,21.72,19.2,14.84,12.9,20.81
ALLSKY_SFC_SW_DWN,2001,14.76,16.9,21.6,23.68,26.29,25.4,22.67,23.64,21.57,18.76,15.51,13.05,20.33
ALLSKY_SFC_SW_DWN,2002,14.65,15.72,21.32,25.03,27.57,26.42,23.92,22.54,21.52,18.28,14.31,12.8,20.36
ALLSKY_SFC_SW_DWN,2003,13.47,15.65,20.5,25.46,27.81,26.07,23.22,22.02,21.35,19.5,15.62,12.94,20.32
ALLSKY_SFC_SW_DWN,2004,12.22,18.21,22.73,24.14,27.07,25.65,23.89,23.13,21.6,18.5,14.88,12.2,20.35
ALLSKY_SFC_SW_DWN,2005,12.44,13.59,19.88,25.0,25.64,26.25,24.88,24.32,22.0,19.63,14.52,13.61,20.18
ALLSKY_SFC_SW_DWN,2006,13.42,15.74,20.26,24.27,26.16,25.17,23.61,22.26,22.42,18.3,13.24,11.65,19.72
ALLSKY_SFC_SW_DWN,2007,14.51,13.55,21.08,25.34,26.96,25.0,23.41,23.32,21.45,19.93,15.54,12.63,20.27
ALLSKY_SFC_SW_DWN,2008,13.01,17.83,22.04,22.97,26.22,23.22,23.41,22.79,22.1,18.91,16.04,12.35,20.07
ALLSKY_SFC_SW_DWN,2009,12.87,17.12,19.73,24.63,27.21,26.69,24.49,23.39,23.14,19.05,14.87,12.48,20.48
ALLSKY_SFC_SW_DWN,2010,13.69,16.04,21.97,23.92,26.0,24.9,23.24,19.95,21.3,18.27,15.9,13.2,19.88
ALLSKY_SFC_SW_DWN,2011,14.26,14.3,21.39,23.68,27.19,25.86,22.84,21.54,20.57,19.03,14.42,13.82,19.94
ALLSKY_SFC_SW_DWN,2012,13.23,17.11,21.25,22.05,27.15,26.29,24.11,22.63,20.16,19.3,15.5,12.81,20.14
ALLSKY_SFC_SW_DWN,2013,14.63,15.18,20.9,22.48,28.17,26.3,23.3,21.62,22.29,18.56,14.01,13.49,20.11
ALLSKY_SFC_SW_DWN,2014,13.63,16.2,19.63,24.26,24.54,27.49,24.1,23.84,22.09,18.36,15.1,13.38,20.23
ALLSKY_SFC_SW_DWN,2015,13.95,15.27,19.26,25.13,26.77,24.87,21.86,24.23,22.23,18.76,14.97,13.23,20.06
ALLSKY_SFC_SW_DWN,2016,14.2,18.42,17.96,24.0,27.32,25.32,23.97,22.67,22.02,19.64,15.37,13.41,20.35
ALLSKY_SFC_SW_DWN,2017,12.66,16.13,20.23,26.13,25.5,25.1,22.94,22.76,22.46,19.4,14.36,13.67,20.12
ALLSKY_SFC_SW_DWN,2018,14.4,15.6,21.05,23.82,25.83,25.74,23.27,22.46,21.2,18.7,15.61,13.98,20.16
ALLSKY_SFC_SW_DWN,2019,13.12,16.23,18.3,22.7,26.6,27.34,24.19,22.21,21.2,17.78,13.5,13.09,19.7
ALLSKY_SFC_SW_DWN,2020,12.03,17.13,17.36,23.46,26.91,26.97,24.84,21.79,22.57,20.29,14.81,13.63,20.15
ALLSKY_SFC_SW_DWN,2021,15.16,18.16,20.84,23.97,24.62,25.71,23.52,23.38,20.41,18.98,15.77,13.18,20.31
ALLSKY_SFC_SW_DWN,2022,12.72,17.61,21.54,25.22,27.11,26.45,18.63,18.38,21.92,19.24,14.58,12.82,19.68
ALLSKY_SFC_SW_DWN,2023,13.79,16.95,18.03,22.05,24.51,25.56,21.63,23.58,21.55,18.3,13.78,13.06,19.4
