# Area: Rwanda
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  -1.94   Longitude 29.87 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 1614.43 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DWN,1981,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1982,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1983,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1984,18.34,18.87,18.55,17.33,18.85,18.43,16.23,18.08,20.14,18.95,17.58,18.43,18.31
ALLSKY_SFC_SW_DWN,1985,19.27,17.98,17.46,17.64,17.09,17.03,17.94,17.93,17.52,18.77,19.52,18.41,18.05
ALLSKY_SFC_SW_DWN,1986,19.04,17.91,17.79,16.24,17.21,17.07,20.03,20.51,17.27,18.61,17.95,17.0,18.06
ALLSKY_SFC_SW_DWN,1987,15.67,18.25,18.14,17.43,15.22,15.95,18.81,17.85,18.29,19.43,17.61,19.27,17.66
ALLSKY_SFC_SW_DWN,1988,17.12,18.2,18.35,17.55,17.36,18.79,15.74,16.34,16.9,17.69,17.92,16.18,17.34
ALLSKY_SFC_SW_DWN,1989,18.36,17.34,17.01,16.65,16.11,17.48,18.19,17.69,18.58,17.27,17.8,16.75,17.43
ALLSKY_SFC_SW_DWN,1990,18.52,16.0,17.83,18.77,17.46,19.49,20.08,17.43,18.38,17.65,18.1,17.49,18.11
ALLSKY_SFC_SW_DWN,1991,17.85,17.2,18.33,16.81,15.43,16.76,16.35,20.68,19.51,17.59,18.59,17.2,17.69
ALLSKY_SFC_SW_DWN,1992,17.56,17.62,17.67,18.23,16.78,14.92,17.85,19.21,19.06,17.98,18.04,16.73,17.64
ALLSKY_SFC_SW_DWN,1993,17.27,18.71,18.35,17.31,16.5,16.13,20.18,18.96,20.03,19.15,17.95,17.33,18.15
ALLSKY_SFC_SW_DWN,1994,17.83,18.64,17.27,17.36,17.4,18.63,18.09,18.02,20.36,18.16,17.17,17.41,18.02
ALLSKY_SFC_SW_DWN,1995,18.42,17.21,17.13,16.89,17.02,16.74,17.44,20.24,18.43,18.15,18.22,17.52,17.79
ALLSKY_SFC_SW_DWN,1996,18.21,16.7,17.03,17.81,17.12,15.37,16.68,18.62,18.92,18.34,16.24,17.17,17.36
ALLSKY_SFC_SW_DWN,1997,16.77,20.4,16.76,15.86,17.11,17.2,17.5,18.61,20.73,16.56,14.94,15.62,17.31
ALLSKY_SFC_SW_DWN,1998,16.2,18.19,19.26,17.9,17.93,17.39,16.42,18.89,18.42,16.53,18.51,16.76,17.69
ALLSKY_SFC_SW_DWN,1999,18.22,21.05,17.46,18.31,17.73,18.47,19.17,15.68,19.14,17.85,14.81,16.6,17.85
ALLSKY_SFC_SW_DWN,2000,18.46,19.45,17.88,17.42,17.46,16.61,19.36,17.53,17.96,17.27,15.38,16.99,17.65
ALLSKY_SFC_SW_DWN,2001,15.91,17.99,16.37,17.58,16.12,16.49,16.39,17.68,17.78,16.39,17.73,16.69,16.91
ALLSKY_SFC_SW_DWN,2002,15.22,18.88,17.32,16.92,16.83,18.69,18.15,16.53,18.88,16.18,16.0,16.12,17.12
ALLSKY_SFC_SW_DWN,2003,19.0,19.81,18.93,16.8,15.24,15.99,17.31,16.8,17.06,17.84,17.1,18.12,17.49
ALLSKY_SFC_SW_DWN,2004,16.93,17.44,17.21,15.63,16.85,18.3,19.37,17.48,18.42,17.64,16.77,16.56,17.38
ALLSKY_SFC_SW_DWN,2005,17.89,20.09,17.21,18.5,16.5,16.55,18.41,17.1,17.76,17.95,17.81,18.48,17.84
ALLSKY_SFC_SW_DWN,2006,17.24,17.79,18.01,16.93,16.78,18.09,16.72,18.85,19.49,18.14,14.58,14.57,17.26
ALLSKY_SFC_SW_DWN,2007,16.29,17.6,18.22,17.7,16.37,14.56,15.12,17.05,17.24,17.63,16.27,17.74,16.81
ALLSKY_SFC_SW_DWN,2008,16.35,16.45,16.31,17.85,17.42,16.1,16.13,16.09,18.61,16.62,17.42,17.69,16.92
ALLSKY_SFC_SW_DWN,2009,17.05,16.78,18.23,16.73,16.1,18.12,19.72,18.1,18.99,16.51,17.14,16.19,17.48
ALLSKY_SFC_SW_DWN,2010,18.22,17.32,18.41,18.18,17.13,16.28,17.84,18.7,18.44,18.44,17.77,17.68,17.87
ALLSKY_SFC_SW_DWN,2011,17.44,19.65,17.06,17.4,16.24,16.09,18.52,16.74,15.93,17.14,15.68,16.44,17.01
ALLSKY_SFC_SW_DWN,2012,19.83,18.57,19.18,15.38,15.41,15.99,16.28,17.3,18.06,17.54,16.34,15.84,17.14
ALLSKY_SFC_SW_DWN,2013,17.66,19.34,16.55,17.21,17.14,18.23,18.24,17.46,17.39,19.38,16.37,15.37,17.52
ALLSKY_SFC_SW_DWN,2014,18.18,17.44,17.44,17.8,17.26,16.05,17.28,15.45,17.19,18.27,17.01,16.87,17.19
ALLSKY_SFC_SW_DWN,2015,18.96,17.99,18.21,16.4,16.83,15.6,19.13,19.61,19.08,16.48,16.44,16.66,17.62
ALLSKY_SFC_SW_DWN,2016,15.73,18.46,19.64,16.0,16.74,17.11,17.7,20.15,18.38,18.8,16.32,18.59,17.81
ALLSKY_SFC_SW_DWN,2017,19.37,16.91,18.0,17.54,16.43,18.69,16.17,15.39,17.27,18.27,17.66,17.42,17.43
ALLSKY_SFC_SW_DWN,2018,16.51,17.67,16.26,14.91,16.88,17.94,19.23,17.45,19.98,17.93,16.99,15.34,17.25
ALLSKY_SFC_SW_DWN,2019,18.19,18.23,17.9,17.99,16.66,14.57,17.02,17.87,17.91,15.43,16.45,15.91,17.0
ALLSKY_SFC_SW_DWN,2020,15.19,18.03,17.51,16.25,18.14,16.84,15.76,17.01,18.19,16.7,16.23,17.26,16.92
ALLSKY_SFC_SW_DWN,2021,15.99,17.08,17.59,17.63,16.68,17.6,16.85,17.67,17.62,17.68,17.32,15.51,17.1
ALLSKY_SFC_SW_DWN,2022,16.62,15.82,19.01,16.89,16.34,17.85,17.56,16.17,17.01,19.07,14.91,15.97,16.95
ALLSKY_SFC_SW_DWN,2023,18.38,17.1,16.75,17.11,17.79,15.48,20.13,18.75,16.72,17.26,14.65,15.91,17.18
