# Area: Somalia
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  2.04   Longitude 45.34 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 17.14 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DWN,1981,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1982,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1983,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1984,22.69,24.03,23.16,22.69,21.09,19.39,18.44,20.86,22.86,21.33,20.8,21.1,21.52
ALLSKY_SFC_SW_DWN,1985,23.64,22.4,23.98,22.43,21.16,19.59,19.3,20.58,22.97,21.82,21.45,22.65,21.83
ALLSKY_SFC_SW_DWN,1986,23.59,24.78,23.51,22.49,21.2,17.79,16.34,21.01,22.27,22.33,21.88,21.21,21.51
ALLSKY_SFC_SW_DWN,1987,22.72,24.43,22.27,23.89,20.7,19.17,19.76,19.98,22.57,21.2,21.65,22.18,21.69
ALLSKY_SFC_SW_DWN,1988,22.23,24.22,23.13,22.56,22.55,19.84,19.12,21.67,21.44,21.89,22.04,20.77,21.78
ALLSKY_SFC_SW_DWN,1989,22.29,23.54,24.72,23.21,21.75,19.95,17.86,20.89,22.28,20.66,18.87,21.24,21.42
ALLSKY_SFC_SW_DWN,1990,22.71,24.03,24.12,22.23,21.95,19.97,18.42,20.59,22.55,20.59,21.42,19.84,21.52
ALLSKY_SFC_SW_DWN,1991,22.91,24.82,23.55,22.9,20.94,18.66,18.26,20.68,23.01,21.55,21.39,21.36,21.64
ALLSKY_SFC_SW_DWN,1992,22.23,22.6,23.63,23.85,21.5,20.0,18.57,20.85,22.99,20.88,21.42,19.91,21.52
ALLSKY_SFC_SW_DWN,1993,20.71,23.61,23.51,22.78,20.87,19.27,18.5,21.11,22.1,21.19,21.38,21.37,21.35
ALLSKY_SFC_SW_DWN,1994,23.37,24.43,22.39,21.99,20.88,19.88,19.43,21.18,23.13,21.59,20.58,21.56,21.68
ALLSKY_SFC_SW_DWN,1995,22.88,24.27,24.12,23.31,22.06,19.67,19.43,20.49,22.45,20.94,21.37,20.8,21.8
ALLSKY_SFC_SW_DWN,1996,22.17,24.56,24.5,23.82,20.64,18.66,18.52,20.88,22.34,20.84,20.32,22.13,21.6
ALLSKY_SFC_SW_DWN,1997,23.18,24.78,24.27,21.59,22.64,18.31,17.65,20.97,22.49,19.16,18.32,17.66,20.89
ALLSKY_SFC_SW_DWN,1998,18.94,24.63,25.05,22.8,23.57,18.69,19.29,20.62,22.55,20.66,21.24,22.9,21.73
ALLSKY_SFC_SW_DWN,1999,24.15,25.83,25.6,24.02,22.9,19.61,19.4,21.33,21.9,21.32,20.53,21.08,22.29
ALLSKY_SFC_SW_DWN,2000,23.94,26.27,25.61,24.12,20.53,19.47,19.34,21.73,22.41,20.01,20.72,22.61,22.21
ALLSKY_SFC_SW_DWN,2001,23.53,25.18,25.77,23.09,22.37,20.34,19.88,20.76,23.33,20.8,20.75,21.51,22.26
ALLSKY_SFC_SW_DWN,2002,22.99,25.89,25.79,23.04,23.17,19.42,20.82,21.54,21.51,20.61,21.38,21.19,22.26
ALLSKY_SFC_SW_DWN,2003,23.68,25.22,24.7,21.9,22.62,19.93,19.24,21.12,23.57,21.99,19.96,22.5,22.19
ALLSKY_SFC_SW_DWN,2004,22.4,24.52,25.74,23.04,22.01,19.86,19.73,20.9,22.42,21.05,19.77,22.36,21.98
ALLSKY_SFC_SW_DWN,2005,23.55,25.26,25.82,23.68,21.43,20.52,19.03,20.27,22.2,20.26,20.95,22.96,22.14
ALLSKY_SFC_SW_DWN,2006,23.62,24.68,25.05,22.72,22.34,19.44,18.08,19.47,22.59,20.67,21.05,21.23,21.72
ALLSKY_SFC_SW_DWN,2007,22.9,25.18,25.18,23.63,22.81,18.43,20.79,21.52,21.26,21.8,20.93,22.01,22.19
ALLSKY_SFC_SW_DWN,2008,22.88,24.66,25.44,23.91,20.53,18.68,18.9,21.13,21.92,20.98,22.79,22.84,22.04
ALLSKY_SFC_SW_DWN,2009,23.32,24.39,25.84,23.15,21.93,21.16,19.85,21.26,22.58,21.72,22.21,21.93,22.43
ALLSKY_SFC_SW_DWN,2010,22.9,24.67,23.3,22.71,21.81,19.38,20.01,20.19,21.37,22.13,22.32,22.79,21.95
ALLSKY_SFC_SW_DWN,2011,23.5,25.23,25.73,24.81,21.18,19.9,17.16,20.52,21.58,20.72,20.65,21.69,21.86
ALLSKY_SFC_SW_DWN,2012,23.9,24.47,25.46,22.37,21.99,19.51,17.82,20.21,22.64,20.76,21.59,21.06,21.8
ALLSKY_SFC_SW_DWN,2013,22.84,25.04,23.56,22.13,22.09,18.14,17.75,21.42,22.24,21.16,21.48,22.82,21.7
ALLSKY_SFC_SW_DWN,2014,23.94,24.71,24.66,24.2,21.06,20.01,18.95,21.48,21.3,21.54,21.06,22.46,22.1
ALLSKY_SFC_SW_DWN,2015,23.74,24.89,25.44,22.25,22.71,20.59,19.97,21.04,22.2,20.79,21.04,21.46,22.16
ALLSKY_SFC_SW_DWN,2016,22.71,24.07,25.55,23.17,20.69,19.86,17.94,21.19,21.89,21.32,20.21,21.69,21.68
ALLSKY_SFC_SW_DWN,2017,23.72,24.66,25.94,23.72,22.0,20.47,17.91,21.0,22.17,21.2,21.97,23.62,22.35
ALLSKY_SFC_SW_DWN,2018,24.16,24.63,24.47,20.73,21.04,19.76,20.2,20.89,23.16,21.69,22.32,20.77,21.97
ALLSKY_SFC_SW_DWN,2019,22.78,24.93,25.73,24.43,21.89,19.5,18.8,21.02,22.49,22.21,20.42,22.49,22.21
ALLSKY_SFC_SW_DWN,2020,22.39,24.18,24.41,22.36,22.04,20.09,18.33,20.84,22.43,21.33,21.19,23.48,21.91
ALLSKY_SFC_SW_DWN,2021,24.01,25.29,25.81,23.72,20.05,20.6,18.19,20.59,22.63,22.06,21.7,21.32,22.14
ALLSKY_SFC_SW_DWN,2022,24.04,24.81,25.88,23.08,21.86,19.71,17.94,19.88,22.02,20.03,20.45,22.32,21.82
ALLSKY_SFC_SW_DWN,2023,23.59,25.33,23.97,21.27,22.73,19.35,17.88,20.76,22.41,21.43,19.51,21.85,21.65
