# Area: Sri Lanka
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  7.87   Longitude 80.77 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 121.01 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DWN,1981,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1982,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1983,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1984,15.5,14.07,21.29,18.24,19.29,18.98,17.19,19.49,19.01,18.13,19.27,17.37,18.17
ALLSKY_SFC_SW_DWN,1985,18.6,18.95,21.75,20.94,18.88,16.65,17.76,17.31,18.61,18.8,16.96,16.57,18.48
ALLSKY_SFC_SW_DWN,1986,16.04,20.49,20.15,22.58,19.7,18.07,17.1,18.36,17.73,17.75,18.17,17.4,18.61
ALLSKY_SFC_SW_DWN,1987,16.74,22.63,22.95,20.7,20.01,16.5,18.36,16.51,18.34,17.05,16.98,16.08,18.54
ALLSKY_SFC_SW_DWN,1988,17.84,21.0,20.57,19.33,17.12,17.75,15.62,15.88,16.69,20.11,17.13,17.23,18.01
ALLSKY_SFC_SW_DWN,1989,15.87,21.94,23.18,20.82,17.77,16.18,16.61,17.9,17.76,17.95,17.55,18.08,18.44
ALLSKY_SFC_SW_DWN,1990,18.62,20.23,21.4,20.66,18.01,17.9,17.3,17.41,18.97,17.83,18.2,15.06,18.45
ALLSKY_SFC_SW_DWN,1991,16.88,21.94,22.17,21.34,19.95,16.96,16.69,17.51,20.03,16.12,18.13,15.7,18.58
ALLSKY_SFC_SW_DWN,1992,18.48,24.18,25.11,21.72,18.79,17.39,16.66,17.33,18.0,17.24,15.39,15.41,18.79
ALLSKY_SFC_SW_DWN,1993,17.63,21.58,22.52,21.7,17.94,17.35,16.23,17.98,18.81,16.04,14.51,13.18,17.92
ALLSKY_SFC_SW_DWN,1994,15.88,18.83,21.51,21.33,18.35,17.83,17.15,17.62,19.05,16.82,15.65,16.38,18.02
ALLSKY_SFC_SW_DWN,1995,17.54,19.5,22.48,20.63,17.93,16.88,18.17,18.6,20.18,17.71,15.87,17.38,18.57
ALLSKY_SFC_SW_DWN,1996,17.59,19.01,22.51,19.31,19.06,16.0,16.4,17.94,16.73,18.31,17.54,16.24,18.06
ALLSKY_SFC_SW_DWN,1997,19.89,20.98,22.6,20.78,18.06,18.07,17.1,18.65,18.93,18.04,17.02,16.34,18.86
ALLSKY_SFC_SW_DWN,1998,17.11,20.53,23.01,21.26,17.72,16.62,17.6,18.62,18.34,17.46,18.64,15.49,18.51
ALLSKY_SFC_SW_DWN,1999,17.04,19.46,23.23,18.85,18.95,18.53,18.46,19.38,20.01,15.95,16.51,16.66,18.58
ALLSKY_SFC_SW_DWN,2000,16.51,19.25,21.52,21.37,20.04,17.55,19.62,17.11,18.85,18.8,15.41,14.32,18.36
ALLSKY_SFC_SW_DWN,2001,15.19,21.2,23.35,19.87,20.68,18.53,17.7,19.07,19.44,17.4,17.56,16.39,18.85
ALLSKY_SFC_SW_DWN,2002,17.27,19.8,22.44,19.95,18.36,18.61,18.82,18.6,22.1,18.81,16.65,14.4,18.8
ALLSKY_SFC_SW_DWN,2003,16.04,20.21,21.79,21.74,18.79,19.16,17.7,18.68,20.5,19.78,14.61,18.04,18.91
ALLSKY_SFC_SW_DWN,2004,18.23,20.63,22.05,21.49,17.41,18.23,18.06,19.61,17.38,18.05,14.69,15.25,18.42
ALLSKY_SFC_SW_DWN,2005,16.54,22.32,21.61,20.29,20.14,18.17,17.53,20.18,18.34,18.56,14.66,15.63,18.64
ALLSKY_SFC_SW_DWN,2006,15.81,19.58,21.22,21.16,19.08,19.62,17.59,19.74,20.05,17.63,17.13,13.71,18.51
ALLSKY_SFC_SW_DWN,2007,16.48,21.0,24.38,19.51,20.33,17.7,17.36,18.35,17.78,16.99,19.04,14.1,18.57
ALLSKY_SFC_SW_DWN,2008,16.22,19.75,18.38,19.64,20.31,17.75,17.91,18.28,21.48,18.59,15.74,16.42,18.36
ALLSKY_SFC_SW_DWN,2009,18.48,22.56,22.39,20.07,18.06,18.3,18.06,17.83,19.52,20.38,15.5,13.97,18.73
ALLSKY_SFC_SW_DWN,2010,17.92,20.96,22.22,20.9,19.16,18.13,18.07,16.93,17.94,18.51,15.4,12.29,18.18
ALLSKY_SFC_SW_DWN,2011,12.99,17.07,21.55,19.92,20.83,19.34,17.66,18.14,19.99,19.39,16.17,15.01,18.17
ALLSKY_SFC_SW_DWN,2012,19.42,18.76,22.76,19.15,20.84,18.53,19.14,19.32,19.86,18.41,16.81,14.0,18.92
ALLSKY_SFC_SW_DWN,2013,16.33,18.87,20.7,21.45,17.66,15.75,17.24,19.09,18.28,19.89,17.53,14.14,18.07
ALLSKY_SFC_SW_DWN,2014,16.32,21.62,22.17,21.42,19.44,18.07,18.24,18.21,19.77,17.85,13.3,11.7,18.15
ALLSKY_SFC_SW_DWN,2015,19.64,19.21,22.67,21.1,19.28,18.87,19.08,19.85,18.62,17.48,15.1,15.06,18.83
ALLSKY_SFC_SW_DWN,2016,18.45,20.08,23.04,23.23,17.06,17.9,18.41,19.28,19.58,19.64,15.49,17.62,19.14
ALLSKY_SFC_SW_DWN,2017,17.68,21.13,22.11,23.28,18.82,19.63,20.36,18.72,18.49,17.56,15.16,17.42,19.18
ALLSKY_SFC_SW_DWN,2018,18.35,20.91,21.24,21.6,17.25,18.28,18.77,17.7,21.86,17.49,16.42,16.53,18.84
ALLSKY_SFC_SW_DWN,2019,19.71,20.34,24.14,21.75,21.86,19.09,19.27,17.21,17.55,16.43,18.0,15.41,19.22
ALLSKY_SFC_SW_DWN,2020,20.19,21.24,23.63,23.07,18.3,19.2,17.72,19.82,16.64,19.52,16.95,14.84,19.25
ALLSKY_SFC_SW_DWN,2021,15.87,21.67,21.26,22.3,18.16,20.31,19.68,18.1,18.46,17.2,14.64,18.67,18.84
ALLSKY_SFC_SW_DWN,2022,19.29,20.22,20.83,20.23,18.17,19.08,17.89,18.11,20.03,16.65,16.95,13.47,18.39
ALLSKY_SFC_SW_DWN,2023,17.29,19.84,20.93,22.52,19.68,18.89,18.51,21.24,17.29,17.14,17.06,14.04,18.69
