# Area: Sudan (former)
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  15.6   Longitude 32.53 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 407.76 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DWN,1981,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1982,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1983,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1984,20.77,23.35,25.72,26.35,22.9,24.72,25.58,24.94,23.2,21.96,21.21,20.23,23.41
ALLSKY_SFC_SW_DWN,1985,20.9,23.12,25.62,26.61,23.21,26.11,25.53,24.91,23.54,21.52,21.21,20.37,23.55
ALLSKY_SFC_SW_DWN,1986,21.24,23.58,26.29,26.82,25.06,25.99,24.35,24.82,23.45,21.59,21.12,20.08,23.69
ALLSKY_SFC_SW_DWN,1987,21.2,22.7,25.49,25.73,20.05,25.23,24.02,24.21,23.75,22.25,20.75,20.24,22.96
ALLSKY_SFC_SW_DWN,1988,20.17,22.61,25.46,25.94,23.73,25.53,24.5,22.36,23.22,22.46,21.31,20.09,23.11
ALLSKY_SFC_SW_DWN,1989,21.3,23.77,24.75,26.32,23.8,24.11,26.37,23.74,23.11,21.75,21.41,20.32,23.39
ALLSKY_SFC_SW_DWN,1990,21.14,23.67,26.19,26.69,26.68,26.24,25.95,24.9,23.12,21.86,20.96,20.59,24.0
ALLSKY_SFC_SW_DWN,1991,20.42,23.52,26.2,24.47,25.27,24.09,24.78,24.13,23.49,22.02,21.48,20.15,23.33
ALLSKY_SFC_SW_DWN,1992,21.13,23.84,25.32,26.99,23.82,26.31,25.15,22.65,23.02,21.83,21.29,20.61,23.49
ALLSKY_SFC_SW_DWN,1993,20.35,23.36,25.89,26.7,24.62,26.57,25.24,24.34,23.21,21.92,20.99,21.03,23.68
ALLSKY_SFC_SW_DWN,1994,21.77,23.52,26.24,26.8,26.5,24.95,24.58,24.05,23.15,22.5,21.23,20.29,23.8
ALLSKY_SFC_SW_DWN,1995,21.45,23.38,25.66,26.56,25.41,25.82,23.65,23.5,23.5,22.67,21.31,20.19,23.58
ALLSKY_SFC_SW_DWN,1996,21.38,23.55,26.07,26.34,23.42,26.2,25.52,23.99,23.05,22.59,21.59,20.91,23.71
ALLSKY_SFC_SW_DWN,1997,21.26,22.94,24.52,27.18,25.54,25.76,25.05,24.21,24.13,22.5,21.24,20.11,23.7
ALLSKY_SFC_SW_DWN,1998,20.21,23.32,26.64,27.91,27.15,26.68,25.11,20.5,22.81,22.54,21.52,20.26,23.71
ALLSKY_SFC_SW_DWN,1999,21.26,24.2,26.21,27.13,26.84,26.19,22.14,23.54,22.99,22.02,21.54,20.77,23.72
ALLSKY_SFC_SW_DWN,2000,21.45,24.07,26.16,26.72,25.53,26.07,24.74,24.46,22.47,22.53,20.75,20.01,23.74
ALLSKY_SFC_SW_DWN,2001,21.65,23.8,26.45,27.93,26.64,27.03,25.18,23.46,24.23,23.09,21.42,20.29,24.26
ALLSKY_SFC_SW_DWN,2002,21.59,23.82,26.36,27.94,27.34,27.07,25.61,24.8,23.33,22.6,21.32,20.61,24.36
ALLSKY_SFC_SW_DWN,2003,21.44,23.73,25.98,28.14,26.62,25.69,24.15,22.75,24.0,23.02,21.54,20.3,23.94
ALLSKY_SFC_SW_DWN,2004,21.06,24.09,26.6,27.85,27.51,25.87,25.35,23.68,23.85,22.93,21.49,20.13,24.19
ALLSKY_SFC_SW_DWN,2005,21.23,23.88,26.49,27.51,25.95,25.85,24.0,23.02,22.96,22.79,21.72,20.2,23.79
ALLSKY_SFC_SW_DWN,2006,21.39,23.87,26.09,27.88,26.02,25.31,25.25,22.23,22.94,21.68,21.81,20.54,23.74
ALLSKY_SFC_SW_DWN,2007,21.28,23.52,26.82,27.87,27.46,25.6,22.71,22.95,23.72,22.62,20.89,20.08,23.79
ALLSKY_SFC_SW_DWN,2008,20.11,23.55,26.7,25.17,27.13,26.87,25.16,23.42,21.83,23.09,21.48,19.98,23.71
ALLSKY_SFC_SW_DWN,2009,21.28,23.25,26.72,27.11,25.85,26.48,23.45,24.1,23.88,23.26,21.31,20.54,23.93
ALLSKY_SFC_SW_DWN,2010,20.7,23.12,25.17,27.61,26.62,25.8,21.88,22.79,23.03,22.6,21.08,19.97,23.35
ALLSKY_SFC_SW_DWN,2011,21.3,23.66,26.65,27.64,25.49,25.64,24.18,22.94,24.43,22.57,21.71,20.12,23.85
ALLSKY_SFC_SW_DWN,2012,21.37,23.45,26.09,28.06,26.01,25.07,23.41,23.04,24.33,22.5,21.17,20.1,23.71
ALLSKY_SFC_SW_DWN,2013,20.97,23.43,26.62,28.27,26.55,25.52,24.67,21.99,23.38,23.25,21.57,20.31,23.87
ALLSKY_SFC_SW_DWN,2014,21.22,23.92,25.06,24.8,25.63,26.44,23.4,22.55,22.6,22.6,21.57,20.15,23.32
ALLSKY_SFC_SW_DWN,2015,20.87,24.19,25.37,27.03,26.75,25.91,26.18,22.13,22.97,21.94,21.53,19.72,23.71
ALLSKY_SFC_SW_DWN,2016,21.29,23.99,25.72,27.76,26.63,25.23,23.66,22.34,23.05,22.72,21.57,20.0,23.65
ALLSKY_SFC_SW_DWN,2017,21.22,23.86,26.0,25.68,25.82,25.93,24.47,21.85,23.62,22.92,21.3,19.89,23.54
ALLSKY_SFC_SW_DWN,2018,21.29,23.3,25.75,27.9,25.2,24.88,23.19,22.66,22.07,22.33,22.0,20.22,23.39
ALLSKY_SFC_SW_DWN,2019,20.7,22.69,26.05,28.15,27.03,24.83,24.43,22.26,23.25,21.74,21.62,20.31,23.58
ALLSKY_SFC_SW_DWN,2020,21.76,23.13,26.03,28.06,25.58,25.3,23.35,22.29,22.79,23.46,21.7,20.5,23.66
ALLSKY_SFC_SW_DWN,2021,21.21,22.92,26.1,26.61,26.59,24.99,22.66,23.52,22.83,22.91,21.51,19.43,23.44
ALLSKY_SFC_SW_DWN,2022,21.12,23.77,25.93,27.08,26.07,24.81,22.68,20.08,22.87,22.19,21.59,20.17,23.18
ALLSKY_SFC_SW_DWN,2023,21.05,23.61,25.08,26.83,27.32,24.47,24.11,21.31,22.2,22.37,20.47,20.24,23.25
