# Area: Syrian Arab Republic
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  34.8   Longitude 38.99 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 579.67 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DWN,1981,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1982,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1983,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1984,10.44,14.7,17.49,22.2,24.75,27.9,24.55,24.42,21.04,15.02,11.32,10.31,18.68
ALLSKY_SFC_SW_DWN,1985,10.91,12.36,18.44,23.4,25.27,28.53,23.78,25.01,20.33,15.45,11.76,9.74,18.78
ALLSKY_SFC_SW_DWN,1986,10.46,15.03,18.25,22.36,25.59,29.36,28.21,25.14,19.58,15.18,12.36,10.29,19.33
ALLSKY_SFC_SW_DWN,1987,10.56,13.06,16.22,21.81,24.47,28.35,25.32,21.51,20.55,14.53,11.54,7.66,17.98
ALLSKY_SFC_SW_DWN,1988,8.63,13.12,17.02,20.07,26.46,30.34,27.63,21.76,19.96,15.65,11.68,9.76,18.51
ALLSKY_SFC_SW_DWN,1989,11.62,16.33,18.41,24.84,28.3,28.66,28.52,24.84,20.71,15.42,12.44,10.85,20.09
ALLSKY_SFC_SW_DWN,1990,10.22,14.88,19.41,22.25,25.63,30.49,24.92,23.1,19.62,15.75,12.22,10.02,19.05
ALLSKY_SFC_SW_DWN,1991,10.05,14.95,16.28,21.23,23.94,30.63,25.59,22.64,20.0,14.36,13.35,10.03,18.59
ALLSKY_SFC_SW_DWN,1992,10.18,11.9,20.69,21.91,23.67,29.24,27.32,23.48,21.11,16.4,11.88,9.82,18.98
ALLSKY_SFC_SW_DWN,1993,11.27,13.08,19.96,23.06,22.65,31.11,27.84,23.63,20.01,15.72,11.91,10.66,19.27
ALLSKY_SFC_SW_DWN,1994,11.35,14.54,18.85,24.01,26.65,31.71,27.98,24.12,20.66,14.74,11.09,9.98,19.66
ALLSKY_SFC_SW_DWN,1995,10.64,13.57,19.43,21.05,24.18,31.27,26.95,22.68,20.7,14.73,12.48,9.91,18.98
ALLSKY_SFC_SW_DWN,1996,10.06,13.87,16.78,21.33,25.11,29.14,26.18,24.35,19.59,15.3,11.26,9.57,18.55
ALLSKY_SFC_SW_DWN,1997,10.28,14.75,19.45,23.57,27.77,32.9,28.18,25.75,21.29,14.67,11.51,9.23,19.96
ALLSKY_SFC_SW_DWN,1998,10.88,15.09,19.96,25.64,29.31,32.39,30.3,26.65,22.45,16.12,12.96,10.29,21.03
ALLSKY_SFC_SW_DWN,1999,12.53,14.74,18.85,23.01,27.44,28.26,28.82,23.63,21.69,15.97,12.54,10.3,19.84
ALLSKY_SFC_SW_DWN,2000,11.09,14.98,19.28,22.5,27.62,29.2,28.37,25.8,21.09,16.26,12.36,9.57,19.85
ALLSKY_SFC_SW_DWN,2001,10.69,14.51,20.34,23.3,26.78,31.24,29.19,26.14,22.01,17.23,12.38,9.21,20.28
ALLSKY_SFC_SW_DWN,2002,11.56,15.8,18.95,22.75,28.01,30.09,28.72,26.63,22.17,15.62,12.49,8.47,20.12
ALLSKY_SFC_SW_DWN,2003,10.13,13.55,18.44,22.81,27.73,29.64,29.32,26.55,22.84,16.73,12.09,9.07,19.94
ALLSKY_SFC_SW_DWN,2004,9.66,14.19,19.61,23.0,27.13,30.6,29.47,26.91,23.07,15.97,11.48,9.92,20.09
ALLSKY_SFC_SW_DWN,2005,10.23,12.89,19.75,22.33,26.48,29.85,29.1,26.45,22.63,17.35,11.8,9.83,19.93
ALLSKY_SFC_SW_DWN,2006,9.66,12.98,19.11,20.41,27.48,29.47,28.68,25.8,22.59,15.78,13.1,10.7,19.68
ALLSKY_SFC_SW_DWN,2007,11.4,12.45,18.67,21.57,23.21,30.21,28.25,25.84,22.49,16.11,12.22,10.65,19.46
ALLSKY_SFC_SW_DWN,2008,10.85,13.88,19.1,23.39,27.57,30.02,29.25,24.11,20.52,15.53,12.65,9.95,19.74
ALLSKY_SFC_SW_DWN,2009,10.93,13.19,17.74,23.05,27.19,28.19,28.46,26.64,21.6,15.47,11.91,8.98,19.48
ALLSKY_SFC_SW_DWN,2010,9.72,12.14,18.05,23.24,26.09,29.21,28.72,25.43,20.91,16.48,13.49,10.05,19.5
ALLSKY_SFC_SW_DWN,2011,10.24,13.15,19.21,21.67,25.04,29.98,27.99,26.12,21.12,16.26,12.49,10.67,19.53
ALLSKY_SFC_SW_DWN,2012,10.16,13.78,18.76,23.83,25.41,29.49,28.19,26.15,21.98,15.12,10.73,9.61,19.44
ALLSKY_SFC_SW_DWN,2013,10.64,13.63,18.79,23.35,24.96,30.13,29.58,26.67,22.17,17.97,11.32,8.76,19.86
ALLSKY_SFC_SW_DWN,2014,10.1,15.47,18.61,23.96,26.2,29.52,28.92,26.25,22.11,15.79,11.6,8.67,19.78
ALLSKY_SFC_SW_DWN,2015,10.41,13.96,18.55,23.97,27.26,29.46,28.55,25.88,20.32,14.65,11.69,10.23,19.6
ALLSKY_SFC_SW_DWN,2016,10.57,14.46,18.99,23.79,25.74,28.94,29.24,25.25,22.79,17.07,12.92,9.33,19.93
ALLSKY_SFC_SW_DWN,2017,10.76,15.56,17.2,23.52,27.22,30.11,28.73,26.41,21.7,17.16,11.38,9.17,19.93
ALLSKY_SFC_SW_DWN,2018,10.33,11.96,19.09,23.01,24.27,29.52,29.25,26.43,21.82,14.73,10.04,8.98,19.16
ALLSKY_SFC_SW_DWN,2019,11.12,12.78,17.29,22.02,27.46,28.67,29.75,26.41,22.53,15.77,12.85,9.31,19.7
ALLSKY_SFC_SW_DWN,2020,9.42,12.82,17.2,22.41,27.62,30.03,27.94,26.6,21.36,17.1,11.28,9.94,19.49
ALLSKY_SFC_SW_DWN,2021,10.93,15.2,18.76,23.29,28.05,30.34,28.44,25.45,22.39,16.21,11.99,9.51,20.06
ALLSKY_SFC_SW_DWN,2022,10.67,13.91,17.12,23.06,26.22,28.88,29.05,25.72,22.22,16.03,10.6,8.41,19.35
ALLSKY_SFC_SW_DWN,2023,10.47,14.47,17.16,23.19,25.62,28.63,29.18,25.5,21.93,14.92,11.44,10.02,19.4
