# Area: Ukraine
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  48.38   Longitude 31.17 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 178.92 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DWN,1981,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1982,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1983,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1984,3.53,8.04,8.94,15.6,18.73,19.1,18.55,16.93,13.1,7.58,4.53,2.86,11.46
ALLSKY_SFC_SW_DWN,1985,4.26,8.59,13.41,14.53,18.7,19.27,19.22,17.6,11.61,7.91,4.6,3.29,11.94
ALLSKY_SFC_SW_DWN,1986,3.88,7.81,11.08,15.35,21.45,20.45,18.79,18.69,13.78,7.27,3.37,2.72,12.08
ALLSKY_SFC_SW_DWN,1987,3.59,7.24,13.28,13.08,16.92,20.01,20.57,15.39,13.53,8.24,3.62,3.37,11.59
ALLSKY_SFC_SW_DWN,1988,4.18,6.67,9.03,14.45,18.61,20.67,21.0,18.47,11.96,9.01,5.46,3.06,11.9
ALLSKY_SFC_SW_DWN,1989,2.89,5.42,9.08,14.45,20.19,20.37,20.72,17.08,10.5,7.32,4.48,2.68,11.3
ALLSKY_SFC_SW_DWN,1990,3.04,6.48,11.59,12.49,20.85,18.2,20.93,17.92,11.25,8.22,3.39,2.75,11.47
ALLSKY_SFC_SW_DWN,1991,2.42,7.1,9.24,13.05,16.72,21.0,21.37,16.5,13.73,7.03,3.75,2.95,11.25
ALLSKY_SFC_SW_DWN,1992,3.75,6.3,8.21,14.86,20.73,19.11,22.22,19.41,13.26,6.88,3.63,3.8,11.87
ALLSKY_SFC_SW_DWN,1993,3.39,5.29,10.23,12.12,21.33,20.41,20.18,18.54,10.99,7.58,5.6,2.49,11.55
ALLSKY_SFC_SW_DWN,1994,2.96,6.0,9.63,14.28,19.01,21.76,23.44,17.28,14.61,8.63,4.79,3.29,12.17
ALLSKY_SFC_SW_DWN,1995,3.96,4.87,7.75,12.36,18.79,21.07,21.89,18.4,11.76,9.38,4.54,2.97,11.52
ALLSKY_SFC_SW_DWN,1996,4.42,7.24,15.18,14.41,20.37,22.51,21.48,17.36,9.13,7.56,3.12,2.03,12.09
ALLSKY_SFC_SW_DWN,1997,4.67,7.0,10.8,14.41,20.63,19.37,18.04,15.15,12.05,7.69,4.22,2.72,11.42
ALLSKY_SFC_SW_DWN,1998,2.85,5.63,11.98,14.46,20.69,22.33,20.57,19.19,14.66,6.53,4.99,3.67,12.33
ALLSKY_SFC_SW_DWN,1999,4.44,7.54,10.18,14.57,20.38,23.31,21.99,17.81,13.44,7.73,4.47,2.63,12.4
ALLSKY_SFC_SW_DWN,2000,4.85,8.02,9.73,14.74,21.84,22.45,20.93,19.49,10.0,8.72,2.31,2.49,12.15
ALLSKY_SFC_SW_DWN,2001,3.27,6.01,10.48,15.81,20.95,18.76,22.38,19.92,11.57,8.77,3.88,4.11,12.21
ALLSKY_SFC_SW_DWN,2002,4.39,6.82,12.05,15.55,21.87,21.47,22.76,19.15,9.85,6.78,3.26,3.63,12.34
ALLSKY_SFC_SW_DWN,2003,3.49,8.21,12.13,16.13,24.52,23.99,20.53,19.82,14.1,7.32,3.11,2.72,13.03
ALLSKY_SFC_SW_DWN,2004,2.52,6.54,9.53,17.28,17.59,22.12,20.28,17.38,12.99,8.23,3.43,2.56,11.71
ALLSKY_SFC_SW_DWN,2005,3.57,6.6,13.02,15.85,21.3,19.83,21.39,18.72,15.3,8.36,3.67,2.37,12.53
ALLSKY_SFC_SW_DWN,2006,4.38,7.68,8.97,15.2,19.14,22.25,23.88,19.33,13.15,7.97,3.34,2.5,12.34
ALLSKY_SFC_SW_DWN,2007,3.69,5.95,11.72,16.6,23.33,23.19,22.98,18.01,13.61,7.54,4.51,1.58,12.76
ALLSKY_SFC_SW_DWN,2008,3.69,7.15,9.71,12.83,20.32,23.19,21.03,20.74,10.85,8.67,4.1,2.28,12.07
ALLSKY_SFC_SW_DWN,2009,3.76,4.92,9.24,20.42,20.24,23.32,21.49,20.29,13.13,7.15,3.35,2.21,12.49
ALLSKY_SFC_SW_DWN,2010,3.73,7.19,13.37,15.36,19.23,22.74,22.51,19.32,13.94,7.79,4.54,3.29,12.78
ALLSKY_SFC_SW_DWN,2011,3.29,5.78,12.83,16.09,21.12,22.4,22.29,19.95,15.0,8.76,4.41,2.74,12.93
ALLSKY_SFC_SW_DWN,2012,3.84,9.48,13.02,16.21,21.49,24.34,24.75,18.35,15.3,7.46,3.36,2.87,13.38
ALLSKY_SFC_SW_DWN,2013,3.65,5.45,9.54,16.15,22.9,24.17,22.04,19.33,9.6,7.05,3.68,2.94,12.25
ALLSKY_SFC_SW_DWN,2014,3.86,5.97,13.0,14.77,19.76,22.64,22.36,20.29,16.15,10.69,3.97,3.14,13.09
ALLSKY_SFC_SW_DWN,2015,2.86,6.63,10.34,16.39,20.97,23.32,23.36,21.1,14.4,9.46,3.62,3.3,13.02
ALLSKY_SFC_SW_DWN,2016,4.13,6.52,9.58,17.0,19.19,21.75,23.77,19.51,15.15,7.78,3.5,2.65,12.56
ALLSKY_SFC_SW_DWN,2017,4.36,7.08,11.57,17.07,22.03,23.91,23.09,19.62,14.98,6.36,3.11,2.04,12.96
ALLSKY_SFC_SW_DWN,2018,3.73,6.87,9.85,18.7,23.66,23.88,21.32,22.46,12.75,9.82,3.79,2.6,13.32
ALLSKY_SFC_SW_DWN,2019,4.55,5.94,10.94,16.5,19.31,24.95,22.23,20.28,13.97,8.41,3.98,3.12,12.88
ALLSKY_SFC_SW_DWN,2020,3.68,7.11,12.34,19.71,16.38,23.15,23.63,21.72,15.88,7.98,3.27,2.1,13.08
ALLSKY_SFC_SW_DWN,2021,3.45,7.38,10.88,14.53,18.67,21.51,23.49,19.25,13.36,10.1,4.29,2.35,12.47
ALLSKY_SFC_SW_DWN,2022,3.58,7.07,12.36,13.63,21.48,23.32,23.72,16.68,10.69,9.22,3.56,2.55,12.36
ALLSKY_SFC_SW_DWN,2023,2.91,6.44,10.67,10.71,21.38,22.54,21.35,21.05,16.49,9.48,4.2,2.79,12.54
