# Area: Zimbabwe
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  -19.02   Longitude 29.15 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 1218.77 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DWN,1981,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1982,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1983,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1984,26.31,24.41,20.71,19.42,16.7,15.02,13.84,19.7,24.6,22.97,22.37,24.28,20.85
ALLSKY_SFC_SW_DWN,1985,23.51,22.54,22.42,20.17,16.34,15.79,16.3,18.68,22.61,25.21,26.64,22.3,21.03
ALLSKY_SFC_SW_DWN,1986,23.32,23.95,22.02,17.33,18.28,15.89,16.74,19.36,23.33,22.38,24.79,23.34,20.88
ALLSKY_SFC_SW_DWN,1987,26.05,25.64,22.33,21.37,16.87,16.15,16.35,19.28,23.08,25.36,25.17,22.24,21.63
ALLSKY_SFC_SW_DWN,1988,26.11,23.03,21.11,18.42,17.52,15.2,17.33,20.67,24.6,24.17,26.27,23.66,21.5
ALLSKY_SFC_SW_DWN,1989,24.76,18.64,22.02,18.64,18.16,14.0,17.19,18.74,22.25,23.3,24.76,25.14,20.66
ALLSKY_SFC_SW_DWN,1990,21.57,23.24,23.18,18.99,17.87,15.33,17.54,19.7,22.4,26.29,26.92,23.59,21.38
ALLSKY_SFC_SW_DWN,1991,23.94,22.78,20.48,22.03,17.7,16.32,17.5,19.17,22.16,24.7,23.85,24.22,21.23
ALLSKY_SFC_SW_DWN,1992,25.93,26.83,20.12,20.32,18.43,16.39,17.6,20.68,24.33,24.71,23.68,22.52,21.77
ALLSKY_SFC_SW_DWN,1993,23.28,21.69,21.75,19.24,16.6,16.39,15.31,20.11,23.53,25.94,21.2,24.52,20.8
ALLSKY_SFC_SW_DWN,1994,23.14,24.13,25.26,21.23,19.03,16.34,17.46,18.91,22.4,23.11,25.94,25.37,21.84
ALLSKY_SFC_SW_DWN,1995,26.14,25.83,23.46,19.42,15.67,16.7,17.32,18.34,22.79,24.43,24.67,22.79,21.43
ALLSKY_SFC_SW_DWN,1996,21.55,22.46,21.97,20.0,15.22,15.76,16.33,19.64,22.71,25.92,21.02,22.34,20.4
ALLSKY_SFC_SW_DWN,1997,20.44,22.27,20.14,19.67,18.35,16.7,15.73,20.78,20.77,23.19,24.34,26.77,20.75
ALLSKY_SFC_SW_DWN,1998,19.81,25.84,23.6,22.18,20.11,17.37,17.72,19.59,23.22,24.82,22.12,19.34,21.27
ALLSKY_SFC_SW_DWN,1999,22.96,21.61,22.24,20.77,19.0,16.47,15.58,19.96,21.51,24.04,23.95,24.86,21.08
ALLSKY_SFC_SW_DWN,2000,22.99,20.37,20.87,18.94,16.8,13.96,16.23,20.2,22.81,23.83,22.0,23.17,20.19
ALLSKY_SFC_SW_DWN,2001,26.61,17.32,17.49,19.84,17.91,16.38,16.26,20.39,21.62,25.25,19.72,22.0,20.1
ALLSKY_SFC_SW_DWN,2002,26.94,26.62,23.18,19.73,18.68,15.67,16.61,19.28,22.18,23.79,24.5,23.29,21.68
ALLSKY_SFC_SW_DWN,2003,25.88,22.29,19.82,21.58,18.21,13.57,17.94,20.74,23.04,22.8,24.88,24.1,21.23
ALLSKY_SFC_SW_DWN,2004,22.92,22.92,18.06,18.87,18.02,14.68,16.19,20.12,22.33,23.56,26.64,21.4,20.46
ALLSKY_SFC_SW_DWN,2005,25.42,25.48,21.47,20.14,18.77,16.12,16.87,20.04,23.66,27.27,21.25,19.07,21.27
ALLSKY_SFC_SW_DWN,2006,22.86,21.44,19.61,19.54,18.08,15.64,17.14,19.47,24.35,23.11,21.22,24.27,20.56
ALLSKY_SFC_SW_DWN,2007,22.91,23.91,23.07,19.15,19.13,15.96,17.11,20.94,22.46,22.78,22.43,18.09,20.64
ALLSKY_SFC_SW_DWN,2008,19.52,24.93,22.86,22.15,18.31,16.96,16.76,20.29,23.12,26.13,21.82,21.66,21.19
ALLSKY_SFC_SW_DWN,2009,23.72,24.27,18.8,20.8,18.61,16.9,15.74,21.52,21.48,24.67,20.91,22.65,20.82
ALLSKY_SFC_SW_DWN,2010,23.88,22.31,19.77,18.16,16.42,16.29,16.07,21.08,24.3,24.32,22.67,22.76,20.66
ALLSKY_SFC_SW_DWN,2011,21.4,24.53,23.56,18.86,18.88,17.41,17.19,20.97,24.02,23.47,22.07,22.78,21.24
ALLSKY_SFC_SW_DWN,2012,25.99,23.84,21.78,20.64,18.85,17.83,19.0,21.2,22.91,22.96,24.32,22.05,21.77
ALLSKY_SFC_SW_DWN,2013,21.87,23.52,22.93,21.16,19.03,17.51,17.44,19.48,22.93,24.76,22.56,21.46,21.2
ALLSKY_SFC_SW_DWN,2014,22.8,22.02,21.58,18.05,18.26,17.32,17.4,20.97,23.43,25.92,23.74,21.74,21.1
ALLSKY_SFC_SW_DWN,2015,24.97,24.8,22.59,17.41,19.56,17.15,18.49,21.58,22.72,25.93,24.72,25.05,22.08
ALLSKY_SFC_SW_DWN,2016,23.88,23.96,20.78,20.24,18.45,16.43,17.22,21.81,23.96,25.75,22.82,22.37,21.46
ALLSKY_SFC_SW_DWN,2017,20.36,21.3,21.52,19.54,18.39,16.45,16.95,20.04,24.04,22.65,23.83,23.58,20.71
ALLSKY_SFC_SW_DWN,2018,25.61,18.28,21.7,20.09,16.71,17.51,14.89,21.12,23.77,26.42,25.55,25.64,21.46
ALLSKY_SFC_SW_DWN,2019,24.72,24.13,24.21,20.14,19.65,16.97,19.29,20.16,24.12,24.78,24.6,26.32,22.42
ALLSKY_SFC_SW_DWN,2020,23.8,21.16,19.62,20.09,19.68,15.82,17.97,19.61,22.22,24.25,22.27,20.13,20.55
ALLSKY_SFC_SW_DWN,2021,20.47,21.14,23.6,21.52,18.97,16.34,17.22,20.31,22.72,22.36,23.98,21.71,20.86
ALLSKY_SFC_SW_DWN,2022,19.84,25.54,21.86,16.97,17.24,15.83,15.59,21.33,24.12,24.95,20.15,24.66,20.65
ALLSKY_SFC_SW_DWN,2023,21.96,19.86,21.78,20.83,18.65,17.4,17.24,19.47,22.55,23.96,26.16,22.59,21.04
