# Area: Armenia
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  40.07   Longitude 45.04 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 1946.3 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M     MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,1981,-4.95,-3.73,1.65,4.33,8.78,14.78,19.87,19.18,15.69,9.07,0.31,-1.94,6.99
T2M,1982,-6.4,-7.47,-1.79,8.01,11.36,15.57,19.7,18.28,14.98,6.91,-1.75,-6.97,5.94
T2M,1983,-11.14,-6.55,-1.7,6.29,11.29,15.57,20.94,19.12,14.22,7.65,1.98,-3.05,6.29
T2M,1984,-3.99,-6.25,1.2,5.69,8.38,16.08,21.69,18.51,16.43,7.94,1.73,-6.07,6.81
T2M,1985,-5.17,-7.45,-3.47,7.46,13.03,17.94,19.45,20.47,15.43,6.78,4.4,-3.63,7.18
T2M,1986,-4.19,-2.17,0.13,7.79,9.4,15.07,22.01,21.84,17.72,8.52,-0.23,-6.11,7.53
T2M,1987,-3.36,-1.07,-1.45,4.73,12.94,18.46,20.63,19.58,14.48,5.15,1.14,-3.99,7.31
T2M,1988,-6.16,-4.86,0.18,6.33,10.41,15.91,19.84,18.67,14.1,8.16,-0.53,-3.24,6.6
T2M,1989,-8.86,-5.36,2.72,9.62,12.72,17.91,22.09,21.04,14.95,8.01,1.16,-3.83,7.75
T2M,1990,-7.31,-3.69,1.13,5.2,11.12,17.31,21.63,19.36,15.85,8.1,3.83,-2.15,7.59
T2M,1991,-5.82,-6.44,1.37,7.59,10.06,16.84,20.88,21.17,15.46,9.74,2.33,-5.04,7.42
T2M,1992,-9.6,-7.79,-2.17,4.76,9.04,14.55,19.36,18.0,12.91,8.29,0.68,-5.62,5.24
T2M,1993,-9.01,-6.94,-1.01,4.91,9.76,15.1,19.9,19.32,15.4,7.77,-3.09,-4.19,5.74
T2M,1994,-4.07,-5.34,0.87,8.58,11.3,16.36,20.24,19.94,15.57,9.04,1.37,-7.8,7.24
T2M,1995,-4.49,-1.73,2.32,6.15,12.92,16.91,20.12,21.18,15.2,6.56,1.75,-4.42,7.76
T2M,1996,-5.19,-2.07,-0.06,5.09,13.31,15.93,21.91,20.72,14.82,7.79,2.35,-0.56,7.87
T2M,1997,-4.5,-5.84,-2.45,6.09,12.14,16.63,19.13,20.56,12.63,9.08,2.18,-2.86,6.98
T2M,1998,-6.14,-5.91,0.51,8.16,12.1,19.53,20.61,20.85,15.68,9.73,4.12,-1.02,8.26
T2M,1999,-3.46,-2.4,1.87,6.7,12.11,17.78,20.45,22.02,14.58,8.61,0.7,-1.06,8.23
T2M,2000,-6.73,-5.11,-0.45,8.59,11.71,17.82,23.76,20.89,15.67,7.62,1.9,-3.03,7.75
T2M,2001,-4.01,-2.36,4.34,7.88,10.37,17.87,20.99,21.24,16.47,7.97,0.86,-3.53,8.23
T2M,2002,-5.81,-1.74,2.38,4.64,9.81,15.92,20.55,19.64,17.5,10.55,3.5,-7.16,7.53
T2M,2003,-4.66,-4.83,-1.93,5.88,12.07,15.81,20.35,20.62,14.79,10.63,1.71,-3.47,7.32
T2M,2004,-4.07,-3.37,2.86,5.45,10.79,17.25,19.57,21.73,16.4,9.97,1.68,-5.37,7.77
T2M,2005,-4.9,-4.58,0.11,8.26,11.58,15.64,22.22,21.41,15.51,8.81,2.27,-0.33,8.08
T2M,2006,-6.72,-3.44,2.7,7.7,12.93,20.61,20.65,23.65,16.11,9.73,0.8,-4.09,8.45
T2M,2007,-5.41,-2.84,0.46,3.92,13.51,17.16,19.84,20.18,17.39,10.38,0.82,-5.44,7.56
T2M,2008,-9.61,-5.87,4.7,9.37,10.3,16.28,20.9,21.89,16.1,9.19,2.19,-3.42,7.71
T2M,2009,-6.58,-1.67,0.35,4.23,11.56,15.79,19.67,17.79,13.06,10.33,2.01,-1.72,7.12
