# Area: Bahrain
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  26.0667   Longitude 50.5577 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 2.82 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M     MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,1981,18.71,18.2,20.58,24.47,27.62,31.33,33.87,34.91,33.53,29.65,25.17,21.06,26.64
T2M,1982,17.72,16.31,18.56,23.14,28.0,31.33,32.59,32.48,32.69,29.9,22.22,16.92,25.2
T2M,1983,15.74,16.08,17.47,22.79,29.33,31.16,33.07,33.55,31.59,27.43,24.57,20.2,25.3
T2M,1984,17.6,18.01,20.99,24.89,27.72,30.17,32.65,32.04,30.87,27.92,24.7,19.33,25.59
T2M,1985,18.46,17.43,19.35,24.29,29.59,31.42,32.38,33.52,32.59,28.6,25.3,20.15,26.14
T2M,1986,17.6,17.79,20.37,24.6,29.7,31.56,33.32,34.97,33.68,30.84,24.67,19.2,26.57
T2M,1987,17.61,19.19,20.9,24.09,29.96,31.6,33.39,34.21,32.16,29.83,25.17,20.95,26.63
T2M,1988,17.8,18.29,20.18,24.34,28.94,31.57,33.78,34.58,33.1,30.25,25.54,21.16,26.65
T2M,1989,16.11,16.56,20.55,24.08,28.67,30.44,33.66,34.82,32.54,29.14,25.73,19.89,26.07
T2M,1990,16.91,17.79,20.17,24.08,28.98,31.88,34.27,33.67,32.34,29.79,25.95,21.91,26.53
T2M,1991,19.22,18.36,19.59,23.97,26.93,29.54,31.7,32.19,31.13,28.74,24.72,20.93,25.63
T2M,1992,15.99,16.67,17.86,22.73,28.07,31.97,32.6,33.7,32.49,28.34,25.18,20.15,25.5
T2M,1993,17.0,17.69,20.27,24.25,28.14,31.27,33.82,34.5,32.62,30.24,25.18,20.65,26.35
T2M,1994,19.51,18.64,20.26,25.02,29.16,31.87,33.15,33.3,32.71,29.93,26.33,19.59,26.66
T2M,1995,18.56,18.77,20.5,24.06,29.03,32.34,33.58,34.37,32.18,29.47,24.98,19.08,26.45
T2M,1996,17.81,19.06,20.82,24.53,30.14,32.37,35.11,35.39,33.17,29.18,24.12,21.29,26.94
T2M,1997,18.79,17.32,18.95,23.28,29.3,32.87,33.85,32.88,32.22,30.36,24.76,20.58,26.31
T2M,1998,17.2,18.55,20.5,25.22,29.99,33.36,35.17,36.55,34.86,30.5,26.19,23.06,27.64
T2M,1999,19.94,20.19,21.77,26.05,29.69,33.69,34.27,35.22,33.69,30.66,25.85,20.88,27.7
T2M,2000,18.45,17.81,19.86,25.84,30.09,31.57,34.49,35.98,31.98,29.76,24.53,20.46,26.76
T2M,2001,17.6,17.85,21.56,25.97,29.89,31.8,34.27,35.47,33.35,30.39,25.14,22.83,27.23
T2M,2002,18.55,18.37,21.68,25.15,30.22,32.4,35.02,34.4,32.86,30.67,25.07,20.34,27.11
