# Area: Belize
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  17.19   Longitude -88.5 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 352.0 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M     MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,1981,19.56,21.55,24.36,25.11,26.68,24.69,23.98,24.27,23.96,23.59,21.61,21.72,23.43
T2M,1982,21.95,23.2,24.78,26.72,26.73,26.22,25.01,24.93,24.91,24.01,22.85,22.61,24.5
T2M,1983,22.65,24.07,25.66,27.35,27.68,27.16,25.26,25.83,25.93,24.71,24.48,23.5,25.36
T2M,1984,21.87,23.46,25.5,27.4,26.19,25.55,25.04,24.79,25.24,24.71,22.5,22.17,24.53
T2M,1985,21.34,22.93,24.73,25.12,26.47,25.92,25.16,25.36,25.35,25.26,24.1,22.8,24.55
T2M,1986,21.06,23.97,23.78,25.39,26.19,25.7,25.33,25.27,25.05,24.93,24.41,23.84,24.58
T2M,1987,21.98,24.25,26.52,25.22,26.73,26.42,25.82,25.6,26.15,25.18,24.65,23.52,25.17
T2M,1988,22.47,23.04,24.45,26.71,27.99,26.29,25.56,26.16,25.97,24.28,24.04,22.0,24.91
T2M,1989,22.81,22.83,24.5,25.23,26.14,26.16,25.85,26.04,25.17,23.22,23.74,21.03,24.4
T2M,1990,22.92,23.56,24.35,25.56,26.83,25.18,25.52,25.48,24.73,24.9,22.54,21.96,24.47
T2M,1991,23.15,23.19,26.03,27.11,27.33,26.54,24.27,24.41,24.12,23.43,22.13,21.81,24.46
T2M,1992,22.19,23.12,25.32,26.59,25.93,25.94,24.42,24.01,23.82,23.54,23.42,22.42,24.22
T2M,1993,22.0,22.79,24.05,25.63,25.9,25.63,23.85,24.37,24.19,23.96,22.34,21.58,23.86
T2M,1994,22.1,23.47,25.41,26.31,27.35,26.2,26.44,26.21,25.5,25.72,23.97,22.54,25.11
T2M,1995,22.87,23.08,25.46,26.85,27.75,26.66,24.82,25.29,24.49,23.77,22.52,21.83,24.62
T2M,1996,20.1,21.45,22.91,25.49,26.09,25.51,24.82,24.31,25.23,24.14,22.13,21.14,23.61
T2M,1997,21.69,22.8,24.91,27.13,26.48,26.31,24.97,24.61,24.74,23.88,23.51,21.44,24.37
T2M,1998,22.62,24.14,24.33,26.13,27.25,26.06,24.85,25.04,25.5,24.17,22.75,21.1,24.49
T2M,1999,20.97,20.94,22.05,24.63,26.41,25.37,24.69,24.82,24.19,23.16,20.74,20.56,23.22
T2M,2000,20.54,21.78,23.85,25.45,24.99,24.03,24.12,24.03,24.43,22.9,22.7,20.32,23.26
T2M,2001,19.74,22.0,23.11,24.65,25.25,24.95,25.09,25.13,24.64,23.82,21.91,22.09,23.54
T2M,2002,21.45,22.47,23.88,25.44,26.68,25.73,24.52,24.74,24.76,23.98,22.07,21.84,23.97
T2M,2003,19.61,23.05,25.56,25.74,26.91,25.4,24.37,24.54,24.99,24.44,22.74,19.79,23.93
T2M,2004,21.1,22.45,23.21,25.3,25.1,25.1,24.68,25.67,25.43,24.02,22.17,21.21,23.79
T2M,2005,20.94,22.58,26.25,26.3,26.79,26.25,24.96,24.91,24.52,23.23,21.81,21.66,24.19
T2M,2006,20.87,20.68,22.83,24.46,25.3,24.44,24.39,24.65,24.56,24.39,21.76,21.9,23.37
T2M,2007,21.92,22.26,23.43,26.22,27.33,26.35,25.78,25.21,24.32,23.59,21.76,21.5,24.15
T2M,2008,21.35,23.23,24.13,25.4,26.96,24.31,24.29,25.23,24.97,23.28,20.47,20.89,23.71
T2M,2009,20.93,20.98,22.58,25.89,26.69,26.04,25.13,25.29,25.39,24.69,22.76,22.84,24.12
T2M,2010,20.48,21.95,23.3,26.61,26.62,26.23,24.97,24.99,25.01,22.79,21.53,19.19,23.64
T2M,2011,22.02,22.91,24.15,26.42,26.95,25.27,24.35,24.87,24.54,22.87,21.81,21.09,23.94
T2M,2012,21.45,22.23,23.12,25.51,26.18,24.71,24.22,24.62,24.5,23.54,20.92,22.34,23.62
T2M,2013,21.95,23.42,23.35,26.65,26.29,24.69,24.25,24.33,24.53,24.19,22.77,22.22,24.05
T2M,2014,20.33,22.3,24.05,25.96,24.63,24.67,24.76,24.83,24.38,23.72,21.46,20.99,23.51
T2M,2015,20.71,21.0,23.25,25.17,24.75,24.45,24.65,25.39,25.13,24.57,23.61,23.31,23.85
T2M,2016,21.25,20.6,23.97,25.99,27.05,25.25,24.78,24.97,24.87,23.83,22.37,22.56,23.97
T2M,2017,21.22,22.96,22.86,26.05,26.65,25.47,24.66,25.02,25.29,23.68,21.93,21.05,23.9
T2M,2018,19.8,22.11,23.32,25.57,26.92,24.83,24.74,24.46,24.49,24.04,23.12,21.65,23.76
T2M,2019,21.45,23.84,24.56,26.57,27.13,26.4,25.72,26.35,26.14,24.91,23.08,22.0,24.85
T2M,2020,22.15,23.34,24.29,27.76,26.75,25.05,25.14,25.48,25.41,24.26,23.1,21.11,24.48
