# Area: Cameroon
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  7.37   Longitude 12.35 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 942.78 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M     MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,1981,19.92,21.88,23.45,23.71,22.91,22.36,20.51,20.89,20.97,21.82,20.65,21.04,21.67
T2M,1982,21.35,21.58,22.7,23.18,22.89,22.24,20.99,20.33,21.24,20.75,19.85,20.3,21.45
T2M,1983,16.75,22.46,23.39,24.67,23.42,22.01,21.28,20.49,20.84,21.47,21.29,20.66,21.55
T2M,1984,19.44,21.71,23.45,23.38,22.79,22.18,21.12,21.37,21.32,21.99,21.25,20.19,21.68
T2M,1985,21.66,21.2,23.29,22.63,22.7,21.37,20.14,20.61,21.17,21.41,21.76,20.69,21.55
T2M,1986,21.25,22.84,23.09,23.93,22.62,22.11,20.37,20.73,20.86,21.09,21.0,18.78,21.54
T2M,1987,20.76,22.78,23.57,23.47,23.34,22.15,21.66,20.97,22.0,22.1,22.22,21.69,22.22
T2M,1988,22.05,24.0,24.76,24.43,23.47,22.4,21.01,20.73,21.22,21.69,21.44,21.02,22.34
T2M,1989,18.23,20.45,23.46,24.47,22.52,22.02,21.0,20.86,21.43,21.68,22.09,21.01,21.6
T2M,1990,21.98,21.93,23.73,25.0,23.11,22.55,21.01,21.09,21.97,22.06,22.25,21.66,22.36
T2M,1991,21.27,23.9,24.39,23.67,23.06,23.03,21.27,20.8,22.21,21.6,22.19,19.84,22.25
T2M,1992,19.73,20.91,24.23,23.91,23.09,22.29,20.69,20.48,21.02,21.89,20.87,20.84,21.66
T2M,1993,19.7,22.26,23.63,24.19,23.49,22.23,21.29,20.89,21.55,22.2,22.55,21.32,22.1
T2M,1994,21.02,22.18,24.74,24.38,23.26,22.21,20.8,20.59,21.13,21.62,21.06,19.34,21.85
T2M,1995,20.6,21.98,24.58,24.76,23.19,22.64,21.06,21.1,21.26,21.97,20.56,20.62,22.02
T2M,1996,21.53,22.96,23.84,23.98,23.22,22.42,21.05,20.82,21.23,21.84,20.65,21.42,22.08
T2M,1997,20.82,20.6,23.53,23.21,22.94,22.4,21.57,21.43,22.46,22.82,22.29,20.81,22.08
T2M,1998,20.55,23.21,24.64,26.38,24.45,23.29,21.82,21.39,21.87,22.54,22.57,21.62,22.85
T2M,1999,21.66,23.75,25.78,25.33,23.73,22.71,21.08,21.16,21.78,21.74,22.32,21.18,22.67
T2M,2000,22.08,21.93,25.01,26.62,24.52,22.33,21.33,21.28,21.93,21.94,21.44,20.33,22.56
T2M,2001,20.51,21.66,24.84,24.03,23.72,22.22,21.47,21.39,21.81,22.2,21.73,21.75,22.28
T2M,2002,20.04,23.1,26.17,25.63,24.05,22.8,22.42,21.55,22.53,22.44,22.04,21.17,22.82
T2M,2003,21.97,24.25,25.74,25.07,24.54,22.9,21.72,21.57,22.32,23.15,23.34,22.02,23.21
T2M,2004,23.46,24.16,26.15,26.07,24.05,23.23,22.12,21.86,22.58,23.4,23.97,23.66,23.72
T2M,2005,22.47,27.14,27.75,26.74,24.48,23.62,22.03,21.78,22.44,22.68,23.11,23.32,23.94
T2M,2006,24.64,26.17,26.4,27.27,24.02,24.2,22.68,21.4,21.92,23.12,22.22,21.4,23.77
T2M,2007,21.23,24.51,26.81,26.96,24.44,22.67,21.77,21.25,21.96,22.7,22.88,21.64,23.22
T2M,2008,21.37,22.75,26.39,25.23,23.73,22.71,21.34,21.13,21.94,22.53,22.21,22.22,22.79
T2M,2009,23.58,25.06,26.48,25.19,23.76,22.92,21.88,22.01,22.3,22.48,22.03,22.06,23.3
T2M,2010,23.11,25.01,25.56,25.51,24.19,23.41,21.55,21.65,21.68,22.41,22.78,21.41,23.17
T2M,2011,21.06,24.51,25.62,25.27,23.94,22.96,22.2,21.15,21.51,22.6,22.53,21.2,22.86
T2M,2012,22.08,24.82,25.95,25.19,23.26,22.3,21.09,21.04,21.24,22.3,22.34,21.18,22.72
T2M,2013,22.27,24.33,25.24,24.25,23.53,22.75,21.65,21.03,21.81,22.22,22.91,21.7,22.79
T2M,2014,22.72,24.2,25.54,24.81,23.69,23.11,22.26,21.09,21.54,22.47,22.96,22.14,23.03
T2M,2015,20.58,25.35,25.86,25.92,24.19,23.08,22.27,21.81,22.11,22.68,22.34,19.42,22.94
T2M,2016,20.85,23.63,25.82,25.11,23.59,22.42,21.56,21.63,21.97,22.62,22.69,21.75,22.8
T2M,2017,22.81,23.04,25.6,24.95,23.32,22.72,21.79,21.56,21.9,22.65,22.57,21.94,22.9
T2M,2018,20.26,24.36,25.11,24.86,23.52,22.74,21.74,21.28,22.01,22.65,22.8,21.19,22.69
T2M,2019,22.24,22.94,25.81,25.69,24.36,23.01,21.79,21.35,22.03,21.43,22.23,20.95,22.81
T2M,2020,20.26,22.84,24.95,24.09,23.62,22.82,21.49,21.18,21.27,22.26,21.97,22.59,22.44
T2M,2021,22.57,22.93,24.47,24.55,23.46,22.69,21.6,21.45,22.02,22.56,22.63,21.36,22.69
T2M,2022,20.15,21.71,24.5,24.23,23.43,22.44,21.37,21.02,21.37,21.8,21.28,20.13,21.95
