# Area: Comoros
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  -11.65   Longitude 43.33 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 25.32 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M     MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,1981,27.81,27.74,28.14,27.69,26.95,25.36,24.52,24.54,24.8,25.61,26.76,27.79,26.47
T2M,1982,27.81,27.91,28.03,27.81,27.0,26.14,25.3,24.93,25.27,26.37,27.26,28.07,26.82
T2M,1983,27.6,28.2,28.25,28.51,27.41,26.55,25.67,25.02,25.0,25.59,26.67,27.7,26.84
T2M,1984,27.19,27.07,27.48,27.39,26.52,25.36,24.3,24.02,24.28,25.3,26.66,27.24,26.06
T2M,1985,27.53,27.17,27.53,27.62,26.72,25.3,24.76,24.51,24.78,25.27,26.29,27.19,26.22
T2M,1986,27.13,27.27,27.56,27.63,27.01,25.3,24.53,24.49,24.86,25.8,27.29,27.53,26.36
T2M,1987,27.59,27.73,28.61,28.34,27.84,25.69,24.73,25.03,25.31,25.85,27.02,27.51,26.76
T2M,1988,28.58,27.82,28.53,28.42,27.27,26.13,25.53,25.13,25.11,26.19,26.8,27.64,26.93
T2M,1989,27.14,27.22,27.2,27.31,26.8,25.28,24.7,24.24,24.64,25.5,26.28,27.45,26.14
T2M,1990,27.41,28.05,27.97,27.87,27.47,25.97,24.96,24.63,24.89,25.43,26.81,27.49,26.57
T2M,1991,27.62,28.0,28.02,27.72,26.97,25.5,24.78,24.18,25.0,25.99,26.77,27.39,26.49
T2M,1992,27.67,28.05,28.04,27.97,27.06,25.94,24.98,24.06,24.72,25.55,26.59,27.11,26.47
T2M,1993,27.2,27.43,27.3,27.72,27.35,25.91,24.83,24.36,24.32,25.52,26.76,27.29,26.33
T2M,1994,27.44,27.34,27.63,27.86,26.92,25.69,25.05,24.47,24.88,25.98,26.59,27.14,26.41
T2M,1995,27.04,27.27,27.54,27.82,27.09,25.5,25.19,24.98,25.27,25.92,26.42,27.6,26.47
T2M,1996,27.67,27.58,27.69,27.82,26.88,25.78,24.71,24.35,24.57,24.99,26.22,27.13,26.28
T2M,1997,27.53,27.27,27.81,27.79,26.72,25.95,24.99,24.72,25.12,25.95,27.16,27.33,26.52
T2M,1998,27.99,28.53,28.86,28.68,27.63,26.19,25.41,24.94,25.16,25.91,26.45,27.36,26.92
T2M,1999,27.52,27.49,27.52,27.7,27.15,26.2,25.13,24.56,25.07,25.25,26.65,27.19,26.44
T2M,2000,27.63,27.91,27.56,27.7,26.73,25.75,24.7,24.48,24.86,25.76,26.6,27.43,26.42
T2M,2001,27.39,27.42,27.75,27.99,27.56,25.87,24.7,24.63,25.08,25.67,26.57,27.61,26.51
T2M,2002,27.76,27.99,27.92,28.03,27.07,25.86,25.15,24.99,25.44,25.92,27.1,27.94,26.76
T2M,2003,28.14,28.11,28.1,28.1,27.53,26.34,25.24,24.49,25.37,26.11,26.93,27.72,26.84
T2M,2004,28.12,27.63,28.32,27.94,27.03,25.86,24.98,24.93,25.26,26.1,26.94,27.62,26.73
T2M,2005,27.71,28.27,28.4,28.5,27.65,26.49,25.37,25.1,25.35,25.86,26.68,27.76,26.92
T2M,2006,27.66,27.81,27.78,27.72,26.99,26.11,25.04,24.76,24.95,25.97,27.09,27.24,26.58
T2M,2007,28.0,27.98,27.87,28.1,27.73,26.31,25.31,25.16,25.37,25.99,26.9,27.74,26.86
T2M,2008,27.39,27.22,27.52,27.42,26.77,25.53,24.73,24.62,25.27,26.25,27.29,27.52,26.46
T2M,2009,28.13,27.76,28.21,27.86,26.98,26.27,25.13,24.92,25.3,26.27,27.36,27.92,26.84
T2M,2010,28.09,28.26,28.52,28.58,27.89,26.64,25.38,24.88,25.04,25.98,26.83,27.57,26.96
T2M,2011,27.91,27.62,27.62,27.93,27.33,26.35,25.23,24.83,25.39,26.12,27.44,27.95,26.8
T2M,2012,28.02,27.57,27.62,27.95,26.96,25.95,25.12,24.95,25.23,25.84,27.09,27.89,26.68
T2M,2013,28.27,28.03,28.38,28.13,27.06,25.83,24.88,24.73,25.4,26.11,27.27,27.98,26.83
T2M,2014,28.05,27.63,28.04,27.67,27.13,26.35,25.44,25.4,25.23,26.2,27.46,28.18,26.89
T2M,2015,27.62,27.92,27.94,28.16,27.52,26.38,25.67,25.23,25.64,26.61,27.37,28.56,27.05
T2M,2016,28.52,28.2,29.0,28.49,27.08,25.87,24.94,24.92,24.98,25.93,26.83,27.89,26.88
T2M,2017,27.81,27.98,28.27,27.97,27.58,26.62,25.82,25.46,25.51,26.42,27.48,27.83,27.06
T2M,2018,27.33,28.01,28.02,28.09,27.39,26.21,25.43,25.26,25.72,25.87,26.91,28.12,26.86
T2M,2019,28.18,28.1,28.62,28.69,27.37,26.37,25.47,25.34,25.67,26.75,28.0,28.35,27.24
T2M,2020,28.25,28.47,28.83,28.55,27.44,26.33,25.21,24.87,25.35,26.46,26.99,28.0,27.06
T2M,2021,28.09,27.85,28.12,27.9,26.97,25.87,25.28,25.08,25.55,26.07,27.42,28.01,26.84
T2M,2022,28.27,27.84,27.97,28.24,27.25,26.02,24.92,24.59,24.9,25.33,26.56,27.59,26.62
T2M,2023,27.76,27.78,28.39,28.48,27.33,26.6,25.85,25.59,26.05,27.05,28.08,28.76,27.31
