# Area: Djibouti
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  11.83   Longitude 42.59 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 605.16 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M     MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,1981,21.85,23.0,24.32,26.45,29.55,32.37,30.49,30.66,30.24,25.91,23.52,21.76,26.69
T2M,1982,20.95,22.14,23.61,24.66,27.16,32.13,32.4,31.82,30.27,25.24,24.31,22.21,26.43
T2M,1983,21.37,22.77,24.26,25.51,27.27,30.67,32.07,30.0,30.31,26.2,23.03,22.05,26.31
T2M,1984,21.66,21.23,23.79,26.47,27.86,30.83,31.84,31.49,28.2,25.03,22.84,21.89,26.11
T2M,1985,21.66,22.53,24.72,26.69,29.55,32.16,31.2,31.08,30.18,26.99,23.51,21.8,26.86
T2M,1986,21.16,23.11,24.36,25.54,27.62,30.17,30.94,28.34,26.17,24.03,23.27,21.83,25.56
T2M,1987,21.09,22.3,24.59,25.1,26.56,30.93,32.44,30.66,30.61,26.61,24.25,22.84,26.52
T2M,1988,22.39,23.95,24.77,27.08,30.94,33.05,30.7,28.66,28.55,25.7,22.45,21.96,26.69
T2M,1989,21.77,22.85,24.03,23.54,27.66,31.34,31.0,30.75,29.9,26.81,23.86,22.82,26.38
T2M,1990,22.39,24.36,24.83,26.92,32.2,33.52,31.88,31.56,31.53,26.62,23.74,22.18,27.66
T2M,1991,22.69,23.01,25.14,27.49,29.39,33.35,30.63,30.51,30.64,25.58,22.78,22.04,26.95
T2M,1992,22.12,23.07,24.27,25.95,28.83,30.47,31.02,27.92,28.74,26.41,23.82,23.54,26.35
T2M,1993,22.28,22.72,24.45,25.18,27.5,30.74,30.06,30.58,30.98,26.65,23.84,21.6,26.4
T2M,1994,21.5,22.82,24.83,26.4,28.15,32.24,29.57,28.0,27.5,24.85,22.57,20.68,25.77
T2M,1995,20.69,22.75,23.32,25.14,27.92,31.02,28.86,28.18,29.47,26.41,22.25,21.73,25.65
T2M,1996,22.1,22.22,25.03,26.0,27.36,29.4,28.98,29.21,29.45,25.54,22.79,21.5,25.81
T2M,1997,21.99,23.02,24.65,26.29,28.88,31.26,29.83,28.64,30.17,25.43,24.68,22.92,26.49
T2M,1998,23.08,24.12,25.87,27.57,30.63,33.13,30.23,27.98,28.8,26.42,23.42,22.51,26.99
T2M,1999,22.25,22.91,24.56,26.98,31.81,32.69,27.72,28.21,28.25,25.97,23.54,21.71,26.4
T2M,2000,22.22,22.96,24.34,27.54,31.0,33.02,32.21,30.1,30.16,27.5,24.21,22.88,27.35
T2M,2001,21.44,22.61,24.84,26.52,31.08,33.33,31.99,29.84,28.6,27.2,23.81,22.84,27.03
T2M,2002,22.78,22.69,25.13,27.0,31.75,32.33,33.64,31.79,29.66,26.75,24.63,23.9,27.7
T2M,2003,22.43,24.59,25.67,26.93,28.12,30.4,31.61,28.79,28.75,26.1,24.38,22.32,26.68
T2M,2004,23.33,23.15,24.72,26.88,31.95,33.11,32.04,30.94,30.59,26.37,24.18,22.71,27.51
T2M,2005,22.06,23.23,25.83,25.85,26.38,30.19,30.95,31.82,31.34,27.24,24.38,22.17,26.8
T2M,2006,22.42,23.6,24.78,26.21,30.84,32.88,30.98,28.84,28.8,26.58,24.3,23.23,26.97
T2M,2007,21.84,24.34,25.85,26.86,30.28,32.27,29.91,30.15,30.76,26.97,24.44,22.6,27.2
T2M,2008,22.66,21.79,23.48,26.83,30.83,32.69,31.19,30.74,29.89,27.77,23.73,22.04,26.98
T2M,2009,21.84,23.1,25.31,26.59,30.5,32.62,31.44,31.94,30.95,27.08,24.68,23.75,27.51
T2M,2010,22.17,23.2,25.17,27.57,30.57,33.29,29.34,28.91,28.63,28.02,24.18,21.91,26.93
T2M,2011,22.11,23.58,24.2,27.5,30.03,32.87,32.86,32.07,31.82,27.06,25.81,22.71,27.73
T2M,2012,23.19,22.77,24.45,26.98,29.39,33.43,32.03,30.83,30.95,26.32,24.59,23.53,27.38
T2M,2013,22.86,23.0,24.58,27.12,30.14,33.35,31.27,28.8,30.51,27.03,24.64,22.49,27.16
T2M,2014,22.08,23.18,24.92,27.28,29.67,32.68,32.44,31.09,29.69,26.4,24.98,22.63,27.27
T2M,2015,22.19,23.25,25.02,27.64,30.06,32.39,33.86,32.52,32.27,28.01,25.26,23.26,28.0
T2M,2016,22.94,22.95,26.43,26.97,31.48,33.68,31.34,29.75,31.91,27.69,24.36,23.22,27.74
T2M,2017,22.4,23.45,25.59,27.68,29.81,33.02,33.18,32.59,31.04,28.83,24.66,21.56,27.84
T2M,2018,22.03,22.76,25.12,27.93,30.97,33.01,32.73,32.31,31.46,27.26,24.27,23.22,27.78
T2M,2019,22.49,24.1,26.14,27.96,30.2,32.0,33.34,32.21,31.86,23.8,23.93,23.05,27.6
T2M,2020,22.67,23.53,26.02,27.26,30.99,32.65,30.7,30.3,30.88,28.62,24.63,23.34,27.64
T2M,2021,21.6,23.15,24.77,26.88,30.47,32.88,29.72,29.53,30.0,28.04,25.3,22.6,27.09
T2M,2022,22.88,23.78,25.24,27.64,32.17,33.46,29.85,28.09,30.33,27.71,24.85,23.25,27.45
T2M,2023,22.66,23.79,25.16,27.11,29.5,32.84,34.06,32.78,33.67,27.82,25.51,23.93,28.26
