# Area: Egypt
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  26.82   Longitude 30.8 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 218.37 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M     MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,1981,9.17,11.83,18.06,23.6,25.3,28.94,29.37,28.62,25.92,23.88,14.76,12.25,21.02
T2M,1982,11.57,11.38,15.06,22.83,24.58,28.13,28.32,28.61,26.55,23.88,15.08,11.06,20.64
T2M,1983,8.17,10.65,14.27,19.87,26.44,28.42,29.36,28.28,25.99,20.69,18.18,12.78,20.31
T2M,1984,9.85,12.63,17.18,21.3,27.96,27.29,28.21,27.59,26.85,23.02,16.29,12.08,20.88
T2M,1985,13.61,12.06,17.38,21.44,27.25,29.32,28.09,28.88,25.54,20.19,17.81,13.17,21.28
T2M,1986,10.53,14.4,17.21,22.21,22.95,28.9,29.28,28.84,27.69,20.81,15.01,10.13,20.68
T2M,1987,10.87,13.25,15.54,18.99,26.52,28.04,29.52,29.38,26.44,21.05,16.9,13.21,20.85
T2M,1988,11.29,12.76,16.93,22.92,28.11,30.4,30.88,29.75,27.42,21.01,14.7,12.35,21.57
T2M,1989,8.39,10.57,15.97,24.29,26.86,28.77,29.56,29.73,27.22,22.27,16.35,12.13,21.06
T2M,1990,11.29,11.84,15.21,23.19,25.78,28.12,29.51,28.11,25.94,23.01,19.52,15.03,21.43
T2M,1991,10.61,13.46,18.16,24.47,26.49,29.17,29.29,28.53,25.68,23.01,16.81,10.22,21.36
T2M,1992,9.64,9.54,15.17,20.29,25.01,29.4,28.67,28.99,25.14,23.54,16.91,10.85,20.29
T2M,1993,9.31,10.97,15.43,22.21,25.13,28.55,29.16,29.51,27.08,24.73,18.61,14.21,21.29
T2M,1994,12.84,12.03,15.41,22.9,25.96,27.21,29.71,28.69,27.68,25.37,15.97,10.51,21.24
T2M,1995,10.37,12.93,16.97,20.59,24.89,30.7,30.09,29.12,27.89,22.51,15.3,12.03,21.16
T2M,1996,11.91,13.35,17.12,20.52,28.08,27.55,29.3,29.3,28.29,21.95,17.91,13.11,21.55
T2M,1997,12.55,10.49,15.13,19.83,26.27,29.32,29.99,29.27,25.71,22.7,18.08,12.64,21.06
T2M,1998,11.35,13.0,14.38,22.89,27.42,27.41,29.74,30.73,28.33,23.41,18.11,12.57,21.65
T2M,1999,11.58,13.44,16.81,21.11,26.64,27.95,30.02,30.07,27.79,23.38,18.36,12.72,21.7
T2M,2000,9.84,11.08,14.59,22.8,25.97,28.16,30.82,28.99,27.38,21.3,17.36,12.95,20.96
T2M,2001,11.87,12.43,19.55,22.4,26.65,28.02,29.79,30.53,27.85,22.29,17.14,12.23,21.78
T2M,2002,9.35,13.96,18.04,21.7,25.97,28.19,32.02,30.56,28.61,23.35,18.34,13.07,21.97
T2M,2003,13.44,11.96,14.84,22.27,27.33,29.66,29.59,29.7,27.1,24.43,18.46,12.96,21.86
T2M,2004,11.67,13.94,18.41,22.14,27.92,28.18,30.18,28.88,26.47,23.51,18.47,12.61,21.89
T2M,2005,11.64,13.61,17.19,22.54,25.21,28.64,30.45,29.98,27.55,22.1,16.43,14.14,21.67
T2M,2006,11.57,14.33,18.29,21.72,25.41,28.86,29.11,30.41,27.57,23.02,15.28,11.86,21.49
T2M,2007,10.52,13.82,17.07,22.13,27.28,29.61,30.21,30.02,25.77,23.78,17.91,12.53,21.76
T2M,2008,9.86,11.22,20.04,22.8,26.41,30.36,29.81,30.51,28.31,22.36,18.5,14.28,22.07
T2M,2009,12.99,13.92,15.69,22.74,24.86,29.4,30.7,28.76,27.37,24.46,16.98,13.53,21.82
T2M,2010,13.92,17.0,19.78,23.13,26.23,30.46,30.28,30.99,28.01,26.06,19.9,14.38,23.37
T2M,2011,11.98,14.14,16.05,21.07,25.46,28.43,30.61,29.34,27.04,22.58,14.89,11.17,21.1
T2M,2012,9.2,12.9,14.76,23.27,27.14,30.22,30.97,29.94,26.57,24.34,18.66,12.45,21.72
T2M,2013,11.69,13.91,19.16,20.85,27.75,29.42,28.4,29.63,27.1,20.88,19.03,12.69,21.75
T2M,2014,12.79,13.72,18.01,23.04,26.7,29.21,30.19,30.12,27.91,22.65,17.28,13.9,22.17
T2M,2015,11.05,13.46,17.81,20.32,26.16,28.23,30.02,32.37,29.8,24.8,18.11,12.33,22.09
T2M,2016,10.19,14.56,18.5,24.35,27.13,31.72,29.94,29.73,27.35,23.49,17.85,10.61,22.12
T2M,2017,10.09,11.31,16.56,22.11,27.04,30.02,31.59,30.57,27.13,22.11,16.16,13.91,21.61
T2M,2018,10.67,16.22,20.46,22.99,28.72,30.59,30.78,30.74,27.66,23.89,17.93,12.17,22.77
T2M,2019,10.47,12.45,15.68,20.85,28.18,30.95,31.2,30.78,27.47,24.86,19.58,12.89,22.16
T2M,2020,9.97,12.51,17.16,20.84,26.55,29.39,30.23,30.49,29.46,25.18,17.19,14.97,22.02
T2M,2021,12.78,13.56,17.24,21.81,28.48,29.09,31.05,30.97,27.79,23.51,19.49,12.39,22.39
T2M,2022,9.11,11.65,14.4,23.92,26.06,29.62,29.83,30.74,28.84,23.01,17.49,14.6,21.65
T2M,2023,12.45,11.66,18.46,22.39,26.14,30.62,31.46,31.31,29.19,24.36,19.35,14.93,22.75
