# Area: Ethiopia PDR
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  9.03   Longitude 38.74 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 2349.69 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M     MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,1981,15.06,16.33,16.43,15.63,16.09,17.95,16.01,15.55,14.65,12.73,12.29,12.59,15.1
T2M,1982,13.65,14.44,15.68,16.61,16.37,17.39,15.75,15.08,14.73,12.99,13.31,12.81,14.9
T2M,1983,13.05,15.7,16.97,16.48,16.38,16.06,15.8,15.18,15.14,13.23,12.38,12.66,14.91
T2M,1984,13.52,14.57,17.59,18.7,16.99,16.12,15.18,15.19,14.27,12.63,13.65,13.45,15.15
T2M,1985,14.82,16.69,17.22,16.16,15.66,16.94,14.85,14.7,14.24,12.71,12.72,12.85,14.95
T2M,1986,13.99,17.06,16.31,16.4,16.94,15.87,15.38,14.97,14.42,12.87,12.71,12.83,14.96
T2M,1987,13.98,16.22,15.53,15.37,15.15,16.09,15.82,15.46,15.23,14.18,13.31,14.07,15.02
T2M,1988,15.28,16.42,18.13,18.47,19.04,17.32,15.09,15.39,14.81,13.32,11.5,12.04,15.56
T2M,1989,13.51,14.5,16.68,15.89,16.42,17.27,15.46,15.34,15.18,13.48,13.56,14.34,15.14
T2M,1990,14.32,15.47,15.62,16.58,18.51,18.02,15.48,15.5,15.19,12.91,13.42,13.15,15.34
T2M,1991,15.57,16.86,17.04,16.6,17.44,17.99,15.69,15.66,14.99,12.97,12.98,13.66,15.61
T2M,1992,14.47,15.71,17.28,17.93,17.74,17.84,15.11,14.75,14.63,13.81,12.78,14.1,15.51
T2M,1993,14.67,15.22,16.91,16.68,16.56,16.62,15.32,14.98,15.02,13.71,12.65,12.93,15.1
T2M,1994,14.66,17.01,17.87,17.98,17.48,17.06,15.09,15.11,14.52,12.58,13.63,13.33,15.51
T2M,1995,15.06,16.49,17.16,17.4,17.7,18.64,15.5,15.68,14.9,13.81,13.92,14.3,15.87
