# Area: Gabon
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  -0.8   Longitude 11.61 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 470.32 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M     MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,1981,23.05,23.88,23.34,23.75,23.15,23.28,22.05,22.46,23.1,22.76,22.57,23.14,23.04
T2M,1982,23.12,23.38,23.6,23.46,22.99,22.7,22.27,22.3,22.82,22.04,22.62,23.28,22.88
T2M,1983,24.04,24.2,24.23,24.08,23.63,22.78,22.64,22.07,22.9,22.4,22.56,22.54,23.17
T2M,1984,22.63,23.03,23.5,23.52,23.09,22.89,22.53,22.91,22.86,22.82,22.57,23.2,22.96
T2M,1985,23.4,23.21,23.4,22.74,22.91,22.52,22.14,22.63,22.53,22.47,22.82,23.24,22.83
T2M,1986,23.09,23.25,22.98,23.57,23.39,22.5,22.23,22.73,22.62,22.29,22.87,22.86,22.86
T2M,1987,23.27,23.61,23.36,23.39,23.43,23.31,23.4,23.41,23.9,23.16,23.41,24.0,23.47
T2M,1988,23.94,24.65,24.12,24.07,23.52,23.22,22.68,23.11,23.15,23.08,22.81,23.39,23.47
T2M,1989,23.32,23.74,23.27,23.7,23.03,23.02,22.45,22.82,23.38,22.77,23.77,24.03,23.27
T2M,1990,24.2,23.98,24.33,24.34,23.52,23.87,23.77,24.37,24.25,23.58,23.44,23.3,23.91
T2M,1991,24.28,24.44,24.61,23.81,23.77,24.19,23.64,24.37,26.05,23.94,24.1,25.11,24.36
T2M,1992,25.14,25.47,25.55,24.34,24.03,23.71,24.09,24.35,25.4,23.12,23.05,23.58,24.32
T2M,1993,24.08,24.61,24.36,24.11,24.3,23.73,23.95,24.36,24.66,24.04,23.37,23.8,24.11
