# Area: Iraq
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  33.22   Longitude 43.68 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 47.22 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M     MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,1981,10.64,12.16,17.25,22.02,26.89,33.12,36.4,35.49,32.44,26.06,14.99,12.21,23.37
T2M,1982,9.07,8.72,14.33,23.82,28.75,33.39,35.38,34.05,32.86,24.75,13.11,7.86,22.25
T2M,1983,5.52,9.06,14.02,20.9,29.52,33.37,35.57,34.03,30.9,23.61,19.58,11.41,22.36
T2M,1984,9.64,11.96,17.41,23.1,28.0,32.49,36.26,32.67,31.77,24.53,16.76,8.66,22.79
T2M,1985,10.62,9.15,14.3,23.09,30.56,33.18,34.19,36.89,31.28,23.91,18.76,10.59,23.12
T2M,1986,9.22,12.44,15.81,23.94,28.19,32.52,36.21,37.02,34.09,26.23,14.87,8.42,23.3
T2M,1987,9.54,14.06,14.36,21.96,30.4,33.57,36.98,36.27,31.85,23.85,15.72,12.2,23.45
T2M,1988,9.05,11.92,15.9,22.72,29.11,33.65,36.54,35.87,31.42,25.9,15.36,11.27,23.26
T2M,1989,5.71,9.03,16.83,25.13,30.23,32.85,36.16,35.42,30.78,25.27,16.93,9.79,22.92
T2M,1990,7.17,10.73,15.7,22.49,29.2,33.27,36.4,33.85,30.99,25.58,18.38,12.05,23.05
T2M,1991,8.65,9.8,16.94,24.2,27.08,34.11,34.72,34.25,30.61,24.94,17.33,9.97,22.78
T2M,1992,5.49,8.46,12.09,21.03,27.37,32.63,33.68,34.5,30.78,24.5,16.04,8.93,21.32
T2M,1993,7.63,9.94,15.74,22.64,27.59,33.01,35.88,35.43,31.74,26.08,14.75,11.45,22.73
T2M,1994,11.29,11.95,17.45,25.82,29.89,33.41,34.86,34.53,32.37,26.47,16.19,7.23,23.51
T2M,1995,10.11,12.0,16.6,22.14,30.05,34.09,35.03,35.1,31.04,24.52,16.17,9.9,23.12
T2M,1996,10.36,12.51,15.29,21.06,31.29,33.87,38.14,36.45,31.69,24.83,17.48,13.81,23.94
T2M,1997,10.31,8.35,13.25,21.47,30.18,34.37,35.02,32.84,30.38,25.6,16.67,10.68,22.51
T2M,1998,7.97,10.26,14.77,23.15,29.57,35.2,37.02,37.91,32.13,25.26,19.71,13.58,23.95
T2M,1999,11.02,13.35,16.99,23.89,30.83,34.51,36.18,37.01,31.53,26.91,16.77,10.55,24.19
T2M,2000,8.19,10.83,15.49,25.2,29.64,33.43,38.01,36.8,31.16,24.04,16.71,10.29,23.35
T2M,2001,9.26,11.21,18.4,22.61,28.29,33.11,35.6,36.99,32.15,25.62,16.01,11.85,23.5
T2M,2002,8.06,12.11,17.11,21.68,28.73,33.53,36.74,34.81,31.87,27.37,17.04,9.55,23.28
T2M,2003,9.75,11.35,15.56,23.11,30.04,34.22,35.44,36.31,30.64,26.56,15.72,9.84,23.28
T2M,2004,10.32,11.05,18.14,22.09,28.39,33.51,36.5,34.91,31.92,27.55,16.95,8.15,23.33
T2M,2005,8.55,10.58,16.03,23.68,28.93,33.19,36.23,35.71,30.63,24.72,15.07,12.93,23.09
T2M,2006,8.78,11.62,17.51,22.65,30.15,35.5,35.65,36.96,31.15,26.59,14.23,8.2,23.32
T2M,2007,7.0,12.12,15.96,20.58,31.11,34.47,36.25,36.3,32.29,27.14,17.46,10.6,23.5
T2M,2008,5.54,10.42,19.53,24.95,28.81,33.7,35.7,36.94,33.02,25.25,16.47,9.47,23.35
T2M,2009,7.69,13.36,16.68,21.88,29.38,34.67,35.37,35.3,30.58,25.32,15.66,12.75,23.27
T2M,2010,11.5,12.83,18.4,23.81,29.65,35.19,37.54,38.2,33.39,27.42,18.66,12.89,25.03
T2M,2011,8.91,11.15,16.04,22.96,28.85,34.07,36.97,35.95,31.62,23.94,13.67,8.98,22.82
T2M,2012,9.0,9.97,14.52,24.51,30.67,34.87,37.83,36.19,32.18,26.89,18.54,11.28,23.91
T2M,2013,9.03,12.8,16.37,22.75,27.35,33.07,35.13,34.79,31.06,22.96,17.84,8.52,22.68
T2M,2014,9.97,11.07,18.04,24.26,29.87,33.56,35.92,36.53,32.33,25.23,16.2,13.02,23.91
T2M,2015,9.45,12.74,16.91,22.79,30.38,33.84,37.35,37.28,34.36,27.57,16.31,9.42,24.1
T2M,2016,8.93,13.55,17.36,23.1,29.09,34.46,37.16,37.91,31.49,26.56,15.88,9.06,23.74
T2M,2017,8.38,9.01,16.4,22.1,29.75,34.28,38.25,37.72,33.96,25.53,17.85,12.09,23.86
T2M,2018,10.61,13.96,19.37,22.61,28.28,34.44,35.92,35.7,33.49,26.77,16.73,12.27,24.23
T2M,2019,9.09,11.6,14.54,19.85,29.47,36.12,35.82,36.84,32.85,27.78,17.65,11.77,23.68
T2M,2020,9.64,11.14,17.03,22.76,29.82,33.92,38.75,35.27,34.86,26.21,18.17,11.09,24.09
T2M,2021,9.81,12.53,16.98,25.22,31.95,34.28,38.44,37.55,31.96,26.4,17.93,11.63,24.62
T2M,2022,8.93,13.35,14.84,24.23,28.6,35.8,36.4,37.21,33.26,28.11,18.75,13.07,24.43
T2M,2023,9.56,10.82,17.99,22.13,28.8,34.56,37.17,38.36,33.91,27.67,19.22,13.77,24.58
