# Area: Libya
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  26.3351   Longitude 17.2283 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 574.13 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M     MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,1981,8.17,12.5,19.59,25.33,27.26,31.61,30.72,30.29,27.8,25.01,15.65,13.88,22.37
T2M,1982,11.82,12.24,16.04,23.8,24.65,29.9,30.05,30.01,27.71,26.56,16.0,12.02,21.78
T2M,1983,8.89,13.87,15.61,22.98,27.99,29.8,30.42,30.5,27.65,21.97,18.85,12.47,21.78
T2M,1984,10.11,11.73,17.58,22.19,30.63,28.57,28.86,29.67,28.32,23.74,17.93,12.21,21.82
T2M,1985,12.51,14.81,18.15,22.15,28.13,30.93,29.16,29.45,26.62,21.35,18.02,12.22,21.99
T2M,1986,11.14,14.89,18.22,23.18,24.97,30.62,30.93,30.58,27.8,22.99,15.82,10.52,21.83
T2M,1987,10.91,14.22,17.69,20.49,27.2,30.51,31.57,30.93,27.57,23.08,17.84,14.33,22.24
T2M,1988,11.94,14.22,17.82,24.36,28.6,32.53,31.38,30.03,27.69,21.91,17.49,11.13,22.44
T2M,1989,9.01,11.41,17.08,24.62,27.07,31.08,30.0,30.4,28.6,22.37,17.96,13.51,21.97
T2M,1990,11.56,13.1,16.97,23.57,26.55,30.66,30.14,29.36,27.68,24.85,19.18,12.8,22.24
T2M,1991,10.85,13.56,19.13,23.04,25.31,30.77,30.57,29.31,27.17,23.94,16.46,10.36,21.74
T2M,1992,9.12,11.64,16.08,21.16,25.08,30.82,29.61,29.1,25.76,23.74,17.15,11.83,20.94
T2M,1993,9.7,11.03,15.79,22.29,25.59,30.06,29.43,29.55,29.6,25.17,19.84,12.9,21.79
T2M,1994,12.16,12.74,17.45,22.8,27.79,28.96,30.31,30.4,28.07,24.55,17.88,11.59,22.11
T2M,1995,9.63,13.52,17.68,21.12,25.46,32.38,30.68,31.6,30.64,22.66,15.64,13.38,22.07
T2M,1996,12.97,13.39,18.37,21.6,28.42,29.25,29.83,30.43,29.73,22.01,15.88,13.64,22.15
T2M,1997,11.89,11.6,15.37,20.01,27.26,31.74,30.79,30.42,27.67,24.18,18.64,12.55,21.9
T2M,1998,11.59,13.96,14.67,24.83,28.6,28.77,30.41,31.06,30.1,24.08,16.45,11.62,22.21
T2M,1999,11.87,12.4,17.99,22.64,27.04,30.33,30.44,31.68,29.93,24.42,18.19,12.54,22.51
T2M,2000,9.61,11.45,15.94,24.64,27.4,28.48,30.38,29.05,28.5,23.82,17.46,13.18,21.68
T2M,2001,12.3,12.59,20.18,23.28,27.0,29.67,31.04,31.17,31.08,23.98,18.42,13.33,22.89
T2M,2002,10.03,13.3,19.15,22.96,28.08,29.26,33.1,32.59,30.45,22.36,17.06,13.97,22.75
T2M,2003,13.32,12.85,15.59,23.1,27.29,30.94,31.7,31.36,29.46,26.01,18.68,13.0,22.83
T2M,2004,11.61,15.06,18.63,23.42,27.98,30.47,30.74,31.1,27.94,24.11,18.13,13.02,22.7
T2M,2005,10.86,14.24,18.97,22.89,26.57,29.58,31.61,31.44,29.57,24.48,17.95,13.24,22.66
T2M,2006,11.77,14.91,18.73,23.62,27.18,29.31,30.31,32.74,29.79,23.79,15.44,12.2,22.52
T2M,2007,11.75,14.65,18.6,24.11,27.66,30.84,31.12,31.34,28.13,24.45,18.03,12.18,22.78
T2M,2008,9.97,11.29,19.72,23.26,28.77,31.77,31.56,30.73,29.72,24.09,19.04,13.8,22.84
T2M,2009,13.26,15.06,17.9,23.87,25.98,31.42,31.2,30.17,30.96,24.26,16.67,14.57,22.98
T2M,2010,14.15,18.81,20.6,24.9,27.71,32.13,31.07,31.21,29.88,25.66,20.21,15.1,24.3
T2M,2011,13.04,13.15,18.53,22.33,26.21,30.22,32.84,30.88,28.82,22.97,17.37,11.39,22.36
T2M,2012,9.66,11.76,15.39,25.28,27.56,31.05,31.53,30.74,28.2,24.88,19.1,13.06,22.37
T2M,2013,11.04,13.42,21.21,23.32,29.76,29.68,29.87,30.63,29.52,22.64,19.07,11.99,22.73
T2M,2014,13.17,15.11,17.74,22.11,27.55,30.64,32.09,32.36,30.3,23.06,18.03,12.94,22.96
T2M,2015,10.76,13.12,17.5,21.59,27.07,29.74,30.99,32.43,29.15,25.41,17.43,11.7,22.29
T2M,2016,11.98,15.44,18.8,25.8,29.02,32.53,30.84,30.78,29.06,25.0,17.86,12.29,23.29
T2M,2017,9.79,12.98,17.17,22.9,27.53,30.94,31.26,30.74,28.89,22.56,16.64,12.36,22.02
T2M,2018,11.82,14.95,20.96,26.0,28.81,32.43,31.86,32.65,28.5,24.73,18.71,12.26,23.68
T2M,2019,9.59,11.21,16.98,22.86,28.46,30.91,32.11,31.14,29.7,25.61,19.85,13.53,22.72
T2M,2020,10.47,13.81,18.35,23.91,27.5,31.3,31.07,31.79,30.03,24.74,16.94,13.91,22.84
T2M,2021,14.04,13.97,17.54,23.35,30.4,30.98,32.26,32.26,28.62,24.0,20.81,11.86,23.39
T2M,2022,10.03,12.21,15.02,25.12,26.27,31.17,30.73,31.85,29.91,22.94,17.22,16.37,22.45
T2M,2023,12.35,12.67,19.05,22.13,26.72,30.99,32.46,32.51,28.38,23.8,19.42,12.59,22.81
