# Area: Mauritius
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  -20.35   Longitude 57.55 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 82.74 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M     MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,1981,26.53,26.9,26.68,25.97,23.67,22.6,21.14,21.39,21.57,22.96,24.15,25.82,24.1
T2M,1982,26.57,26.14,25.82,25.1,23.91,22.23,21.62,21.08,22.2,22.9,24.34,25.28,23.92
T2M,1983,25.63,26.85,26.57,25.79,24.39,23.14,21.99,21.55,21.18,22.71,24.08,25.51,24.1
T2M,1984,26.66,26.84,26.31,25.08,23.59,21.97,20.65,20.72,21.22,22.48,24.7,25.62,23.81
T2M,1985,26.06,26.28,25.61,25.0,23.78,22.45,21.9,21.31,21.5,22.1,23.4,25.14,23.7
T2M,1986,26.18,26.09,26.0,25.58,24.01,21.76,21.16,21.29,21.81,23.12,24.46,26.07,23.95
T2M,1987,26.57,26.45,26.71,26.21,24.64,22.61,22.66,22.25,22.32,23.44,24.39,26.07,24.52
T2M,1988,26.95,27.69,27.22,26.28,24.37,22.85,22.1,21.72,21.9,22.97,24.83,25.72,24.54
T2M,1989,26.41,26.5,26.43,25.17,24.24,22.52,22.06,21.04,21.43,22.75,23.75,25.54,23.97
T2M,1990,26.01,26.35,25.86,25.7,23.87,22.64,21.72,21.63,22.24,23.14,24.18,26.3,24.12
T2M,1991,26.89,27.24,26.58,25.65,23.99,22.5,21.41,21.58,22.83,23.37,24.86,25.56,24.35
T2M,1992,27.18,26.87,25.61,24.56,23.64,22.16,21.15,20.41,21.29,23.27,24.3,25.4,23.81
T2M,1993,26.77,26.32,25.94,25.28,24.45,22.39,21.33,21.24,21.37,22.07,23.41,25.15,23.8
T2M,1994,26.02,26.07,26.64,26.38,24.71,22.71,22.15,22.03,21.77,23.2,23.28,25.67,24.21
T2M,1995,25.9,27.02,25.99,25.66,23.52,22.41,21.92,21.36,21.88,22.68,23.78,25.67,23.96
T2M,1996,26.02,26.46,26.53,25.37,23.62,22.36,21.07,20.98,21.19,22.07,23.93,25.73,23.77
T2M,1997,26.0,26.3,26.31,25.42,24.32,22.71,21.63,21.49,21.64,22.03,24.27,26.07,24.0
T2M,1998,27.07,27.4,26.42,25.7,24.36,22.79,21.84,21.38,21.87,23.06,24.29,25.62,24.3
T2M,1999,26.13,26.34,26.08,25.57,24.56,22.95,21.71,21.14,21.89,22.02,23.69,25.07,23.91
T2M,2000,26.41,26.09,25.8,25.53,24.35,22.61,21.54,21.15,21.44,22.56,23.63,25.77,23.9
