# Area: Netherlands (Kingdom of the)
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  52.13   Longitude 5.29 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 3.51 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M     MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,1981,2.44,1.29,7.25,8.09,12.85,14.35,16.26,16.9,14.57,8.53,6.21,-1.31,9.0
T2M,1982,-0.11,1.82,4.73,7.17,12.34,16.25,18.35,17.17,16.12,10.65,7.46,2.7,9.59
T2M,1983,5.11,-0.21,5.09,8.15,10.51,15.66,19.52,18.13,14.25,10.64,5.64,2.74,9.67
T2M,1984,2.52,1.57,3.51,7.32,10.69,13.58,15.79,17.88,13.44,11.15,7.22,3.34,9.03
T2M,1985,-3.85,-1.72,3.32,8.07,13.13,13.62,17.03,15.86,14.18,10.21,2.1,4.29,8.08
T2M,1986,1.32,-4.52,3.22,5.66,12.59,15.88,16.94,15.61,11.82,11.21,7.18,4.15,8.51
T2M,1987,-3.45,0.88,1.42,9.69,10.03,13.85,16.61,16.11,14.69,10.47,6.11,2.95,8.31
T2M,1988,5.09,3.65,4.65,8.02,13.69,14.66,16.05,16.47,14.05,10.47,5.21,6.04,9.86
T2M,1989,3.6,4.53,7.13,6.59,13.67,15.19,17.92,17.46,15.72,12.09,4.84,3.64,10.24
T2M,1990,4.2,6.61,7.59,8.24,13.62,15.32,17.2,19.13,13.36,11.7,5.59,2.96,10.49
T2M,1991,2.25,-1.31,7.83,8.07,10.25,13.04,18.78,18.25,15.69,10.02,4.86,2.7,9.28
T2M,1992,1.77,4.11,6.35,8.13,14.72,17.0,18.51,18.11,14.39,8.01,7.17,2.75,10.1
T2M,1993,3.76,2.27,4.93,10.52,14.2,15.9,16.42,15.51,12.96,8.63,1.47,4.16,9.27
T2M,1994,4.17,0.53,6.47,7.91,12.13,14.89,20.59,17.65,13.56,9.13,9.21,4.89,10.16
T2M,1995,3.04,5.85,4.73,8.72,12.52,14.49,19.77,19.18,14.18,12.6,6.11,-2.0,9.96
T2M,1996,-1.8,-0.67,2.29,8.64,10.59,15.74,16.89,17.85,12.91,10.73,5.04,-1.05,8.12
