# Area: Nigeria
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  9.08   Longitude 8.68 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 606.53 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M     MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,1981,22.81,25.72,27.54,26.42,24.38,23.71,22.24,22.67,22.89,23.45,21.62,21.69,23.75
T2M,1982,24.28,24.66,25.66,25.42,24.4,23.4,22.68,21.85,23.16,22.84,21.07,21.5,23.4
T2M,1983,20.97,26.09,27.56,28.26,25.07,23.59,22.63,21.95,22.58,23.0,22.65,22.85,23.91
T2M,1984,22.36,25.11,26.25,25.36,24.15,23.74,22.72,23.03,22.76,23.34,22.16,21.53,23.53
T2M,1985,23.97,24.25,25.97,26.0,24.63,22.99,22.18,22.4,22.46,23.06,23.41,23.04,23.69
T2M,1986,23.86,26.53,26.3,26.41,24.48,23.63,22.12,22.52,22.73,22.96,22.72,21.39,23.78
T2M,1987,24.02,26.56,26.91,27.62,27.03,24.19,23.66,22.97,23.6,23.59,23.19,23.16,24.69
T2M,1988,24.93,26.76,27.83,26.83,25.37,23.73,22.59,22.04,23.09,23.22,22.56,22.96,24.32
T2M,1989,22.04,24.91,27.32,27.09,24.31,23.2,22.6,22.25,22.88,22.93,22.14,22.1,23.64
T2M,1990,24.39,25.68,27.88,27.0,24.44,23.78,22.72,22.94,23.18,23.35,23.46,24.22,24.41
T2M,1991,24.57,27.43,28.18,25.78,24.84,24.13,22.67,22.01,23.3,23.06,22.89,22.77,24.28
T2M,1992,23.87,26.46,28.05,26.35,24.75,23.43,22.38,21.99,22.58,23.38,21.88,21.81,23.9
T2M,1993,22.44,25.62,26.63,26.73,25.25,23.87,22.8,22.49,23.07,23.68,23.75,22.77,24.08
T2M,1994,24.17,25.6,28.29,26.37,24.8,23.74,22.53,22.0,22.53,23.04,21.66,20.78,23.78
T2M,1995,23.38,24.68,27.18,26.79,24.91,23.85,22.65,22.68,23.26,23.48,21.56,21.75,23.84
T2M,1996,23.57,25.93,26.68,26.4,25.03,23.62,22.69,22.46,22.8,23.01,20.97,21.62,23.72
T2M,1997,23.56,24.57,26.2,25.27,24.43,23.59,23.0,22.95,23.6,24.2,23.54,22.64,23.96
T2M,1998,24.23,27.23,29.1,28.07,25.69,24.32,23.2,22.93,23.28,23.84,23.31,23.56,24.88
T2M,1999,24.7,27.35,28.86,28.09,26.61,25.25,23.73,23.17,24.48,24.22,25.44,25.29,25.58
T2M,2000,26.9,27.11,28.71,27.92,27.03,23.6,22.75,22.68,23.14,23.24,22.24,21.45,24.72
T2M,2001,22.32,24.91,27.76,26.18,26.07,24.0,23.38,23.17,23.15,24.05,24.72,25.42,24.59
T2M,2002,25.05,27.34,28.63,26.54,25.33,24.34,23.77,23.07,23.45,23.52,23.75,24.22,24.9
T2M,2003,25.36,27.82,28.52,26.77,26.54,24.7,24.24,23.6,23.71,24.3,24.78,24.95,25.43
T2M,2004,26.39,27.75,29.13,27.76,25.11,24.28,23.99,23.71,24.84,25.94,26.79,26.73,26.03
T2M,2005,25.74,29.45,29.19,28.43,26.45,25.32,24.46,24.21,23.9,24.21,25.1,26.13,26.03
T2M,2006,27.37,28.09,28.86,28.39,25.64,25.77,24.94,23.17,23.23,24.37,22.78,23.48,25.49
T2M,2007,24.31,27.52,28.97,27.61,26.52,24.08,22.99,22.44,23.16,23.66,23.38,21.99,24.7
T2M,2008,23.15,25.58,27.93,27.15,26.29,24.57,23.17,22.67,23.3,23.88,23.53,24.54,24.64
T2M,2009,26.18,27.99,29.08,27.12,25.52,24.21,23.66,23.16,23.52,23.6,24.01,24.55,25.2
T2M,2010,26.24,28.78,28.7,28.07,25.64,24.6,22.93,22.82,22.9,23.74,23.93,22.98,25.08
T2M,2011,24.38,27.35,28.61,28.5,25.62,24.45,23.83,23.1,23.03,23.73,24.1,24.12,25.05
T2M,2012,25.8,28.17,28.97,27.87,25.82,23.93,22.84,22.5,22.82,23.79,23.74,22.74,24.9
T2M,2013,25.16,27.17,27.89,27.38,26.02,25.04,24.15,23.17,24.2,25.32,26.76,26.16,25.69
T2M,2014,27.03,28.59,28.14,27.07,26.29,24.78,23.89,22.88,23.28,24.42,25.77,25.61,25.63
T2M,2015,24.78,28.73,28.62,28.73,28.58,25.95,24.33,23.42,23.66,24.59,25.18,23.58,25.82
T2M,2016,25.68,28.46,29.58,27.81,25.99,24.05,23.25,23.11,23.32,23.97,23.7,24.04,25.23
T2M,2017,25.88,27.26,29.06,28.04,25.71,24.77,23.73,23.14,23.56,24.35,25.39,25.99,25.56
T2M,2018,24.95,28.61,29.21,28.78,26.42,24.66,23.43,23.04,23.56,24.38,25.51,25.46,25.64
T2M,2019,27.01,28.23,29.84,30.01,26.82,26.08,23.93,22.7,23.71,23.21,24.08,22.87,25.68
T2M,2020,24.56,27.58,28.95,26.81,25.75,24.13,22.91,22.59,23.04,23.81,24.62,26.14,25.07
T2M,2021,26.73,28.03,28.29,28.14,27.23,24.82,22.96,22.94,23.53,24.17,23.67,22.91,25.27
T2M,2022,23.92,26.35,28.71,26.41,24.63,23.53,23.09,22.57,22.93,23.24,22.87,23.14,24.27
T2M,2023,25.15,27.59,27.86,28.32,27.42,25.07,25.4,24.73,24.92,25.73,26.3,26.35,26.23
