# Area: Republic of Korea
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  35.91   Longitude 127.77 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 336.93 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M     MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,1981,-7.95,-3.34,3.7,9.4,15.11,21.04,24.26,22.64,17.73,10.41,1.29,-1.9,9.44
T2M,1982,-5.72,-2.11,3.73,9.44,16.47,20.59,23.64,23.98,17.35,13.47,6.4,-1.66,10.54
T2M,1983,-3.53,-3.85,3.6,10.88,15.92,20.66,22.49,23.59,19.59,11.57,4.2,-3.16,10.24
T2M,1984,-6.84,-4.82,0.49,9.65,15.72,20.83,23.75,24.87,18.18,10.69,5.65,-1.82,9.73
T2M,1985,-6.69,-1.61,1.92,9.38,15.73,19.7,23.52,24.48,18.89,12.26,4.33,-4.43,9.85
T2M,1986,-6.12,-4.92,2.5,9.43,14.5,19.96,21.78,23.04,17.26,10.09,3.11,0.18,9.32
T2M,1987,-4.26,-1.33,2.07,9.08,15.3,20.06,22.86,23.27,16.93,13.05,5.36,-1.05,10.18
T2M,1988,-3.3,-3.26,1.66,8.66,15.7,21.43,23.81,23.63,19.31,13.19,3.64,-1.53,10.29
T2M,1989,-1.05,0.02,3.6,11.32,16.11,18.98,23.06,22.57,18.41,11.01,4.83,-0.65,10.74
T2M,1990,-4.73,0.51,4.52,8.69,14.34,20.18,24.04,24.68,19.25,12.15,7.51,-0.79,10.91
T2M,1991,-3.83,-3.12,2.59,9.85,15.01,20.46,23.19,21.99,18.12,10.47,3.52,0.25,9.95
T2M,1992,-2.52,-2.55,4.25,9.36,13.75,19.5,24.36,23.46,18.21,11.47,4.24,-0.11,10.33
T2M,1993,-4.54,-1.32,2.6,8.43,15.08,19.87,21.24,20.93,17.76,10.03,6.06,-2.2,9.55
T2M,1994,-3.73,-2.32,0.86,11.06,15.07,20.35,27.13,25.62,18.68,12.77,7.23,-0.55,11.09
T2M,1995,-4.4,-1.45,3.63,8.83,14.24,19.49,23.59,25.32,17.07,12.21,3.65,-2.81,10.02
T2M,1996,-4.53,-3.82,2.13,6.7,15.46,20.48,22.55,23.76,18.8,12.31,4.67,-0.8,9.85
T2M,1997,-5.0,-1.94,3.75,9.7,15.1,20.49,23.39,23.38,17.42,10.95,7.13,-0.59,10.38
T2M,1998,-3.6,0.37,3.96,13.23,16.14,19.04,23.32,23.74,19.9,13.87,4.9,-0.3,11.27
T2M,1999,-2.67,-1.62,3.83,10.84,14.88,20.71,22.47,23.07,20.72,11.66,5.49,-1.62,10.71
T2M,2000,-3.6,-4.0,2.75,8.65,15.78,21.35,24.19,24.17,17.74,11.93,3.82,-1.41,10.16
T2M,2001,-5.91,-2.18,2.19,9.94,16.9,21.47,24.12,23.49,19.2,13.94,4.45,-2.59,10.49
T2M,2002,-1.46,-0.56,5.07,11.5,15.21,20.8,23.76,22.83,18.25,10.39,1.88,-0.83,10.63
T2M,2003,-4.99,-0.53,3.07,10.44,16.14,19.49,21.53,22.62,19.41,10.89,7.36,-1.38,10.38
T2M,2004,-3.8,-0.07,3.26,10.47,15.87,21.14,23.87,23.51,19.03,11.71,6.55,-0.14,10.97
T2M,2005,-4.53,-4.02,1.07,10.34,15.87,21.69,23.65,23.43,19.9,11.67,5.37,-5.74,9.96
T2M,2006,-2.63,-2.48,2.43,8.61,15.46,20.16,22.64,25.04,17.06,14.63,5.85,-0.59,10.6
T2M,2007,-1.89,1.41,4.3,8.98,15.85,21.21,22.68,24.77,19.67,12.47,4.21,-0.17,11.18
T2M,2008,-3.69,-4.05,4.03,10.71,15.94,19.14,24.59,22.68,19.89,14.39,5.77,-0.49,10.79
T2M,2009,-3.54,1.32,4.0,10.83,16.66,20.85,22.44,22.3,18.67,13.22,5.01,-2.04,10.85
T2M,2010,-4.96,-1.06,2.2,7.07,14.95,20.97,23.89,25.43,19.97,11.62,3.98,-2.06,10.23
T2M,2011,-8.68,-1.01,0.93,8.37,15.12,20.85,23.78,23.32,18.75,11.14,8.53,-2.97,9.89
T2M,2012,-4.88,-3.87,2.31,9.56,16.77,21.71,24.05,24.52,17.81,11.63,3.02,-4.81,9.86
T2M,2013,-5.83,-2.93,3.03,7.11,15.64,21.4,24.44,25.17,19.79,13.64,4.62,-1.33,10.47
T2M,2014,-2.47,0.23,5.17,11.65,16.65,20.8,23.87,22.03,18.48,12.48,6.12,-3.96,10.97
T2M,2015,-2.91,-1.42,3.67,10.51,16.35,21.08,23.4,24.56,19.41,13.49,8.06,0.68,11.48
T2M,2016,-4.07,-1.57,4.07,11.64,16.35,21.32,24.02,25.34,20.08,13.12,4.38,-0.05,11.25
T2M,2017,-3.32,-1.79,3.31,11.11,16.88,21.46,24.95,23.66,18.15,12.92,4.02,-2.87,10.78
T2M,2018,-5.01,-2.88,5.4,11.17,16.4,21.81,25.4,27.03,18.14,10.54,5.93,-1.93,11.08
T2M,2019,-3.18,-0.93,4.43,9.77,16.67,20.84,23.64,24.56,20.0,13.28,6.14,0.02,11.34
T2M,2020,-0.01,0.84,5.16,7.69,16.45,22.17,21.85,25.11,18.24,11.04,5.86,-1.95,11.07
T2M,2021,-3.16,0.7,6.27,10.83,15.13,21.25,24.72,23.76,19.61,13.47,6.56,-0.38,11.62
T2M,2022,-3.37,-2.69,5.43,11.85,16.56,22.28,24.96,24.08,19.0,11.69,8.04,-3.5,11.26
T2M,2023,-2.64,0.45,7.85,12.12,17.91,22.56,24.66,25.16,21.11,12.87,5.24,0.58,12.39
