# Area: Rwanda
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  -1.94   Longitude 29.87 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 1614.43 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M     MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,1981,21.7,21.69,20.05,19.03,18.27,17.51,17.43,19.23,19.49,19.39,19.07,19.28,19.33
T2M,1982,19.62,20.16,20.64,19.28,18.63,18.21,18.33,19.65,19.79,19.06,18.92,19.23,19.29
T2M,1983,20.01,21.14,21.28,19.76,18.9,19.13,19.21,20.53,21.26,20.05,19.89,19.41,20.04
T2M,1984,20.03,21.58,20.84,19.63,18.79,19.11,19.43,20.5,21.15,20.01,18.67,19.52,19.93
T2M,1985,20.35,19.35,19.7,18.7,17.78,17.37,17.72,19.37,20.27,19.6,18.88,19.69,19.07
T2M,1986,20.1,20.23,19.44,18.91,18.4,17.58,17.87,20.21,20.44,19.75,18.82,18.59,19.19
T2M,1987,19.41,19.87,19.68,19.31,18.31,17.39,18.25,19.62,20.64,20.55,19.57,20.36,19.41
T2M,1988,20.3,21.15,20.44,19.72,18.7,18.93,19.4,20.7,21.18,20.38,19.19,18.72,19.9
T2M,1989,19.38,20.15,20.18,18.95,18.21,17.81,18.32,20.26,20.45,20.21,20.11,19.23,19.43
T2M,1990,19.65,20.06,19.46,19.47,18.57,18.27,18.31,20.25,20.68,20.2,19.81,18.93,19.47
T2M,1991,20.54,21.06,20.96,19.25,18.84,19.02,18.65,20.48,21.54,19.99,19.9,20.51,20.05
T2M,1992,21.71,22.13,22.89,20.62,19.51,19.85,20.11,20.97,21.09,21.48,20.26,19.72,20.86
T2M,1993,19.83,20.95,20.81,20.57,19.64,19.92,19.61,20.71,22.21,21.73,20.48,20.54,20.58
T2M,1994,21.4,21.21,20.65,19.96,19.68,20.11,19.79,21.26,21.43,20.05,19.47,19.65,20.38
T2M,1995,20.93,21.16,20.46,19.66,18.83,19.37,19.35,20.6,21.02,20.12,20.18,19.64,20.1
T2M,1996,20.27,20.42,20.39,19.31,18.59,18.05,18.73,19.43,19.51,19.68,19.07,19.86,19.44
T2M,1997,20.23,21.5,20.81,19.08,18.17,18.3,18.09,19.89,21.14,19.76,19.11,19.27,19.6
T2M,1998,20.13,21.14,21.5,20.77,20.01,19.75,19.99,21.73,21.47,21.18,20.86,21.4,20.83
T2M,1999,20.56,23.43,21.01,20.15,20.64,21.03,20.62,20.73,21.72,21.94,19.61,20.14,20.95
T2M,2000,21.84,22.25,20.92,19.55,19.87,19.51,19.79,20.8,21.63,20.31,19.33,19.65,20.45
T2M,2001,19.76,20.9,20.57,19.77,19.5,19.54,19.66,20.2,20.93,20.29,19.69,20.68,20.12
T2M,2002,20.02,21.44,20.52,19.88,20.26,20.95,21.39,20.9,21.5,20.21,19.54,19.95,20.54
T2M,2003,20.75,22.17,22.12,20.5,19.21,19.55,18.73,20.28,20.45,20.49,19.74,19.95,20.32
T2M,2004,20.27,20.92,20.15,19.32,18.95,17.76,18.29,19.9,19.92,19.83,19.15,19.51,19.49
T2M,2005,19.9,21.07,20.2,19.93,19.13,19.24,18.93,20.49,20.93,20.26,20.07,21.07,20.09
T2M,2006,21.76,21.54,19.84,19.41,19.27,19.08,19.5,20.29,20.87,21.0,19.37,19.46,20.11
T2M,2007,20.17,19.95,19.72,19.59,18.71,17.68,17.87,19.06,19.57,19.54,19.26,19.23,19.19
T2M,2008,19.77,19.4,19.17,18.76,18.62,17.14,17.52,19.13,19.68,19.4,19.76,19.82,19.01
T2M,2009,19.87,19.36,19.66,18.71,18.52,18.46,18.0,20.11,20.7,20.05,19.35,19.4,19.35
T2M,2010,19.96,20.36,19.87,19.53,19.19,18.64,18.72,20.2,20.39,20.69,19.46,18.96,19.66
T2M,2011,19.84,20.59,20.07,18.98,19.12,19.12,19.42,19.92,19.54,18.81,19.07,19.21,19.47
T2M,2012,20.34,20.36,20.23,19.47,18.78,18.13,18.82,19.81,20.07,20.14,18.86,18.91,19.49
T2M,2013,20.18,20.53,20.07,19.31,19.04,18.5,19.21,19.98,20.47,20.44,19.61,19.76,19.76
