# Area: Suriname
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  3.92   Longitude -56.03 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 218.9 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M     MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,1981,24.61,24.71,26.45,25.76,24.59,23.9,23.71,24.39,25.37,26.8,27.67,26.29,25.36
T2M,1982,24.96,24.96,24.96,24.13,24.32,23.99,23.72,24.1,26.48,27.79,27.78,26.23,25.28
T2M,1983,25.8,26.82,26.03,24.8,24.82,24.42,24.05,25.13,27.05,28.44,28.24,25.3,25.9
T2M,1984,23.89,23.78,25.24,25.28,24.05,23.84,23.46,23.88,23.84,23.92,24.09,23.67,24.08
T2M,1985,22.94,22.86,24.28,24.81,24.23,23.67,23.49,23.62,24.03,24.11,24.64,24.09,23.9
T2M,1986,23.75,23.82,24.04,25.46,24.82,23.76,23.3,23.71,24.68,26.33,25.97,24.66,24.53
T2M,1987,25.09,25.45,26.37,26.09,24.64,24.35,24.25,24.45,25.59,27.06,27.2,26.32,25.57
T2M,1988,25.05,25.1,26.55,27.14,25.0,23.9,23.85,24.56,24.55,24.43,24.63,23.7,24.87
T2M,1989,23.48,23.54,23.45,23.97,23.99,24.02,23.82,24.17,24.18,24.63,24.52,23.94,23.98
T2M,1990,23.78,23.63,24.09,24.63,24.3,24.16,23.93,23.98,24.54,25.5,25.49,25.03,24.43
T2M,1991,24.11,25.54,25.4,24.74,24.67,24.14,24.03,24.01,24.22,23.91,25.54,25.98,24.68
T2M,1992,25.17,24.93,24.48,25.05,25.19,24.64,24.38,25.64,27.88,29.67,27.04,25.73,25.82
T2M,1993,24.87,25.18,24.56,24.59,24.7,24.32,24.3,24.33,25.72,26.81,25.66,25.22,25.02
T2M,1994,25.15,24.62,25.11,24.31,24.33,23.99,23.88,24.42,24.67,24.67,25.34,25.28,24.65
T2M,1995,25.27,26.03,25.41,26.62,24.56,24.44,24.44,24.82,25.09,27.0,26.63,26.31,25.55
T2M,1996,24.54,24.16,24.34,25.31,24.28,24.1,23.96,24.53,24.72,25.51,26.03,26.1,24.8
T2M,1997,24.69,23.86,24.51,25.42,24.46,24.49,24.57,25.51,28.32,29.73,28.98,26.75,25.95
T2M,1998,25.56,26.6,27.53,26.18,25.43,24.82,24.82,26.02,27.46,28.14,27.6,26.11,26.35
T2M,1999,24.45,24.65,24.86,24.39,24.28,23.89,24.11,24.01,24.62,24.54,25.67,26.13,24.63
T2M,2000,24.09,23.53,24.01,23.91,24.05,24.16,23.92,24.38,24.65,25.19,26.19,25.65,24.48
T2M,2001,23.75,24.43,25.63,25.44,24.68,23.83,24.04,24.54,25.17,27.4,27.58,27.32,25.32
T2M,2002,25.95,25.4,24.86,24.32,24.47,24.23,24.45,24.55,25.05,26.86,26.95,25.78,25.24
T2M,2003,26.23,26.4,27.08,25.69,24.51,24.4,24.21,24.61,24.95,26.29,26.75,26.89,25.66
T2M,2004,26.47,25.91,25.23,25.01,24.66,24.03,24.2,24.64,25.2,26.64,28.17,27.37,25.63
T2M,2005,25.74,24.92,24.64,24.99,24.93,24.75,24.53,24.86,24.9,27.0,27.43,25.37,25.34
T2M,2006,24.64,24.81,25.45,25.34,24.56,24.4,24.95,25.93,27.92,28.9,27.87,26.65,25.96
T2M,2007,25.81,26.58,26.04,25.57,24.94,24.15,24.5,24.73,25.08,25.12,26.32,24.03,25.23
T2M,2008,23.9,23.94,23.52,24.35,24.18,24.17,24.18,24.9,24.96,25.81,27.58,24.78,24.69
T2M,2009,24.25,23.88,24.47,24.85,25.8,24.7,25.07,27.44,29.37,28.76,28.51,25.99,26.1
T2M,2010,26.11,26.87,26.89,25.76,24.98,24.82,24.45,24.86,25.06,25.19,25.09,24.83,25.4
T2M,2011,24.55,24.32,24.01,24.3,24.67,24.57,24.46,24.92,25.13,25.18,25.22,25.82,24.77
T2M,2012,24.51,23.91,24.33,24.73,24.39,24.46,24.47,24.8,26.12,28.67,28.42,26.47,25.44
T2M,2013,25.85,24.76,25.2,25.11,24.41,24.4,24.27,24.73,24.98,24.69,24.62,24.38,24.78
T2M,2014,23.93,24.25,25.44,25.64,25.73,24.82,24.38,24.61,25.74,28.24,26.99,25.69,25.46
T2M,2015,24.46,24.42,24.74,24.96,24.71,24.44,24.55,25.03,25.23,27.36,27.84,25.88,25.31
T2M,2016,26.65,26.14,27.1,26.31,25.06,24.56,24.83,25.04,25.25,26.72,27.73,25.31,25.89
T2M,2017,24.38,24.25,24.54,25.1,25.15,24.75,24.86,25.46,25.86,27.0,27.29,25.35,25.34
T2M,2018,24.9,24.92,26.6,24.85,24.34,24.56,24.45,24.85,25.22,27.28,27.06,25.2,25.36
T2M,2019,25.53,26.51,28.52,26.96,25.3,24.92,24.7,25.32,26.98,28.07,27.88,26.35,26.42
T2M,2020,26.46,27.19,28.32,27.58,27.27,25.66,24.85,25.42,26.49,28.11,26.65,25.02,26.58
T2M,2021,24.42,24.77,24.72,24.69,24.54,24.57,24.35,24.98,24.99,25.24,24.89,24.68,24.74
T2M,2022,24.12,24.55,24.4,24.54,24.61,24.19,24.76,24.93,25.41,25.47,24.74,24.29,24.67
T2M,2023,23.66,24.02,24.55,25.64,25.14,24.98,25.24,25.83,28.35,30.09,28.89,27.57,26.17
