# Area: Sweden
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  60.13   Longitude 18.64 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 16.53 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M     MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,1981,-3.53,-2.79,-2.46,2.54,9.56,12.39,16.22,14.95,11.8,6.34,1.31,-5.18,5.14
T2M,1982,-7.58,-5.56,0.06,3.23,8.27,11.33,16.21,16.55,11.92,6.84,3.66,-0.35,5.45
T2M,1983,-0.18,-3.57,-0.62,3.23,8.94,12.85,16.9,16.65,11.99,6.65,1.0,-1.77,6.07
T2M,1984,-2.76,-2.95,-2.67,3.8,9.5,13.1,15.58,16.25,11.02,8.12,3.46,0.05,6.07
T2M,1985,-7.82,-11.39,-2.67,0.52,6.75,11.74,15.65,15.58,10.13,6.77,0.21,-5.25,3.45
T2M,1986,-4.67,-9.29,-0.21,1.77,10.26,14.65,16.36,13.55,8.53,6.71,4.24,-1.66,5.11
T2M,1987,-12.08,-6.0,-5.14,2.74,6.14,10.78,15.35,12.98,10.4,8.02,2.17,-2.46,3.62
T2M,1988,-0.36,-1.02,-1.75,2.62,9.43,13.7,18.37,14.97,12.91,6.01,-0.71,-3.14,5.94
T2M,1989,1.27,1.75,2.23,4.07,10.33,14.28,17.35,15.4,12.78,7.32,2.18,-3.13,7.18
T2M,1990,-0.82,2.69,2.96,5.45,9.74,13.5,15.52,16.58,10.57,7.1,1.04,-0.1,7.05
T2M,1991,-1.62,-2.84,0.95,3.87,6.88,11.16,17.19,17.62,11.56,7.03,3.09,-0.07,6.3
T2M,1992,-0.36,-0.69,1.59,2.07,10.63,15.9,16.41,15.29,11.39,3.93,1.67,0.45,6.55
T2M,1993,-0.76,-1.08,0.36,3.91,10.38,11.14,15.71,13.76,8.77,5.17,0.36,-1.19,5.59
T2M,1994,-3.41,-7.99,-1.42,4.18,7.11,12.14,19.32,16.78,11.8,5.36,1.87,0.7,5.63
T2M,1995,-2.89,-0.98,0.62,2.34,6.7,13.36,15.44,16.24,11.76,8.4,-0.63,-6.3,5.38
T2M,1996,-5.14,-7.92,-2.27,3.24,6.09,12.81,14.67,18.05,10.38,7.42,2.33,-3.62,4.71
T2M,1997,-3.51,-1.31,0.48,1.93,6.96,13.98,17.97,19.92,12.57,4.39,1.5,-1.64,6.15
T2M,1998,-1.36,-0.75,-0.59,2.7,7.95,11.78,15.27,13.97,12.2,6.23,-0.32,-1.51,5.5
T2M,1999,-2.38,-2.54,0.35,4.79,7.66,14.62,17.71,16.31,15.09,7.57,3.93,-1.66,6.83
T2M,2000,-0.84,-1.0,0.55,4.63,9.39,12.59,14.99,15.38,11.66,9.73,5.88,2.13,7.12
T2M,2001,-1.67,-3.63,-1.38,4.13,8.48,12.95,18.56,16.48,12.24,9.17,2.21,-1.58,6.39
T2M,2002,-2.68,0.43,1.22,4.99,9.95,15.91,18.14,20.03,13.04,3.97,0.51,-3.89,6.83
T2M,2003,-3.5,-4.59,1.11,2.89,9.25,13.49,19.07,16.85,12.98,5.03,3.3,0.07,6.4
T2M,2004,-3.85,-2.02,0.27,4.33,8.22,12.54,16.08,17.45,12.87,7.28,1.52,0.11,6.26
T2M,2005,0.25,-2.55,-2.9,4.35,8.7,13.03,18.26,16.29,13.35,8.55,4.1,-0.93,6.76
T2M,2006,-3.17,-3.36,-3.96,3.13,8.21,14.52,18.51,18.91,14.97,9.28,3.71,3.11,7.05
T2M,2007,-0.46,-3.61,2.45,5.3,9.35,14.7,16.57,17.15,11.72,7.31,1.85,0.8,7.0
T2M,2008,1.14,1.35,0.44,5.01,9.72,14.86,17.81,15.74,11.2,8.08,2.67,0.42,7.39
T2M,2009,-2.05,-2.95,-0.22,5.31,9.79,12.16,16.65,16.84,13.2,5.3,4.62,-1.62,6.47
T2M,2010,-6.6,-6.56,-2.57,3.59,8.72,13.35,19.99,16.72,11.85,5.89,0.11,-6.15,4.93
