# Area: Tonga
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  -21.18   Longitude -175.2 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 2.34 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M     MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,1981,26.25,26.64,26.73,25.39,24.41,23.72,22.29,22.16,21.93,22.4,24.5,26.37,24.39
T2M,1982,26.45,26.65,26.07,25.74,24.54,23.38,22.19,21.23,21.09,22.11,23.47,24.0,23.89
T2M,1983,24.91,25.64,26.31,25.41,23.85,23.55,22.19,21.73,22.2,22.65,23.86,25.25,23.95
T2M,1984,26.19,27.17,26.32,25.98,25.15,23.5,22.38,22.57,22.96,21.93,23.29,25.64,24.41
T2M,1985,25.8,27.01,26.37,25.35,23.54,22.51,22.07,22.09,21.89,22.86,23.52,24.81,23.97
T2M,1986,25.03,25.84,26.36,25.03,23.26,23.33,21.64,20.95,21.51,22.87,23.69,24.81,23.68
T2M,1987,26.26,26.48,25.59,25.28,22.97,22.27,21.64,21.21,21.27,22.65,23.96,25.89,23.77
T2M,1988,26.59,27.55,27.39,26.31,25.19,24.14,22.88,22.62,23.49,23.91,24.29,25.0,24.94
T2M,1989,26.18,26.06,26.19,25.49,24.89,23.73,22.51,22.0,22.92,23.62,24.62,24.29,24.36
T2M,1990,26.06,26.0,26.01,24.52,24.36,23.38,22.41,22.62,22.49,22.83,24.19,24.95,24.14
T2M,1991,25.31,26.31,26.49,25.8,23.92,23.22,22.69,22.42,21.81,22.88,23.96,25.19,24.15
T2M,1992,25.4,26.22,26.07,24.39,23.58,23.79,22.56,22.11,23.27,23.27,23.72,25.07,24.11
T2M,1993,24.43,26.12,26.12,24.98,23.75,22.98,21.38,21.22,21.25,21.97,24.68,25.85,23.71
T2M,1994,26.29,26.99,26.07,25.14,23.03,21.94,21.45,21.77,21.02,22.48,24.21,25.09,23.77
T2M,1995,25.27,26.36,26.56,25.65,23.66,23.12,22.84,22.1,22.24,23.39,24.62,25.94,24.3
T2M,1996,26.25,26.46,26.65,26.29,24.25,23.25,22.9,22.04,23.09,23.03,24.26,26.17,24.55
T2M,1997,26.91,26.91,26.68,25.3,23.97,22.75,21.74,21.15,21.31,22.47,23.85,25.31,24.01
T2M,1998,25.65,25.86,26.01,25.64,24.3,24.0,22.54,22.95,22.5,23.56,25.69,26.57,24.6
T2M,1999,25.76,26.48,26.63,26.42,24.0,23.33,23.23,22.16,22.43,23.4,24.82,25.6,24.51
T2M,2000,26.9,27.37,27.47,26.52,25.25,23.56,22.29,22.01,22.38,22.84,24.56,25.48,24.71
T2M,2001,26.91,27.31,26.08,26.05,24.78,23.54,22.22,22.64,22.75,23.48,24.78,25.42,24.65
T2M,2002,26.36,27.41,27.21,26.75,24.85,24.16,22.94,21.81,22.55,22.73,23.27,25.08,24.57
T2M,2003,26.75,26.46,26.51,25.96,25.32,23.26,22.57,21.31,22.58,22.86,23.95,25.56,24.41
T2M,2004,25.59,27.44,27.18,26.13,24.8,24.01,23.07,21.92,22.07,23.14,23.7,25.81,24.56
T2M,2005,27.09,27.35,26.57,25.84,24.91,23.16,22.22,22.04,23.01,24.54,25.03,26.26,24.82
T2M,2006,26.83,27.02,27.67,27.32,24.83,23.5,22.22,22.47,22.91,22.73,24.49,24.7,24.71
T2M,2007,25.94,26.51,26.87,26.13,25.34,24.13,23.51,22.96,23.68,24.59,24.97,25.6,25.01
T2M,2008,26.07,26.61,26.71,26.31,24.44,23.79,22.6,23.2,23.43,23.71,25.17,26.33,24.86
T2M,2009,26.77,27.22,27.14,25.74,24.01,22.51,22.45,21.97,21.87,21.94,22.94,23.81,24.01
T2M,2010,25.74,26.09,26.65,26.02,25.07,24.61,23.35,23.64,24.01,24.13,24.17,25.81,24.93
T2M,2011,26.21,26.77,27.1,26.52,25.69,24.73,24.0,23.27,22.68,24.44,25.04,26.07,25.2
T2M,2012,26.59,26.45,26.89,26.55,24.42,23.47,22.45,22.53,23.18,24.05,24.41,26.22,24.76
T2M,2013,26.78,27.04,26.81,26.03,25.63,24.48,23.44,22.98,23.43,23.69,25.32,26.51,25.17
T2M,2014,27.38,27.72,27.18,25.77,24.64,23.51,22.45,21.78,22.75,23.17,24.3,24.76,24.6
T2M,2015,25.69,27.54,27.33,25.26,24.13,23.07,21.86,21.52,21.77,22.41,23.8,24.87,24.08
T2M,2016,26.5,27.15,26.08,25.37,24.89,24.57,23.41,22.78,22.83,24.01,25.09,25.48,24.84
T2M,2017,26.96,26.84,26.73,26.85,25.3,23.66,22.41,22.79,22.7,24.35,25.27,25.14,24.9
T2M,2018,26.74,27.31,26.82,25.85,24.49,24.13,23.03,22.65,23.22,23.84,24.33,26.01,24.85
T2M,2019,26.27,27.09,26.34,26.2,24.31,23.84,23.28,22.79,22.77,23.6,23.93,26.25,24.71
T2M,2020,26.64,27.05,26.8,25.63,24.96,24.45,23.39,23.53,23.14,23.81,24.87,25.91,25.01
T2M,2021,26.79,26.6,26.63,25.82,24.98,23.92,23.61,22.19,23.47,24.03,25.59,26.38,24.99
T2M,2022,27.34,27.17,27.02,26.68,25.21,24.76,23.98,23.7,24.18,24.61,25.58,26.81,25.58
T2M,2023,27.71,27.65,26.94,26.51,25.17,23.38,22.42,22.13,23.05,22.74,24.9,26.29,24.89
