# Area: Tuvalu
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  -8.52   Longitude 179.2 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 0.0 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M     MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,1981,28.16,28.03,28.38,27.87,28.32,28.15,27.92,27.44,28.13,27.79,28.22,28.5,28.08
T2M,1982,28.28,28.19,27.97,28.23,28.47,28.82,28.25,27.6,27.64,27.94,28.16,28.21,28.15
T2M,1983,28.56,28.02,27.54,27.52,27.91,27.82,27.43,27.25,27.72,27.71,27.82,27.9,27.77
T2M,1984,27.87,27.99,27.5,27.86,27.95,27.85,27.75,27.45,27.56,27.48,27.61,27.41,27.69
T2M,1985,27.17,27.76,27.14,27.41,27.5,27.61,27.33,27.67,27.82,27.77,27.74,27.88,27.56
T2M,1986,28.13,27.69,28.39,27.84,28.01,28.1,27.58,27.29,27.87,28.07,28.08,28.02,27.92
T2M,1987,27.78,28.1,27.43,27.86,27.46,27.65,27.48,27.31,27.86,28.05,28.23,28.52,27.81
T2M,1988,28.25,28.19,28.62,27.95,27.94,27.87,27.61,27.82,27.99,27.73,27.63,27.75,27.95
T2M,1989,27.1,27.34,27.24,27.42,27.87,27.58,27.51,27.35,27.65,27.67,27.88,27.97,27.55
T2M,1990,28.21,27.73,27.75,27.85,28.33,28.1,27.75,27.89,28.18,28.26,28.57,28.19,28.07
T2M,1991,28.39,28.43,28.12,28.33,28.63,28.71,27.96,28.11,27.81,27.83,28.13,28.14,28.21
T2M,1992,27.87,27.87,28.03,28.03,28.11,28.3,28.06,27.76,28.02,28.15,28.25,28.62,28.09
T2M,1993,28.29,27.78,27.58,27.77,27.83,28.21,27.69,27.5,27.94,27.93,28.06,28.14,27.89
T2M,1994,27.93,28.02,28.48,28.23,28.49,28.26,27.94,27.93,28.07,28.25,28.08,28.76,28.21
T2M,1995,28.11,28.14,28.02,28.05,28.19,28.58,28.11,28.29,28.34,27.97,28.22,28.15,28.18
T2M,1996,28.18,28.03,27.7,27.64,27.91,28.03,28.02,27.73,27.93,28.02,28.15,27.9,27.94
T2M,1997,27.85,28.35,27.72,27.99,28.36,27.7,27.76,27.7,27.99,28.25,28.6,28.53,28.06
T2M,1998,28.12,28.12,27.85,28.15,28.34,28.0,27.55,27.71,27.78,27.87,28.05,28.09,27.97
T2M,1999,27.82,27.45,27.56,27.7,28.01,27.69,27.97,27.83,27.71,27.92,27.96,28.02,27.81
T2M,2000,27.86,28.05,27.54,27.69,27.84,28.05,27.85,27.72,27.92,27.73,28.28,28.19,27.89
T2M,2001,28.41,28.07,27.81,27.87,28.09,28.12,28.26,28.04,28.25,28.27,28.7,28.31,28.18
T2M,2002,28.37,28.53,28.23,28.48,28.62,28.9,28.23,28.15,28.34,28.32,28.85,28.56,28.46
T2M,2003,28.35,28.42,28.65,28.6,28.62,28.31,28.48,28.19,28.41,28.36,28.62,28.99,28.5
T2M,2004,28.86,28.67,28.38,28.26,28.55,28.45,28.39,28.54,28.42,28.62,28.46,28.42,28.5
T2M,2005,28.9,29.03,28.94,28.5,29.01,28.84,28.6,28.3,28.7,28.66,28.7,28.61,28.73
T2M,2006,28.64,28.08,27.67,28.3,28.51,28.46,28.3,28.3,28.59,28.65,28.47,28.84,28.4
T2M,2007,28.98,28.33,28.17,28.38,28.2,28.98,28.53,28.4,28.42,28.13,28.41,28.0,28.41
T2M,2008,27.89,27.68,27.56,28.03,28.07,28.15,28.0,27.96,28.0,28.28,28.11,28.35,28.01
T2M,2009,28.22,28.24,27.94,28.31,28.23,28.37,28.48,28.22,28.56,28.38,28.61,28.38,28.33
T2M,2010,29.01,28.49,28.48,28.85,29.1,28.82,28.46,28.29,28.08,27.86,27.86,27.83,28.43
