# Area: Vanuatu
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  -15.38   Longitude 166.96 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 165.41 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M     MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,1981,27.96,27.57,27.67,26.97,26.0,25.29,24.69,24.24,24.83,26.13,27.42,27.84,26.38
T2M,1982,27.32,27.04,26.99,26.7,25.81,24.39,23.7,23.53,23.83,24.84,26.03,27.11,25.6
T2M,1983,27.79,27.31,27.58,27.17,25.99,25.27,23.8,24.09,24.8,25.77,26.51,26.61,26.05
T2M,1984,27.19,26.97,26.98,26.38,25.61,24.48,24.39,24.76,25.17,25.42,25.93,27.21,25.87
T2M,1985,27.11,27.04,26.79,26.7,25.05,24.35,23.96,23.87,24.7,25.77,26.38,26.88,25.71
T2M,1986,27.39,26.74,26.5,25.95,25.14,24.33,23.02,23.35,24.09,25.42,26.23,26.08,25.34
T2M,1987,27.16,26.78,26.23,25.23,24.92,23.84,23.33,23.57,24.23,25.47,26.01,27.18,25.32
T2M,1988,27.02,27.61,26.73,26.38,26.06,25.21,24.44,25.0,25.17,25.16,26.21,26.14,25.92
T2M,1989,26.69,26.65,26.47,25.91,25.25,24.84,24.19,24.49,25.07,25.34,25.8,26.38,25.58
T2M,1990,27.06,27.25,26.63,25.88,25.66,24.59,24.42,24.54,24.61,25.63,26.49,26.3,25.75
T2M,1991,26.63,27.0,26.74,26.45,25.0,24.07,23.99,24.26,23.99,24.57,25.28,26.3,25.35
T2M,1992,26.36,27.39,26.51,25.93,24.49,24.69,23.83,23.43,24.43,24.42,26.87,27.26,25.46
T2M,1993,26.6,26.66,26.79,25.86,24.68,24.12,23.79,22.73,23.53,24.54,26.73,27.48,25.28
T2M,1994,27.05,26.78,26.84,26.25,25.33,23.92,22.83,23.8,23.23,24.54,25.92,26.17,25.21
T2M,1995,27.13,27.25,27.03,27.09,24.98,24.22,24.3,24.09,24.9,25.95,26.38,26.83,25.84
T2M,1996,26.83,27.52,27.09,26.66,24.92,24.51,24.72,23.62,25.09,25.41,26.18,27.05,25.79
T2M,1997,27.05,27.13,27.39,25.87,25.62,24.29,23.76,22.76,23.61,24.5,26.09,27.5,25.46
