Crop,RMSPE (%),MAPE (%),RMSE,R²
Sweet potatoes,11.732188406866689,7.256574588702977,19601.54055323934,0.9421752148274076
Potatoes,12.226451070527904,7.0987432902033145,22178.784868786006,0.9462873172993665
Wheat,14.908065056796199,8.507848531617608,4038.311591263247,0.9522948767976298
Maize,17.42994289005184,9.126884569732226,7010.20500484218,0.9469529690532406
"Rice, paddy",17.83833469665613,7.8861761485821305,5044.248650654155,0.9406183359201794
Yams,19.97476362132279,9.02665166844105,15527.708675495891,0.918275360788295
Cassava,21.30295465756525,9.843222113290471,19045.360042716806,0.9727704051847724
Soybeans,22.053746940713907,10.71614030239771,2258.16976452418,0.9309833703614286
Plantains and others,25.55350463963898,12.776703732656,29951.181538954268,0.7752157408130207
Sorghum,72.23893984759046,23.272875373005604,9877.66864118285,0.7508246109523462
