Crop,RMSPE (%),MAPE (%),RMSE,R²
Sweet potatoes,18.90631188176806,13.793718865344982,31481.557251268776,0.8582349856784212
Wheat,20.420571155709492,13.786286989659951,5754.651002250298,0.9242166609721753
Yams,21.93453435361139,13.929295663996513,22934.84639443761,0.7823216671294888
Potatoes,22.208151152330124,13.285845647951728,32181.197602593475,0.9063009454924768
Maize,25.202837385775283,17.022172372902943,11049.657561869226,0.8923956665955716
Plantains and others,35.8727078531624,18.103362940799215,44820.152151314694,0.5138150323925446
Soybeans,37.9907986996386,22.036470909338554,3745.167241770528,0.7952341155026809
"Rice, paddy",38.68308466119253,17.83051323104039,10271.030679376714,0.7623791657041565
Cassava,40.77960597478694,20.832697475490974,29784.46485917735,0.8371992572024246
Sorghum,101.90719564561586,39.290122342369266,12409.16468879877,0.679079910014852
