# Area: Cameroon
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  7.37   Longitude 12.35 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 942.78 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PRECTOTCORR_SUM     MERRA-2 Precipitation Corrected Sum (mm/day) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PRECTOTCORR_SUM,1981,0.04,0.95,15.22,132.61,192.17,257.5,416.65,206.38,386.55,264.29,47.26,2.68,1922.3
PRECTOTCORR_SUM,1982,17.38,65.44,131.79,67.59,386.29,341.47,341.5,534.9,654.18,302.87,26.55,0.5,2870.46
PRECTOTCORR_SUM,1983,0.0,0.1,2.77,47.66,282.86,240.07,362.13,406.76,330.84,106.37,2.53,13.9,1795.99
PRECTOTCORR_SUM,1984,0.0,0.0,47.76,144.82,159.75,189.93,321.91,263.83,266.46,223.17,16.75,0.08,1634.46
PRECTOTCORR_SUM,1985,4.06,0.0,125.37,102.36,201.65,251.84,263.39,276.28,313.17,176.85,12.35,3.15,1730.47
PRECTOTCORR_SUM,1986,1.38,0.76,93.55,80.61,259.17,208.17,298.37,404.52,329.97,256.88,80.9,1.31,2015.59
PRECTOTCORR_SUM,1987,0.0,2.65,48.75,63.81,145.02,225.97,299.9,249.32,268.34,144.28,16.85,2.72,1467.61
PRECTOTCORR_SUM,1988,0.07,1.01,20.34,161.38,207.6,179.75,310.93,310.46,298.52,139.19,8.46,10.34,1648.05
PRECTOTCORR_SUM,1989,0.0,0.0,11.03,107.95,203.28,240.5,250.75,351.87,328.13,210.58,22.54,0.23,1726.86
PRECTOTCORR_SUM,1990,0.2,13.53,1.06,123.96,189.15,174.95,219.93,270.01,299.04,205.35,81.17,21.8,1600.15
PRECTOTCORR_SUM,1991,0.03,2.64,17.53,144.23,289.11,160.23,304.31,268.79,206.15,164.52,23.79,1.36,1582.69
PRECTOTCORR_SUM,1992,0.0,0.0,32.08,121.67,146.86,187.68,247.48,224.13,305.06,162.57,21.23,0.02,1448.78
PRECTOTCORR_SUM,1993,0.4,0.0,49.11,118.54,138.53,230.89,296.03,374.85,253.22,202.19,39.2,1.76,1704.72
PRECTOTCORR_SUM,1994,0.53,0.01,2.71,115.71,157.18,196.67,282.26,453.93,336.62,169.39,10.29,0.0,1725.3
PRECTOTCORR_SUM,1995,0.0,0.21,24.66,99.12,235.97,280.05,325.9,349.52,309.75,209.75,33.46,0.0,1868.39
PRECTOTCORR_SUM,1996,0.01,6.3,54.0,124.92,174.32,228.54,245.5,325.03,259.48,178.03,0.0,0.04,1596.17
PRECTOTCORR_SUM,1997,0.0,0.0,23.84,179.52,242.14,379.55,390.04,333.45,208.97,146.72,31.66,0.01,1935.9
PRECTOTCORR_SUM,1998,0.05,0.0,0.57,103.03,168.42,187.82,282.77,282.26,348.96,121.91,11.72,0.04,1507.55
PRECTOTCORR_SUM,1999,0.37,2.24,8.25,77.86,172.85,147.77,228.05,228.63,219.14,191.17,2.25,0.04,1278.62
PRECTOTCORR_SUM,2000,0.0,0.36,5.11,88.5,170.93,316.54,458.65,339.99,269.31,213.74,2.34,0.01,1865.48
PRECTOTCORR_SUM,2001,0.0,2.49,8.15,146.34,167.49,214.21,274.52,222.75,191.41,101.3,13.3,0.86,1342.82
PRECTOTCORR_SUM,2002,0.0,1.28,16.82,122.27,153.02,163.86,266.15,440.41,216.89,62.74,3.72,0.0,1447.16
PRECTOTCORR_SUM,2003,2.2,0.51,2.03,119.05,134.81,147.69,207.92,199.3,212.36,116.03,6.31,0.0,1148.21
PRECTOTCORR_SUM,2004,0.03,0.0,3.71,114.11,183.86,161.88,206.08,146.66,157.55,112.28,28.3,0.0,1114.46
PRECTOTCORR_SUM,2005,0.0,1.09,16.81,103.89,93.46,167.56,172.11,267.34,236.8,86.77,3.65,0.0,1149.48
PRECTOTCORR_SUM,2006,1.32,10.3,4.33,43.28,140.01,102.17,175.11,333.88,245.79,100.1,1.95,0.0,1158.24
PRECTOTCORR_SUM,2007,0.0,1.18,2.83,64.83,182.9,194.13,222.78,261.62,239.02,206.41,45.08,1.17,1421.95
PRECTOTCORR_SUM,2008,0.1,0.0,19.92,115.94,138.77,178.65,271.35,321.76,178.2,122.18,1.78,11.31,1359.96
PRECTOTCORR_SUM,2009,1.81,1.52,15.01,105.92,138.02,171.54,338.66,305.92,203.9,230.02,23.95,0.0,1536.27
PRECTOTCORR_SUM,2010,0.24,2.1,29.84,110.29,138.56,182.42,251.94,336.71,188.72,171.62,37.77,0.94,1451.15
PRECTOTCORR_SUM,2011,0.0,6.39,10.81,57.5,141.04,133.17,146.67,309.83,264.01,181.58,3.28,0.0,1254.28
PRECTOTCORR_SUM,2012,0.0,8.95,0.82,106.06,197.66,199.12,215.22,327.62,371.65,189.58,40.18,0.15,1657.01
PRECTOTCORR_SUM,2013,1.43,0.12,41.31,127.07,137.94,156.95,282.51,283.83,295.89,139.66,0.64,5.99,1473.34
PRECTOTCORR_SUM,2014,0.06,1.68,36.97,201.08,153.14,174.39,155.43,267.72,245.85,104.05,20.2,0.0,1360.57
PRECTOTCORR_SUM,2015,0.0,4.35,21.47,40.61,251.15,157.73,303.32,372.96,313.81,187.89,19.34,0.0,1672.63
PRECTOTCORR_SUM,2016,0.0,0.0,67.17,185.08,297.46,337.21,315.61,336.76,417.01,171.93,1.2,0.0,2129.43
PRECTOTCORR_SUM,2017,0.0,0.0,2.3,177.64,295.83,366.84,408.81,351.93,378.22,106.22,7.88,0.0,2095.67
PRECTOTCORR_SUM,2018,0.0,16.52,13.61,92.54,261.98,381.57,551.15,367.09,358.69,206.93,31.51,0.01,2281.6
PRECTOTCORR_SUM,2019,3.0,2.24,8.32,57.73,178.71,200.53,338.0,292.76,363.01,357.65,10.13,7.12,1819.2
PRECTOTCORR_SUM,2020,0.0,0.0,133.99,169.46,243.7,271.33,411.46,225.18,335.03,140.13,24.04,0.01,1954.33
PRECTOTCORR_SUM,2021,0.0,0.0,37.15,130.06,211.8,296.32,339.71,328.32,397.77,106.98,97.14,44.31,1989.56
PRECTOTCORR_SUM,2022,6.61,0.0,42.13,326.96,430.15,395.88,376.97,363.76,352.47,105.47,0.71,0.0,2401.11
PRECTOTCORR_SUM,2023,0.0,0.0,25.31,92.78,97.69,298.22,108.44,127.99,186.59,96.4,28.62,0.0,1062.04
