# Area: Ethiopia PDR
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  9.03   Longitude 38.74 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 2349.69 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PRECTOTCORR_SUM     MERRA-2 Precipitation Corrected Sum (mm/day) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PRECTOTCORR_SUM,1981,0.32,15.8,267.93,152.85,41.02,73.22,292.91,268.72,216.85,37.27,16.29,5.67,1388.85
PRECTOTCORR_SUM,1982,192.86,58.9,47.05,60.51,121.18,132.25,206.33,265.13,191.84,94.46,39.91,43.77,1454.19
PRECTOTCORR_SUM,1983,14.48,60.88,61.45,203.16,274.14,98.16,206.01,413.55,178.91,106.56,10.28,1.95,1629.53
PRECTOTCORR_SUM,1984,2.38,2.16,19.94,13.29,145.42,179.43,334.63,183.17,168.33,8.78,10.47,12.05,1080.05
PRECTOTCORR_SUM,1985,13.83,0.17,35.44,141.75,144.9,174.35,288.88,352.46,187.94,52.88,10.73,6.43,1409.76
PRECTOTCORR_SUM,1986,0.0,49.4,67.19,164.21,54.67,212.86,209.51,362.28,182.13,49.77,20.34,32.21,1404.57
PRECTOTCORR_SUM,1987,2.94,88.72,261.2,148.69,310.96,217.83,243.82,216.9,117.71,39.36,3.66,3.51,1655.3
PRECTOTCORR_SUM,1988,14.79,56.05,14.38,76.78,20.07,136.72,280.87,318.08,274.34,74.49,1.33,11.17,1279.07
PRECTOTCORR_SUM,1989,14.1,54.36,102.78,151.08,15.15,128.59,354.5,289.49,123.06,50.55,13.91,46.73,1344.3
PRECTOTCORR_SUM,1990,9.97,175.16,66.17,110.03,31.27,97.92,251.36,329.89,168.68,39.39,5.06,9.64,1294.54
PRECTOTCORR_SUM,1991,5.38,33.59,91.39,67.86,47.04,108.74,289.51,312.19,147.14,5.05,3.52,15.27,1126.68
PRECTOTCORR_SUM,1992,53.01,68.29,25.26,104.72,30.61,147.95,240.93,275.03,90.35,42.93,17.12,12.19,1108.39
PRECTOTCORR_SUM,1993,32.71,40.94,25.2,182.29,99.81,209.74,267.78,310.93,164.11,58.65,2.76,15.44,1410.36
PRECTOTCORR_SUM,1994,0.08,1.67,47.89,83.05,68.76,146.71,306.91,272.67,152.67,4.6,12.75,2.17,1099.93
PRECTOTCORR_SUM,1995,0.0,62.49,54.02,110.09,41.27,97.95,238.12,310.35,141.58,11.47,4.76,24.38,1096.48
PRECTOTCORR_SUM,1996,38.07,13.79,178.83,89.19,109.3,275.46,350.69,292.73,181.96,26.03,18.24,6.06,1580.35
PRECTOTCORR_SUM,1997,31.44,0.53,47.57,113.27,104.96,158.44,207.51,246.53,86.09,170.79,35.43,6.47,1209.03
PRECTOTCORR_SUM,1998,39.9,75.14,42.22,52.97,77.77,135.03,404.01,287.91,153.05,169.36,6.34,0.5,1444.2
PRECTOTCORR_SUM,1999,20.88,0.9,55.11,22.78,65.32,198.13,249.59,250.38,108.49,125.96,1.23,3.3,1102.07
PRECTOTCORR_SUM,2000,2.29,0.06,8.21,56.13,48.17,105.07,228.8,190.85,76.88,33.53,6.1,14.2,770.29
PRECTOTCORR_SUM,2001,8.26,22.08,96.98,28.49,84.82,81.08,192.56,171.2,73.31,21.13,6.04,2.5,788.45
PRECTOTCORR_SUM,2002,22.33,2.74,57.41,53.53,31.46,83.28,118.79,151.81,49.55,3.16,1.02,18.47,593.55
PRECTOTCORR_SUM,2003,12.07,13.28,56.39,52.67,10.77,75.46,137.36,199.79,76.94,0.61,7.17,36.68,679.19
PRECTOTCORR_SUM,2004,6.11,11.15,59.0,63.98,10.47,81.68,155.75,135.78,72.52,27.72,5.56,30.0,659.72
PRECTOTCORR_SUM,2005,26.08,5.07,76.39,130.35,134.29,53.33,187.47,151.74,86.9,28.2,6.55,0.01,886.38
PRECTOTCORR_SUM,2006,8.78,73.52,118.29,93.69,59.01,145.12,316.24,221.38,146.7,70.98,10.4,17.38,1281.49
PRECTOTCORR_SUM,2007,14.53,55.37,79.82,76.14,151.29,114.3,237.5,232.8,175.95,30.45,9.04,0.0,1177.19
PRECTOTCORR_SUM,2008,7.14,3.0,3.68,53.73,61.26,87.4,290.28,311.23,159.16,28.76,68.5,3.01,1077.15
PRECTOTCORR_SUM,2009,52.51,7.6,26.21,52.78,38.09,75.1,213.57,203.83,97.27,79.89,4.87,52.56,904.28
PRECTOTCORR_SUM,2010,2.18,90.34,79.19,136.53,119.75,172.48,267.79,239.51,191.04,15.95,22.42,12.94,1350.12
PRECTOTCORR_SUM,2011,4.93,9.38,65.82,56.91,100.17,122.4,142.09,136.47,86.15,5.49,24.63,1.11,755.55
PRECTOTCORR_SUM,2012,0.46,0.02,14.96,114.24,28.29,86.29,330.68,353.82,173.53,4.07,0.06,11.35,1117.77
PRECTOTCORR_SUM,2013,25.88,3.17,76.18,182.54,107.03,166.81,319.57,242.3,160.36,79.64,34.85,0.21,1398.54
PRECTOTCORR_SUM,2014,2.47,34.87,56.95,85.19,137.4,99.75,226.86,208.72,167.82,79.32,16.98,30.3,1146.63
PRECTOTCORR_SUM,2015,3.94,8.44,19.36,7.19,142.41,157.22,234.5,282.17,77.11,8.17,17.87,28.07,986.45
PRECTOTCORR_SUM,2016,31.52,20.02,44.05,122.11,166.39,102.26,237.65,297.67,194.85,46.65,6.98,2.15,1272.3
PRECTOTCORR_SUM,2017,0.0,108.13,64.11,24.86,149.11,80.77,322.16,299.03,251.51,39.13,8.88,1.45,1349.14
PRECTOTCORR_SUM,2018,1.09,45.26,15.67,126.1,68.85,187.01,215.66,326.45,57.44,26.64,26.91,1.34,1098.42
PRECTOTCORR_SUM,2019,0.0,11.37,57.95,134.25,35.92,163.53,212.54,309.9,370.32,28.52,34.7,10.05,1369.05
PRECTOTCORR_SUM,2020,2.35,9.79,46.5,199.14,135.43,186.27,429.02,446.65,228.31,54.37,5.28,3.55,1746.66
PRECTOTCORR_SUM,2021,34.85,25.91,7.09,93.82,101.0,144.42,212.21,311.78,171.62,75.71,52.6,27.19,1258.2
PRECTOTCORR_SUM,2022,31.95,27.16,27.68,98.02,7.57,174.38,282.35,203.33,138.0,63.64,7.77,18.52,1080.37
PRECTOTCORR_SUM,2023,2.47,7.66,91.51,216.1,139.75,166.0,303.85,262.11,118.21,58.64,39.5,8.41,1414.21
