# Area: Fiji
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  -17.71   Longitude 178.07 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 212.73 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PRECTOTCORR_SUM     MERRA-2 Precipitation Corrected Sum (mm/day) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PRECTOTCORR_SUM,1981,277.28,258.56,105.5,194.9,176.22,52.17,41.06,73.55,83.5,177.04,116.66,158.13,1714.57
PRECTOTCORR_SUM,1982,532.46,184.17,179.38,189.64,174.39,138.84,170.93,215.76,52.15,117.29,223.18,111.24,2289.43
PRECTOTCORR_SUM,1983,134.17,223.98,226.7,32.72,45.27,36.21,36.72,112.26,60.63,87.09,200.96,411.23,1607.94
PRECTOTCORR_SUM,1984,211.89,175.58,384.16,215.57,212.44,137.93,44.84,54.52,51.29,52.76,193.53,116.42,1850.93
PRECTOTCORR_SUM,1985,135.05,250.37,418.82,123.14,106.73,126.4,191.37,66.62,59.94,158.51,112.72,79.03,1828.7
PRECTOTCORR_SUM,1986,180.4,188.64,226.57,542.05,114.92,112.32,12.38,73.74,53.42,42.59,96.85,432.23,2076.11
PRECTOTCORR_SUM,1987,27.35,250.93,196.3,120.15,94.24,42.81,45.34,30.82,27.12,28.42,142.93,242.34,1248.75
PRECTOTCORR_SUM,1988,214.82,258.9,208.7,257.46,206.9,106.65,70.61,35.36,59.67,120.84,115.55,400.99,2056.45
PRECTOTCORR_SUM,1989,143.08,446.71,204.61,305.68,204.48,54.92,43.15,41.07,66.66,121.13,81.29,83.22,1796.0
PRECTOTCORR_SUM,1990,219.72,68.35,383.57,159.39,84.86,133.48,91.56,97.43,116.59,110.48,271.21,201.92,1938.56
PRECTOTCORR_SUM,1991,352.38,260.13,239.72,93.71,81.53,57.59,67.1,94.48,120.39,92.04,148.57,89.03,1696.67
PRECTOTCORR_SUM,1992,174.95,101.48,152.55,216.39,122.0,80.74,74.07,44.19,48.65,104.01,91.48,331.3,1541.81
PRECTOTCORR_SUM,1993,218.07,203.49,282.51,170.25,153.17,46.19,91.76,154.54,51.29,39.22,82.69,172.01,1665.19
PRECTOTCORR_SUM,1994,299.33,235.63,255.21,79.32,114.31,123.5,46.88,33.35,68.23,29.89,117.92,139.03,1542.6
PRECTOTCORR_SUM,1995,250.58,153.63,259.33,209.32,87.12,67.18,73.14,51.0,112.21,58.85,86.84,63.44,1472.64
PRECTOTCORR_SUM,1996,309.31,241.93,263.5,99.03,201.5,232.16,58.51,37.67,95.46,66.52,196.75,200.49,2002.83
PRECTOTCORR_SUM,1997,369.49,184.09,289.26,294.3,270.91,39.23,61.37,99.95,97.21,107.91,38.91,43.44,1896.07
PRECTOTCORR_SUM,1998,192.73,47.63,129.81,27.74,84.78,48.52,27.6,30.48,112.5,75.85,181.29,166.04,1124.97
PRECTOTCORR_SUM,1999,380.46,370.29,158.22,270.3,125.77,104.07,70.24,124.85,157.89,168.55,213.54,281.35,2425.53
PRECTOTCORR_SUM,2000,309.78,261.24,265.87,317.19,268.87,107.57,113.56,69.71,116.86,205.95,166.51,409.64,2612.75
PRECTOTCORR_SUM,2001,295.04,221.85,259.5,193.57,89.36,72.26,94.52,137.71,87.54,165.13,99.94,180.14,1896.56
PRECTOTCORR_SUM,2002,288.62,277.08,196.29,295.66,154.01,40.34,136.63,102.81,125.83,88.96,171.89,108.97,1987.09
PRECTOTCORR_SUM,2003,307.07,87.76,229.47,204.75,159.34,48.38,56.28,51.78,31.98,67.8,113.54,200.12,1558.27
PRECTOTCORR_SUM,2004,73.1,298.32,238.83,201.34,57.15,171.91,105.37,179.98,77.6,45.83,60.83,97.55,1607.81
PRECTOTCORR_SUM,2005,221.52,102.95,218.31,292.92,55.66,161.15,102.52,83.36,100.96,144.04,166.58,145.93,1795.9
PRECTOTCORR_SUM,2006,285.75,266.61,111.56,104.04,125.73,94.54,49.2,78.45,128.66,154.18,88.24,158.03,1644.99
PRECTOTCORR_SUM,2007,78.4,335.99,393.71,178.21,91.55,35.54,75.19,51.46,198.16,187.87,255.24,313.24,2194.56
PRECTOTCORR_SUM,2008,571.96,274.36,265.93,181.32,258.04,205.4,47.51,38.04,60.77,90.75,189.81,183.46,2367.35
PRECTOTCORR_SUM,2009,640.35,211.88,305.81,186.83,208.35,129.13,51.44,64.08,136.95,33.58,100.65,217.39,2286.44
PRECTOTCORR_SUM,2010,57.68,79.97,245.67,257.01,114.71,77.31,50.11,18.4,23.05,242.71,398.07,241.96,1806.65
PRECTOTCORR_SUM,2011,285.12,240.99,232.46,240.55,227.39,122.7,69.44,56.56,71.75,148.71,303.73,196.65,2196.05
PRECTOTCORR_SUM,2012,416.36,392.6,350.61,371.98,96.33,126.22,65.52,54.43,129.95,143.49,152.53,226.98,2527.0
PRECTOTCORR_SUM,2013,148.95,349.09,451.53,158.8,144.46,92.78,71.57,54.02,88.73,138.46,160.67,220.16,2079.22
PRECTOTCORR_SUM,2014,226.7,265.26,185.43,158.1,144.57,38.28,42.0,34.34,25.29,137.44,86.28,203.05,1546.74
PRECTOTCORR_SUM,2015,255.72,307.25,161.08,73.91,51.27,36.39,22.76,62.73,77.9,44.5,31.22,260.98,1385.71
PRECTOTCORR_SUM,2016,103.14,277.7,164.53,365.49,64.79,33.59,45.33,185.0,12.91,173.07,82.82,387.2,1895.57
PRECTOTCORR_SUM,2017,199.0,548.72,316.36,100.28,113.45,40.71,28.2,65.35,36.16,72.09,230.31,278.44,2029.07
PRECTOTCORR_SUM,2018,242.86,334.18,351.41,358.25,80.17,60.41,26.4,13.01,56.72,272.27,96.26,178.91,2070.85
PRECTOTCORR_SUM,2019,511.77,210.81,370.63,316.8,36.54,99.77,78.92,35.51,80.86,205.24,135.59,203.93,2286.37
PRECTOTCORR_SUM,2020,106.62,198.7,696.11,360.59,381.93,269.76,51.3,44.26,145.55,320.09,378.8,479.57,3433.28
PRECTOTCORR_SUM,2021,479.68,397.23,529.1,77.47,263.3,54.23,118.08,29.81,61.99,100.91,255.7,302.37,2669.87
PRECTOTCORR_SUM,2022,477.39,364.45,393.02,247.46,131.8,70.52,24.86,57.54,54.03,301.98,130.62,257.81,2511.48
PRECTOTCORR_SUM,2023,338.09,421.36,252.32,118.99,124.97,122.75,89.01,110.86,230.98,89.37,268.49,211.7,2378.89
