# Area: Iraq
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  33.22   Longitude 43.68 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 47.22 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PRECTOTCORR_SUM     MERRA-2 Precipitation Corrected Sum (mm/day) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PRECTOTCORR_SUM,1981,3.28,21.4,28.75,5.19,3.35,0.0,0.0,0.0,0.0,10.51,14.48,18.67,105.63
PRECTOTCORR_SUM,1982,19.75,5.3,6.43,21.5,6.12,0.0,0.0,0.01,0.82,11.15,22.34,20.94,114.36
PRECTOTCORR_SUM,1983,19.62,9.54,28.24,12.89,5.43,0.0,0.0,0.0,0.0,0.03,0.61,12.43,88.79
PRECTOTCORR_SUM,1984,3.93,4.02,9.8,0.81,0.06,0.0,0.0,0.0,0.0,16.86,33.53,12.26,81.27
PRECTOTCORR_SUM,1985,30.29,16.48,3.22,13.43,0.84,0.0,0.0,0.0,0.0,0.01,23.0,2.15,89.42
PRECTOTCORR_SUM,1986,3.58,34.39,8.46,13.49,3.45,0.0,0.0,0.0,0.0,6.89,10.24,7.97,88.47
PRECTOTCORR_SUM,1987,0.86,2.1,12.93,1.33,0.23,2.07,0.0,0.0,0.0,10.06,0.09,8.1,37.77
PRECTOTCORR_SUM,1988,23.04,2.28,8.62,16.61,0.26,0.0,0.0,0.0,0.0,4.91,1.81,36.88,94.41
PRECTOTCORR_SUM,1989,8.48,13.72,28.82,0.32,0.84,0.0,0.0,0.0,0.0,1.43,37.49,6.46,97.56
PRECTOTCORR_SUM,1990,13.25,20.3,13.83,1.46,0.11,0.0,0.01,0.0,0.0,2.79,0.16,3.88,55.79
PRECTOTCORR_SUM,1991,14.85,20.23,12.74,1.93,1.4,0.01,0.0,0.74,0.0,17.42,2.69,9.05,81.06
PRECTOTCORR_SUM,1992,17.09,20.58,18.82,3.28,3.27,0.78,0.0,0.0,0.0,0.0,13.53,7.09,84.44
PRECTOTCORR_SUM,1993,14.05,6.76,2.4,17.74,14.98,0.34,0.0,0.0,0.01,4.13,11.88,14.52,86.81
PRECTOTCORR_SUM,1994,10.59,16.73,6.52,7.62,0.42,0.02,0.0,0.11,1.77,9.25,41.51,12.56,107.1
PRECTOTCORR_SUM,1995,2.59,34.07,8.06,10.71,3.78,1.38,0.1,0.0,0.54,0.0,0.75,5.26,67.24
PRECTOTCORR_SUM,1996,17.56,12.36,44.63,12.35,5.07,0.0,0.03,0.0,0.0,0.13,2.7,21.85,116.68
PRECTOTCORR_SUM,1997,17.12,9.16,14.34,2.39,2.12,0.15,0.0,0.0,0.0,12.01,36.58,16.65,110.52
PRECTOTCORR_SUM,1998,35.08,9.24,20.18,4.21,4.76,0.0,0.0,0.0,0.0,0.08,0.0,0.23,73.78
PRECTOTCORR_SUM,1999,6.24,10.54,2.06,1.76,1.08,0.0,0.0,7.93,5.16,1.82,0.0,9.85,46.44
PRECTOTCORR_SUM,2000,4.71,2.35,4.02,4.8,1.09,0.0,0.0,0.0,0.0,4.06,11.16,37.25,69.44
PRECTOTCORR_SUM,2001,31.1,27.1,30.18,10.16,6.18,0.0,0.01,0.0,0.75,3.37,6.43,17.39,132.67
PRECTOTCORR_SUM,2002,38.13,7.76,26.58,25.37,1.3,0.0,0.0,6.39,0.0,1.9,7.12,9.26,123.81
PRECTOTCORR_SUM,2003,23.35,12.21,2.84,10.73,1.81,0.0,0.0,0.0,0.0,2.57,30.31,28.72,112.54
PRECTOTCORR_SUM,2004,39.38,16.47,5.05,17.65,5.1,0.0,0.04,0.0,0.0,0.54,24.75,16.6,125.58
PRECTOTCORR_SUM,2005,28.28,27.07,41.35,12.01,1.05,0.0,0.01,0.04,0.0,0.51,9.6,22.18,142.1
PRECTOTCORR_SUM,2006,15.42,39.35,6.73,43.08,5.35,0.0,0.0,0.0,0.0,20.87,9.47,14.79,155.06
PRECTOTCORR_SUM,2007,26.51,34.43,19.71,33.77,2.39,0.56,0.0,0.0,0.0,0.04,0.94,15.46,133.81
PRECTOTCORR_SUM,2008,43.45,20.42,2.96,7.69,3.84,0.0,0.0,0.0,5.96,13.77,28.77,3.53,130.39
PRECTOTCORR_SUM,2009,10.37,13.14,10.83,14.56,2.53,0.0,0.0,0.0,1.15,66.78,16.87,6.48,142.71
PRECTOTCORR_SUM,2010,12.03,21.35,10.07,5.03,11.69,0.0,0.0,0.0,0.0,0.02,0.0,16.95,77.14
PRECTOTCORR_SUM,2011,24.25,19.96,9.41,12.64,1.2,0.12,0.15,0.0,0.0,3.41,0.66,2.75,74.55
PRECTOTCORR_SUM,2012,4.93,7.41,2.73,5.38,1.51,0.0,0.0,0.0,0.0,4.99,52.99,45.32,125.26
PRECTOTCORR_SUM,2013,51.85,7.78,0.26,0.96,11.24,0.01,0.0,0.0,0.0,0.01,19.89,9.76,101.76
PRECTOTCORR_SUM,2014,26.83,1.73,21.59,2.79,0.33,0.0,0.0,0.0,0.0,6.55,9.21,3.67,72.7
PRECTOTCORR_SUM,2015,5.79,5.65,23.8,0.38,2.92,0.0,0.0,0.01,0.0,26.59,29.66,30.35,125.15
PRECTOTCORR_SUM,2016,4.97,27.13,53.51,10.25,2.55,0.0,0.0,0.0,0.0,0.0,1.1,30.78,130.29
PRECTOTCORR_SUM,2017,9.06,1.53,43.5,10.41,0.62,0.0,0.0,0.0,0.0,0.03,3.58,0.62,69.35
PRECTOTCORR_SUM,2018,1.86,72.92,2.65,48.18,35.53,0.03,0.0,0.0,0.0,19.98,85.1,21.91,288.16
PRECTOTCORR_SUM,2019,45.49,9.85,29.49,15.19,1.27,0.0,0.14,0.0,0.0,5.78,1.17,17.84,126.22
PRECTOTCORR_SUM,2020,17.63,19.71,21.62,1.81,0.14,0.0,0.06,0.0,1.61,13.76,47.54,7.86,131.74
