# Area: Japan
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  36.2   Longitude 138.25 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 1188.22 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PRECTOTCORR_SUM     MERRA-2 Precipitation Corrected Sum (mm/day) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PRECTOTCORR_SUM,1981,3.27,48.32,81.1,111.95,140.84,141.81,233.73,237.67,147.02,155.97,76.0,10.32,1388.0
PRECTOTCORR_SUM,1982,21.46,30.13,43.39,68.63,66.96,89.58,124.22,209.31,291.61,63.7,84.9,19.7,1113.59
PRECTOTCORR_SUM,1983,29.0,36.73,84.63,129.9,86.83,124.7,186.77,212.25,200.5,86.29,32.56,16.9,1227.06
PRECTOTCORR_SUM,1984,33.96,47.74,38.36,49.45,59.95,136.79,110.25,64.38,69.0,47.89,38.32,36.39,732.48
PRECTOTCORR_SUM,1985,15.01,83.5,100.85,144.54,72.6,348.02,120.35,60.04,121.3,67.32,58.66,20.25,1212.44
PRECTOTCORR_SUM,1986,10.7,25.34,72.6,59.24,110.41,101.17,126.63,127.16,122.28,43.53,21.41,71.19,891.66
PRECTOTCORR_SUM,1987,40.17,35.0,77.95,14.6,85.91,69.64,102.12,68.03,119.03,55.07,29.79,24.78,722.09
PRECTOTCORR_SUM,1988,21.46,21.92,86.61,75.32,78.57,164.38,114.35,169.91,221.08,42.68,33.22,8.29,1037.79
PRECTOTCORR_SUM,1989,73.74,103.88,90.05,83.8,126.62,157.26,156.21,188.96,187.76,84.17,33.36,18.11,1303.92
PRECTOTCORR_SUM,1990,34.73,77.38,74.4,69.96,55.03,53.29,62.52,88.17,236.02,96.03,90.02,24.23,961.78
PRECTOTCORR_SUM,1991,31.89,51.94,123.93,94.69,42.26,135.78,149.16,194.81,221.91,298.48,62.87,38.39,1446.11
PRECTOTCORR_SUM,1992,32.45,31.61,132.62,125.58,92.37,139.41,84.48,106.36,54.47,176.26,63.43,48.55,1087.59
PRECTOTCORR_SUM,1993,75.68,62.26,39.82,37.6,98.5,186.15,242.61,195.15,196.18,100.86,81.51,49.44,1365.76
PRECTOTCORR_SUM,1994,38.67,53.6,65.92,46.03,86.82,105.59,81.27,82.17,234.38,71.08,29.5,29.55,924.58
PRECTOTCORR_SUM,1995,53.63,20.55,89.83,84.84,144.78,139.96,255.34,79.72,152.3,62.69,35.82,12.07,1131.53
PRECTOTCORR_SUM,1996,27.96,38.01,118.15,42.27,84.35,123.19,159.94,105.04,196.84,87.45,79.52,48.03,1110.75
PRECTOTCORR_SUM,1997,35.2,29.37,73.04,89.26,121.24,116.83,193.81,82.43,170.98,13.35,118.18,39.7,1083.39
PRECTOTCORR_SUM,1998,120.57,84.1,80.69,188.29,149.43,157.92,124.02,218.38,287.29,190.25,12.43,33.1,1646.47
PRECTOTCORR_SUM,1999,14.61,35.62,87.98,122.91,108.13,242.54,205.36,205.18,176.66,94.81,60.84,9.61,1364.25
PRECTOTCORR_SUM,2000,39.87,18.29,80.24,103.16,78.75,188.62,107.42,143.95,300.07,127.81,97.11,14.78,1300.07
PRECTOTCORR_SUM,2001,119.41,38.57,94.53,25.53,132.43,174.21,59.17,179.89,164.24,175.8,61.76,35.26,1260.8
PRECTOTCORR_SUM,2002,109.61,25.2,73.31,69.86,67.61,106.74,266.17,113.84,141.47,162.13,38.89,74.36,1249.19
PRECTOTCORR_SUM,2003,85.25,35.07,87.47,140.8,116.22,87.2,193.6,263.86,154.73,68.09,174.26,43.17,1449.72
PRECTOTCORR_SUM,2004,19.71,47.79,69.84,79.07,203.09,142.8,61.21,176.64,200.44,401.72,56.71,77.87,1536.89
PRECTOTCORR_SUM,2005,58.87,51.52,78.22,48.72,62.44,102.7,244.4,177.72,87.37,100.94,40.74,28.26,1081.9
PRECTOTCORR_SUM,2006,37.54,99.84,79.59,86.89,106.31,113.26,340.3,95.48,160.42,188.16,90.29,103.52,1501.6
PRECTOTCORR_SUM,2007,39.73,38.75,62.85,55.26,110.91,109.66,259.02,66.26,266.05,131.43,25.45,57.36,1222.73
PRECTOTCORR_SUM,2008,30.13,45.7,77.36,155.68,160.71,210.56,109.06,209.68,138.8,66.55,48.64,49.84,1302.71
PRECTOTCORR_SUM,2009,78.04,58.33,92.53,86.45,136.99,134.03,200.52,120.68,53.63,156.97,118.25,51.23,1287.65
PRECTOTCORR_SUM,2010,25.16,93.42,155.94,145.56,123.5,175.62,229.57,81.27,208.75,148.0,68.01,93.3,1548.1
PRECTOTCORR_SUM,2011,11.05,75.77,54.08,72.78,260.82,99.55,173.11,209.14,311.79,81.73,73.08,33.15,1456.05
PRECTOTCORR_SUM,2012,30.48,85.0,128.23,88.89,111.86,180.89,169.08,96.05,158.5,82.35,64.9,57.31,1253.54
PRECTOTCORR_SUM,2013,44.19,53.76,39.23,126.73,44.38,136.26,102.21,58.49,102.62,123.44,21.28,23.0,875.59
PRECTOTCORR_SUM,2014,15.99,62.54,42.82,52.1,77.66,187.94,162.17,213.95,81.86,227.68,68.62,73.34,1266.67
PRECTOTCORR_SUM,2015,58.91,19.93,50.87,111.74,50.69,188.31,240.96,174.13,289.01,32.55,125.4,36.58,1379.08
PRECTOTCORR_SUM,2016,67.47,52.69,72.21,99.43,68.95,135.79,91.42,287.51,269.83,69.13,84.32,70.33,1369.08
PRECTOTCORR_SUM,2017,32.81,26.73,59.91,83.66,62.4,76.82,200.53,170.69,129.25,399.34,19.86,11.71,1273.71
PRECTOTCORR_SUM,2018,38.29,18.91,159.38,84.74,123.51,111.88,200.95,160.37,362.3,34.04,20.51,34.3,1349.18
PRECTOTCORR_SUM,2019,13.76,24.99,84.48,67.26,96.94,199.57,238.68,149.57,102.8,329.43,55.28,42.77,1405.53
PRECTOTCORR_SUM,2020,74.7,23.32,95.79,136.09,91.39,208.61,401.92,56.84,182.22,223.19,13.46,10.87,1518.4
PRECTOTCORR_SUM,2021,51.61,43.75,108.95,73.74,112.08,145.74,274.38,290.35,153.64,82.81,50.54,67.14,1454.73
PRECTOTCORR_SUM,2022,10.58,39.55,64.03,158.07,113.64,118.84,297.54,180.82,244.87,85.4,70.12,28.33,1411.79
PRECTOTCORR_SUM,2023,9.42,32.9,98.2,82.19,175.83,379.31,89.2,159.69,168.15,95.52,50.59,18.4,1359.4
