# Area: Lithuania
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  55.17   Longitude 23.82 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 69.06 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PRECTOTCORR_SUM     MERRA-2 Precipitation Corrected Sum (mm/day) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PRECTOTCORR_SUM,1981,47.52,45.1,55.76,29.74,76.08,106.61,92.95,100.44,37.45,95.41,103.72,79.71,870.49
PRECTOTCORR_SUM,1982,81.24,14.13,30.03,56.2,89.56,98.85,40.12,67.71,49.83,24.89,48.17,75.12,675.85
PRECTOTCORR_SUM,1983,100.63,30.54,100.3,71.05,80.19,80.05,52.25,21.46,78.6,49.4,60.35,48.38,773.2
PRECTOTCORR_SUM,1984,69.55,32.64,24.81,20.95,104.12,98.01,97.68,35.95,107.16,55.03,36.96,40.83,723.69
PRECTOTCORR_SUM,1985,43.19,29.67,44.48,56.95,88.85,92.26,93.23,57.13,80.35,46.46,62.96,60.37,755.9
PRECTOTCORR_SUM,1986,94.32,14.09,38.03,104.73,66.59,67.19,95.03,126.86,102.41,34.92,70.23,72.24,886.64
PRECTOTCORR_SUM,1987,36.6,51.55,29.53,30.27,79.16,125.33,73.41,93.58,67.48,21.8,59.56,76.97,745.24
PRECTOTCORR_SUM,1988,41.09,31.14,59.49,32.92,42.93,71.63,104.42,127.36,60.26,17.95,60.62,69.08,718.89
PRECTOTCORR_SUM,1989,38.56,47.34,54.83,87.07,32.58,110.91,69.86,74.54,29.37,90.87,39.75,81.69,757.37
PRECTOTCORR_SUM,1990,64.36,50.99,59.5,15.34,42.26,77.35,122.7,77.49,138.64,84.23,78.84,53.83,865.53
PRECTOTCORR_SUM,1991,43.99,53.66,30.12,40.86,69.71,119.5,51.36,48.38,37.74,52.18,60.2,56.06,663.76
PRECTOTCORR_SUM,1992,46.97,54.32,65.52,76.37,47.65,15.81,21.92,50.06,95.75,77.17,65.02,57.43,673.99
PRECTOTCORR_SUM,1993,82.63,41.17,49.69,20.52,27.53,55.74,187.8,113.21,69.76,42.96,19.67,72.89,783.57
PRECTOTCORR_SUM,1994,73.66,37.68,90.45,77.83,59.34,43.87,7.37,60.81,87.32,60.59,58.19,65.96,723.07
PRECTOTCORR_SUM,1995,58.56,67.32,83.8,42.24,91.5,114.48,57.13,65.79,74.78,33.48,50.42,39.54,779.04
