# Area: Senegal
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  14.5   Longitude -14.45 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 49.29 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PRECTOTCORR_SUM     MERRA-2 Precipitation Corrected Sum (mm/day) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PRECTOTCORR_SUM,1981,0.27,0.07,0.33,1.09,8.83,20.82,198.0,241.38,149.37,31.42,1.62,0.0,653.2
PRECTOTCORR_SUM,1982,0.44,0.09,0.0,2.22,0.14,7.92,102.73,136.92,123.71,45.22,0.0,2.31,421.7
PRECTOTCORR_SUM,1983,0.0,1.16,2.12,0.0,2.84,54.27,92.38,147.89,85.65,9.65,0.0,0.0,395.96
PRECTOTCORR_SUM,1984,0.0,0.0,0.0,0.01,2.61,127.61,115.94,71.22,123.4,55.53,3.78,0.0,500.1
PRECTOTCORR_SUM,1985,0.75,0.0,0.13,0.0,0.09,25.43,130.23,214.53,237.32,14.71,0.0,4.0,627.19
PRECTOTCORR_SUM,1986,0.0,0.0,0.0,0.17,12.49,8.39,62.98,230.12,364.56,11.18,0.0,0.0,689.89
PRECTOTCORR_SUM,1987,0.0,0.15,0.04,0.0,3.43,74.11,148.0,164.13,201.62,74.12,0.0,0.0,665.6
PRECTOTCORR_SUM,1988,0.01,0.08,0.01,0.01,0.79,24.96,140.97,378.38,169.09,23.56,0.11,0.0,737.97
PRECTOTCORR_SUM,1989,0.0,0.0,0.0,0.0,0.15,59.02,152.31,259.19,135.88,52.97,1.06,0.0,660.58
PRECTOTCORR_SUM,1990,0.02,0.02,0.51,0.09,0.34,12.97,123.11,190.35,125.58,51.96,0.0,0.0,504.95
PRECTOTCORR_SUM,1991,0.33,0.0,0.0,0.0,0.14,4.35,120.96,160.02,88.77,31.43,0.15,0.06,406.21
PRECTOTCORR_SUM,1992,0.04,11.65,0.0,0.03,6.58,25.28,111.42,192.75,123.86,6.53,0.13,2.63,480.9
PRECTOTCORR_SUM,1993,4.54,0.16,0.05,0.02,0.19,43.53,119.27,181.94,189.27,13.25,3.29,0.0,555.51
PRECTOTCORR_SUM,1994,0.0,0.0,0.02,0.3,4.12,30.55,105.35,332.65,208.94,53.5,3.13,0.04,738.6
PRECTOTCORR_SUM,1995,0.0,0.02,0.37,0.0,0.4,38.36,116.74,241.96,155.35,33.67,0.0,8.94,595.81
PRECTOTCORR_SUM,1996,0.0,0.01,0.02,0.0,5.6,20.17,137.92,252.14,149.49,52.57,4.94,0.0,622.86
