# Area: Sierra Leone
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  8.46   Longitude -11.78 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 143.87 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PRECTOTCORR_SUM     MERRA-2 Precipitation Corrected Sum (mm/day) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PRECTOTCORR_SUM,1981,0.43,7.91,25.6,110.21,182.99,409.12,507.32,487.18,538.08,322.33,220.12,9.31,2820.6
PRECTOTCORR_SUM,1982,0.0,65.87,169.08,116.43,588.39,584.73,444.75,717.41,479.44,488.08,278.3,0.43,3932.91
PRECTOTCORR_SUM,1983,0.0,4.51,64.59,79.59,227.23,317.54,555.39,628.13,445.87,343.56,399.84,32.31,3098.56
PRECTOTCORR_SUM,1984,6.17,4.05,6.25,107.14,410.03,399.94,418.95,728.8,430.8,346.54,64.16,13.45,2936.28
PRECTOTCORR_SUM,1985,14.89,8.74,8.16,35.81,170.6,379.72,734.96,910.37,542.24,218.2,44.64,1.04,3069.37
PRECTOTCORR_SUM,1986,0.0,10.55,24.64,45.59,211.77,499.2,292.18,366.96,647.02,290.54,149.71,9.82,2547.98
PRECTOTCORR_SUM,1987,25.43,8.7,8.67,154.16,176.76,565.26,575.58,668.99,746.94,455.89,52.15,22.79,3461.32
PRECTOTCORR_SUM,1988,0.0,57.5,45.55,353.96,181.29,365.11,475.06,541.49,698.66,377.9,98.41,34.03,3228.96
PRECTOTCORR_SUM,1989,0.0,45.71,56.95,54.39,99.36,737.91,655.53,1008.95,501.59,339.51,201.3,8.8,3710.0
PRECTOTCORR_SUM,1990,24.65,1.09,5.95,136.82,338.87,453.25,453.92,491.45,487.75,185.31,85.12,39.26,2703.44
PRECTOTCORR_SUM,1991,1.38,1.35,11.5,65.46,209.41,409.65,407.11,452.1,333.6,572.09,115.3,0.0,2578.95
PRECTOTCORR_SUM,1992,0.79,7.51,12.89,308.26,320.78,272.8,518.85,483.95,393.37,330.12,98.03,0.0,2747.35
PRECTOTCORR_SUM,1993,0.0,4.21,5.2,74.49,289.27,262.17,406.06,303.83,376.3,339.43,162.64,0.0,2223.6
PRECTOTCORR_SUM,1994,0.0,80.91,72.8,29.93,173.15,279.24,166.43,319.19,533.78,228.28,57.1,0.0,1940.81
PRECTOTCORR_SUM,1995,0.0,2.09,12.52,16.23,335.6,225.55,300.84,687.49,599.01,267.54,28.6,6.47,2481.94
PRECTOTCORR_SUM,1996,24.62,20.82,2.95,95.04,76.93,107.36,118.25,312.64,146.26,79.4,21.13,46.39,1051.79
PRECTOTCORR_SUM,1997,20.59,0.27,261.75,249.06,282.0,287.58,317.54,576.89,331.56,167.01,92.89,37.02,2624.16
PRECTOTCORR_SUM,1998,3.82,18.28,16.39,232.39,180.46,340.95,471.73,868.87,772.95,347.97,51.48,15.63,3320.92
PRECTOTCORR_SUM,1999,0.46,0.06,6.22,56.01,186.78,358.53,218.38,384.24,315.6,280.97,126.32,0.12,1933.69
PRECTOTCORR_SUM,2000,92.24,0.64,66.48,168.7,211.95,238.34,270.83,397.82,127.22,183.61,35.31,0.0,1793.14
PRECTOTCORR_SUM,2001,0.0,0.0,2.04,31.22,19.73,177.78,120.38,180.87,151.14,63.47,16.28,0.05,762.96
PRECTOTCORR_SUM,2002,0.53,0.38,3.88,13.7,16.61,82.73,124.12,155.51,56.8,38.86,4.25,0.0,497.37
PRECTOTCORR_SUM,2003,0.08,0.4,0.0,1.79,33.12,73.32,125.99,173.77,69.46,39.55,35.21,0.8,553.49
PRECTOTCORR_SUM,2004,0.0,5.92,1.72,46.14,80.73,63.65,188.01,397.43,105.36,60.96,129.64,1.12,1080.68
PRECTOTCORR_SUM,2005,0.87,28.32,34.53,5.23,74.18,174.38,123.0,209.59,141.3,71.52,12.46,20.9,896.28
PRECTOTCORR_SUM,2006,1.69,1.4,7.82,41.39,46.41,128.34,141.82,155.98,226.29,98.56,9.16,0.57,859.43
PRECTOTCORR_SUM,2007,0.05,12.15,17.08,11.94,69.09,104.61,212.8,276.31,64.93,23.97,6.15,7.03,806.11
PRECTOTCORR_SUM,2008,0.1,0.08,46.64,15.85,159.3,324.77,372.43,507.28,497.28,298.37,0.33,1.25,2223.68
PRECTOTCORR_SUM,2009,0.42,0.88,9.83,15.54,135.3,481.53,295.86,1300.61,868.71,151.88,37.64,12.99,3311.19
PRECTOTCORR_SUM,2010,0.01,12.29,12.77,127.92,30.72,105.65,883.6,575.74,430.96,165.03,3.78,17.47,2365.94
PRECTOTCORR_SUM,2011,0.04,9.08,18.51,13.73,93.08,112.09,152.26,254.83,193.7,87.52,6.7,0.32,941.86
PRECTOTCORR_SUM,2012,0.02,5.12,5.93,42.72,121.51,411.85,824.97,804.73,497.26,273.81,144.1,10.07,3142.09
PRECTOTCORR_SUM,2013,0.44,1.26,21.91,30.48,327.01,355.7,599.86,778.95,352.23,196.33,85.91,4.51,2754.59
PRECTOTCORR_SUM,2014,0.38,5.72,8.08,92.28,166.25,524.57,392.93,587.9,480.31,263.24,72.25,6.03,2599.94
PRECTOTCORR_SUM,2015,0.02,5.21,1.35,5.98,180.18,655.9,538.4,628.15,517.9,427.77,34.18,0.06,2995.1
PRECTOTCORR_SUM,2016,15.55,0.0,2.63,41.24,180.39,1333.06,1193.65,336.04,528.05,146.71,38.16,0.07,3815.55
PRECTOTCORR_SUM,2017,0.49,0.32,3.1,55.11,178.95,444.58,756.81,1011.32,340.75,191.64,139.72,0.0,3122.79
PRECTOTCORR_SUM,2018,0.0,5.08,14.16,17.35,92.06,362.0,470.97,947.87,799.05,284.56,86.91,11.98,3091.99
PRECTOTCORR_SUM,2019,0.28,0.32,0.0,8.27,13.65,337.81,651.09,842.33,497.78,263.03,212.16,0.65,2827.37
PRECTOTCORR_SUM,2020,0.08,0.13,24.97,44.66,283.5,229.39,860.01,294.85,172.05,169.41,3.83,7.63,2090.51
PRECTOTCORR_SUM,2021,2.35,17.66,6.26,51.05,290.55,423.75,1430.08,1042.84,838.36,354.94,39.56,5.43,4502.83
PRECTOTCORR_SUM,2022,0.0,21.65,15.67,50.65,139.79,100.37,284.91,556.26,437.59,246.23,87.58,12.46,1953.16
PRECTOTCORR_SUM,2023,6.13,15.22,42.6,80.51,528.17,342.06,402.3,391.24,533.36,637.54,188.89,30.7,3198.72
