# Area: Spain
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  40.46   Longitude -3.75 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 779.85 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PRECTOTCORR_SUM     MERRA-2 Precipitation Corrected Sum (mm/day) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PRECTOTCORR_SUM,1981,7.58,32.33,33.18,87.89,38.99,14.82,17.63,22.2,33.13,13.69,4.77,123.49,429.7
PRECTOTCORR_SUM,1982,64.29,43.91,21.23,32.39,65.67,47.42,29.32,9.44,46.38,57.18,71.34,22.1,510.67
PRECTOTCORR_SUM,1983,2.18,10.89,3.94,69.62,31.44,13.79,3.89,50.43,12.68,9.73,70.55,43.61,322.75
PRECTOTCORR_SUM,1984,44.59,27.17,56.53,44.27,87.93,50.68,2.78,9.2,8.3,23.83,130.14,11.64,497.06
PRECTOTCORR_SUM,1985,58.66,38.91,12.3,47.5,39.01,25.93,5.1,0.06,4.85,2.89,45.21,73.59,354.01
PRECTOTCORR_SUM,1986,20.35,56.91,26.84,57.25,15.28,1.93,10.9,14.12,37.57,89.81,28.03,25.71,384.7
PRECTOTCORR_SUM,1987,78.06,47.46,9.09,48.44,27.91,16.38,56.4,10.2,22.92,67.17,46.37,73.26,503.66
PRECTOTCORR_SUM,1988,59.51,18.68,6.37,90.15,69.87,114.76,18.02,0.13,4.01,69.91,33.61,4.64,489.66
PRECTOTCORR_SUM,1989,9.53,28.23,23.15,66.09,71.58,28.08,12.56,10.17,37.03,12.85,120.34,120.04,539.65
PRECTOTCORR_SUM,1990,31.99,1.58,20.09,44.07,15.25,17.32,17.49,17.16,36.28,57.2,45.06,20.91,324.4
PRECTOTCORR_SUM,1991,13.8,57.72,58.48,35.68,18.75,9.34,13.42,0.8,38.31,47.83,18.82,12.78,325.73
PRECTOTCORR_SUM,1992,7.11,13.82,11.92,28.48,42.02,63.94,6.04,31.66,22.73,78.52,5.17,36.38,347.79
PRECTOTCORR_SUM,1993,1.85,17.13,26.26,32.71,82.66,56.96,5.2,8.85,18.37,133.33,37.52,8.8,429.64
PRECTOTCORR_SUM,1994,34.08,37.49,1.03,23.05,72.09,4.86,12.06,1.5,18.2,53.02,43.84,12.08,313.3
PRECTOTCORR_SUM,1995,29.7,36.33,11.72,14.5,24.21,56.1,9.44,9.17,18.83,6.04,57.12,96.2,369.36
PRECTOTCORR_SUM,1996,120.42,39.0,34.34,30.71,80.7,13.94,6.34,9.73,35.68,19.29,64.67,124.5,579.32
PRECTOTCORR_SUM,1997,101.66,5.96,0.01,47.5,80.88,35.78,49.15,25.78,36.25,33.45,168.95,91.99,677.36
PRECTOTCORR_SUM,1998,46.87,29.42,16.28,59.25,107.63,26.22,4.66,32.33,62.01,15.12,28.48,30.9,459.17
PRECTOTCORR_SUM,1999,21.66,20.8,24.48,36.77,45.81,21.14,13.13,5.71,51.44,97.03,25.11,36.04,399.12
PRECTOTCORR_SUM,2000,14.59,2.7,31.7,94.45,58.58,18.1,10.36,2.57,16.3,38.83,82.38,105.71,476.27
PRECTOTCORR_SUM,2001,83.58,32.37,61.12,12.17,36.26,9.36,16.92,8.32,27.29,69.08,13.89,16.07,386.43
PRECTOTCORR_SUM,2002,42.26,6.48,43.2,34.86,34.44,24.28,8.06,28.42,33.58,72.65,77.0,61.99,467.22
PRECTOTCORR_SUM,2003,48.36,48.3,35.58,41.35,30.9,8.83,1.42,19.24,27.83,116.61,76.54,54.86,509.82
PRECTOTCORR_SUM,2004,16.12,53.22,62.53,31.22,84.3,16.08,7.06,32.36,7.08,90.06,23.98,25.81,449.82
PRECTOTCORR_SUM,2005,2.48,37.53,18.62,25.35,19.12,21.99,0.46,5.5,8.43,98.75,56.58,33.75,328.56
PRECTOTCORR_SUM,2006,30.92,44.97,41.35,31.1,20.28,36.37,3.01,10.99,22.42,107.88,107.8,29.41,486.5
PRECTOTCORR_SUM,2007,19.86,49.54,25.24,76.75,93.09,38.61,1.2,14.41,11.88,49.56,35.04,15.96,431.14
PRECTOTCORR_SUM,2008,26.53,28.9,14.7,75.62,99.86,38.69,11.79,0.96,37.95,115.59,19.31,56.86,526.76
PRECTOTCORR_SUM,2009,48.72,42.65,21.79,33.98,24.64,16.15,0.34,5.91,11.69,39.58,21.83,103.57,370.85
PRECTOTCORR_SUM,2010,51.49,85.08,56.82,47.22,38.0,53.42,10.26,5.27,33.97,51.1,38.22,84.33,555.18
PRECTOTCORR_SUM,2011,44.05,33.55,63.6,66.26,45.15,19.06,5.71,16.58,1.06,30.78,77.43,11.72,414.95
