# Area: Uganda
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  1.37   Longitude 32.29 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 1053.97 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PRECTOTCORR_SUM     MERRA-2 Precipitation Corrected Sum (mm/day) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PRECTOTCORR_SUM,1981,14.53,12.97,327.88,234.46,190.37,47.48,67.28,188.25,210.34,146.78,108.23,33.8,1582.37
PRECTOTCORR_SUM,1982,41.35,40.61,64.48,219.31,231.0,142.04,108.28,169.17,97.58,268.31,193.2,86.4,1661.73
PRECTOTCORR_SUM,1983,26.69,34.23,71.82,113.21,207.26,111.8,125.13,213.97,170.88,234.07,122.13,23.65,1454.84
PRECTOTCORR_SUM,1984,9.05,16.28,44.1,192.1,172.34,114.53,132.91,204.48,132.86,104.94,127.48,26.72,1277.79
PRECTOTCORR_SUM,1985,17.85,55.81,167.78,287.22,251.04,103.29,108.68,135.94,159.43,91.62,139.42,15.89,1533.97
PRECTOTCORR_SUM,1986,6.01,19.26,99.58,265.16,164.07,58.62,84.5,135.92,129.06,191.03,79.49,62.21,1294.91
PRECTOTCORR_SUM,1987,46.75,83.25,134.11,157.75,259.48,128.46,74.86,200.68,119.14,146.23,197.91,19.32,1567.94
PRECTOTCORR_SUM,1988,54.44,36.12,109.67,302.04,174.03,76.73,160.35,268.26,242.04,188.16,69.29,41.62,1722.75
PRECTOTCORR_SUM,1989,24.41,41.88,178.6,153.54,286.8,97.51,84.06,152.15,181.42,204.66,117.23,100.83,1623.09
PRECTOTCORR_SUM,1990,66.82,135.28,196.67,196.89,156.38,51.08,88.81,152.61,140.21,152.99,102.87,62.38,1502.99
PRECTOTCORR_SUM,1991,83.53,21.5,121.49,194.71,310.16,117.81,125.73,182.14,111.63,205.27,68.62,34.24,1576.83
PRECTOTCORR_SUM,1992,11.13,13.12,17.96,155.16,215.29,190.63,123.01,108.73,178.8,248.54,79.92,52.89,1395.18
PRECTOTCORR_SUM,1993,58.7,25.26,58.46,96.48,222.25,149.67,70.97,141.15,98.06,69.4,92.81,45.31,1128.52
PRECTOTCORR_SUM,1994,8.91,65.68,107.39,117.97,247.51,123.2,121.46,133.86,164.54,83.08,192.46,21.92,1387.98
PRECTOTCORR_SUM,1995,9.47,34.08,112.53,144.16,175.1,127.59,175.95,83.18,115.85,209.03,132.94,27.02,1346.9
PRECTOTCORR_SUM,1996,57.31,69.16,258.14,322.79,205.01,98.96,61.69,132.42,170.88,113.35,97.84,7.92,1595.47
PRECTOTCORR_SUM,1997,5.94,0.51,138.17,209.15,97.55,86.62,132.7,135.84,12.53,212.94,142.65,88.67,1263.27
PRECTOTCORR_SUM,1998,111.37,44.14,33.86,89.66,161.81,65.9,92.33,78.76,76.43,146.61,80.44,11.33,992.64
PRECTOTCORR_SUM,1999,50.06,1.73,93.92,68.12,102.4,80.81,153.31,109.08,55.04,131.58,82.24,40.27,968.56
PRECTOTCORR_SUM,2000,1.32,9.49,28.09,103.71,101.57,48.22,51.39,130.38,141.18,189.2,93.52,60.83,958.9
PRECTOTCORR_SUM,2001,43.09,28.78,96.92,107.22,118.27,94.44,146.39,130.44,120.93,169.13,125.51,15.28,1196.4
PRECTOTCORR_SUM,2002,71.82,30.18,112.08,101.54,119.94,51.33,41.92,111.48,65.48,96.6,106.24,48.66,957.27
PRECTOTCORR_SUM,2003,43.42,10.45,75.61,162.28,147.97,73.01,66.49,155.15,73.06,90.86,84.85,91.65,1074.8
PRECTOTCORR_SUM,2004,70.63,44.68,82.69,214.58,95.75,42.66,56.67,108.06,123.96,70.01,65.11,71.5,1046.3
PRECTOTCORR_SUM,2005,63.26,33.96,79.05,75.98,89.0,39.69,93.8,73.17,88.0,79.71,46.37,2.92,764.91
PRECTOTCORR_SUM,2006,16.32,36.32,65.77,143.49,102.81,29.37,57.35,55.82,74.16,109.79,149.89,92.27,933.36
PRECTOTCORR_SUM,2007,46.58,40.94,51.83,129.99,147.31,88.76,106.34,87.29,139.05,99.43,44.44,59.02,1040.98
PRECTOTCORR_SUM,2008,42.37,68.53,97.09,96.16,77.55,64.53,72.94,91.09,145.69,136.99,58.09,11.42,962.45
PRECTOTCORR_SUM,2009,33.55,38.52,81.48,163.88,98.19,44.88,34.85,70.04,91.76,101.12,100.46,116.79,975.52
PRECTOTCORR_SUM,2010,38.24,96.99,120.01,161.82,135.47,46.75,55.32,89.06,124.24,134.44,137.97,52.9,1193.21
PRECTOTCORR_SUM,2011,14.19,17.2,109.9,75.33,134.09,101.69,55.84,176.65,93.26,219.87,197.13,32.08,1227.23
PRECTOTCORR_SUM,2012,1.09,14.51,38.88,152.82,120.06,78.54,90.83,118.55,164.9,121.6,137.01,125.31,1164.1
PRECTOTCORR_SUM,2013,29.0,9.7,94.4,135.0,129.0,33.51,57.65,116.03,162.07,117.34,119.14,67.22,1070.06
PRECTOTCORR_SUM,2014,18.08,14.92,59.04,88.13,195.63,76.82,65.08,94.81,145.8,262.9,86.76,66.89,1174.86
