# Area: United Arab Emirates
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  23.42   Longitude 53.85 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 122.26 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PRECTOTCORR_SUM     MERRA-2 Precipitation Corrected Sum (mm/day) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PRECTOTCORR_SUM,1981,0.0,0.63,10.16,6.6,9.09,0.0,5.14,0.01,0.0,0.0,0.5,0.0,32.13
PRECTOTCORR_SUM,1982,8.87,103.14,50.92,0.91,0.0,0.0,0.0,7.33,5.62,0.0,4.41,18.14,199.34
PRECTOTCORR_SUM,1983,4.96,41.75,10.12,31.78,0.21,0.0,0.0,0.6,0.05,0.0,0.0,0.16,89.63
PRECTOTCORR_SUM,1984,0.0,0.1,2.31,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.02,5.83,8.3
PRECTOTCORR_SUM,1985,2.29,0.0,6.85,0.85,0.0,0.09,5.17,5.75,0.0,0.0,0.0,1.32,22.32
PRECTOTCORR_SUM,1986,4.55,29.62,5.86,5.89,5.6,0.22,2.81,8.08,1.89,0.0,4.79,39.09,108.4
PRECTOTCORR_SUM,1987,0.41,0.34,34.85,4.66,0.33,0.0,0.33,4.38,0.0,0.0,0.0,3.19,48.49
PRECTOTCORR_SUM,1988,0.37,79.14,0.06,12.54,0.0,0.0,0.01,0.81,0.0,0.0,0.0,0.01,92.94
PRECTOTCORR_SUM,1989,0.0,1.5,14.42,4.85,0.0,0.0,0.01,0.0,0.0,0.0,0.23,15.93,36.94
PRECTOTCORR_SUM,1990,12.16,12.13,0.03,2.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.4
PRECTOTCORR_SUM,1991,0.9,1.79,5.48,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.98,19.2
PRECTOTCORR_SUM,1992,13.24,15.76,0.06,37.79,0.01,0.0,0.0,0.0,0.0,0.38,0.0,4.19,71.43
PRECTOTCORR_SUM,1993,1.13,49.49,0.07,0.89,0.03,0.0,0.0,0.0,0.01,0.0,0.0,0.14,51.76
