# Area: Viet Nam
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  14.06   Longitude 108.28 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 615.12 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PRECTOTCORR_SUM     MERRA-2 Precipitation Corrected Sum (mm/day) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PRECTOTCORR_SUM,1981,0.09,2.06,0.04,34.44,41.25,118.97,74.0,67.64,71.85,204.69,73.31,6.35,694.69
PRECTOTCORR_SUM,1982,20.83,1.87,0.02,1.28,9.36,36.67,9.09,5.98,122.83,94.1,65.56,0.82,368.41
PRECTOTCORR_SUM,1983,0.03,0.0,0.01,11.94,3.58,48.32,7.21,139.11,147.85,214.7,3.77,0.28,576.8
PRECTOTCORR_SUM,1984,26.13,0.29,19.82,6.46,12.86,41.5,11.23,57.62,63.62,241.13,58.74,5.52,544.92
PRECTOTCORR_SUM,1985,4.87,16.67,0.97,37.21,21.53,49.01,3.52,79.17,87.48,155.79,100.96,12.55,569.73
PRECTOTCORR_SUM,1986,2.03,0.38,4.81,1.58,42.13,10.91,16.76,51.7,93.36,243.99,92.3,30.0,589.95
PRECTOTCORR_SUM,1987,0.03,0.15,0.17,4.15,4.02,12.09,11.44,30.34,28.02,29.37,31.49,0.41,151.68
PRECTOTCORR_SUM,1988,0.53,3.12,1.78,5.49,8.38,31.85,1.63,4.23,40.58,197.87,47.63,15.97,359.06
PRECTOTCORR_SUM,1989,2.64,5.75,30.54,4.06,19.48,12.54,22.29,20.96,34.58,130.02,98.53,33.55,414.94
PRECTOTCORR_SUM,1990,1.99,4.24,4.64,4.29,42.93,174.26,77.8,111.68,132.41,408.48,269.05,102.92,1334.69
PRECTOTCORR_SUM,1991,25.03,35.12,89.44,116.9,15.05,96.58,40.42,67.19,319.82,472.3,86.74,57.25,1421.84
PRECTOTCORR_SUM,1992,81.69,9.89,9.25,12.09,106.81,156.77,187.01,417.1,231.17,643.52,141.01,42.18,2038.49
PRECTOTCORR_SUM,1993,10.35,6.24,20.5,25.3,45.15,35.19,17.58,94.3,284.51,568.81,273.98,315.89,1697.8
PRECTOTCORR_SUM,1994,25.95,26.74,23.07,3.83,124.49,154.58,38.97,69.77,270.28,350.59,114.01,209.0,1411.28
PRECTOTCORR_SUM,1995,62.73,11.64,35.11,7.61,130.84,24.92,74.22,65.69,393.8,470.76,281.18,74.79,1633.29
PRECTOTCORR_SUM,1996,54.48,37.55,1.63,47.98,179.81,107.16,29.79,69.06,445.76,341.34,624.83,228.57,2167.96
PRECTOTCORR_SUM,1997,35.71,17.76,5.9,83.72,96.32,28.84,54.22,31.54,96.9,141.8,64.68,27.84,685.23
