# Area: Czechoslovakia
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  49.0   Longitude 20.0 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 1033.53 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DWN,1981,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1982,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1983,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1984,3.41,6.43,9.66,12.72,14.28,18.03,16.39,16.19,10.08,6.83,4.37,2.53,10.08
ALLSKY_SFC_SW_DWN,1985,4.11,6.98,10.4,12.57,15.65,13.48,19.17,14.03,10.94,7.17,3.86,2.43,10.09
ALLSKY_SFC_SW_DWN,1986,3.75,7.71,10.86,13.44,17.09,18.66,17.26,14.75,10.82,7.96,3.96,2.23,10.72
ALLSKY_SFC_SW_DWN,1987,3.56,6.34,11.63,11.34,13.59,18.14,18.6,13.62,11.17,7.95,2.97,2.9,10.17
ALLSKY_SFC_SW_DWN,1988,2.84,5.3,8.54,14.93,17.36,18.78,19.32,15.71,8.32,8.71,3.4,2.22,10.47
ALLSKY_SFC_SW_DWN,1989,3.88,4.87,9.16,11.23,16.2,16.63,20.0,14.55,11.7,6.43,3.95,2.64,10.14
ALLSKY_SFC_SW_DWN,1990,3.32,5.99,8.78,11.97,17.86,19.04,18.0,15.93,8.17,8.15,2.94,2.53,10.26
ALLSKY_SFC_SW_DWN,1991,2.7,6.09,7.64,11.88,14.19,17.73,17.58,14.73,12.74,6.81,3.79,3.16,9.94
ALLSKY_SFC_SW_DWN,1992,3.74,5.9,9.31,10.96,17.32,18.3,20.62,17.89,12.46,5.95,3.34,2.74,10.73
ALLSKY_SFC_SW_DWN,1993,3.59,6.47,9.86,12.65,18.51,17.97,17.51,17.12,11.52,6.94,4.3,2.1,10.74
ALLSKY_SFC_SW_DWN,1994,2.99,6.12,7.95,12.23,17.98,20.5,22.98,16.19,11.62,7.08,3.75,2.53,11.02
ALLSKY_SFC_SW_DWN,1995,3.62,4.34,7.66,11.53,15.54,17.58,21.47,15.86,9.58,8.31,4.98,3.15,10.34
ALLSKY_SFC_SW_DWN,1996,3.94,6.85,11.65,14.92,16.36,18.38,16.91,14.95,7.73,7.21,3.51,2.84,10.45
ALLSKY_SFC_SW_DWN,1997,4.13,5.92,10.39,13.61,17.6,19.16,15.33,16.45,11.97,7.03,3.52,2.41,10.65
ALLSKY_SFC_SW_DWN,1998,3.03,5.61,10.01,14.78,20.53,17.65,16.1,16.72,11.06,5.2,4.14,2.92,10.67
ALLSKY_SFC_SW_DWN,1999,3.36,6.78,10.88,12.32,18.67,16.7,19.32,16.15,13.46,5.56,3.87,2.58,10.83
ALLSKY_SFC_SW_DWN,2000,3.91,5.99,9.64,14.54,20.41,19.1,16.25,17.01,10.77,8.26,3.11,2.32,10.96
ALLSKY_SFC_SW_DWN,2001,3.42,5.75,8.37,12.24,20.37,14.87,16.1,18.34,8.79,7.51,3.46,2.47,10.18
ALLSKY_SFC_SW_DWN,2002,3.38,6.16,10.61,13.56,19.13,19.45,18.57,15.99,9.8,5.63,3.13,2.71,10.7
ALLSKY_SFC_SW_DWN,2003,3.52,6.75,10.39,14.31,18.89,20.82,16.48,18.79,13.07,6.38,4.12,3.0,11.4
ALLSKY_SFC_SW_DWN,2004,3.81,5.2,9.53,15.49,15.49,18.12,16.91,16.1,12.89,7.69,3.22,2.61,10.6
ALLSKY_SFC_SW_DWN,2005,3.22,6.12,12.95,13.67,18.05,18.77,17.58,14.17,13.54,8.5,4.01,2.04,11.07
ALLSKY_SFC_SW_DWN,2006,4.48,7.07,11.34,13.33,16.29,19.28,23.16,14.33,14.46,8.51,3.26,2.69,11.54
ALLSKY_SFC_SW_DWN,2007,2.96,5.11,10.21,16.02,19.46,20.04,19.44,15.93,11.36,6.67,3.61,2.47,11.14
ALLSKY_SFC_SW_DWN,2008,3.12,5.48,9.62,13.13,17.13,19.76,17.35,17.36,10.0,6.91,4.07,2.7,10.57
ALLSKY_SFC_SW_DWN,2009,3.24,4.87,7.67,19.18,19.23,16.96,20.77,16.96,13.21,5.81,3.6,2.29,11.18
ALLSKY_SFC_SW_DWN,2010,3.22,5.5,10.58,14.39,12.47,17.24,19.11,17.06,9.57,8.82,3.96,2.4,10.39
ALLSKY_SFC_SW_DWN,2011,3.31,6.35,11.04,14.5,20.54,17.76,14.81,18.37,14.03,7.65,4.86,2.36,11.32
ALLSKY_SFC_SW_DWN,2012,3.17,7.54,11.79,14.83,18.99,17.83,19.17,16.7,11.9,7.29,3.67,2.54,11.3
ALLSKY_SFC_SW_DWN,2013,2.82,5.42,9.84,14.82,16.61,17.02,20.75,17.71,11.3,8.17,3.27,3.14,10.94
ALLSKY_SFC_SW_DWN,2014,2.97,6.02,10.96,13.27,17.37,19.82,18.42,14.6,11.87,7.39,3.9,2.74,10.8
ALLSKY_SFC_SW_DWN,2015,2.71,6.51,10.76,14.72,15.32,19.54,20.88,18.69,10.72,7.63,4.15,2.76,11.23
ALLSKY_SFC_SW_DWN,2016,3.22,5.18,8.81,13.95,18.84,21.16,18.86,17.38,13.15,5.54,3.59,2.75,11.05
ALLSKY_SFC_SW_DWN,2017,3.77,6.41,9.1,11.87,17.3,21.59,18.59,17.91,10.43,6.93,3.7,2.13,10.84
ALLSKY_SFC_SW_DWN,2018,3.31,5.43,9.79,16.63,20.5,17.18,17.79,17.57,13.32,8.28,4.55,2.11,11.4
ALLSKY_SFC_SW_DWN,2019,3.42,7.01,10.74,14.68,13.02,22.64,18.46,17.07,12.94,9.01,3.68,2.58,11.28
ALLSKY_SFC_SW_DWN,2020,3.58,5.73,11.04,19.57,16.34,16.31,19.06,18.68,12.7,6.21,3.82,2.59,11.31
ALLSKY_SFC_SW_DWN,2021,3.27,5.83,9.66,13.01,17.25,23.44,18.53,14.31,12.32,9.46,4.17,2.32,11.15
ALLSKY_SFC_SW_DWN,2022,3.11,6.01,12.56,11.92,19.52,22.89,19.7,17.1,10.18,8.44,3.89,2.48,11.52
ALLSKY_SFC_SW_DWN,2023,2.67,5.89,10.37,11.92,17.7,18.43,19.09,16.23,13.74,7.72,3.55,2.48,10.84
