# Area: Denmark
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  56.26   Longitude 9.5 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 36.83 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DWN,1981,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1982,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1983,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1984,1.44,4.08,7.83,15.09,18.71,18.95,18.38,15.53,9.12,4.29,2.16,1.08,9.73
ALLSKY_SFC_SW_DWN,1985,1.87,4.57,7.13,11.28,18.0,18.61,17.59,13.88,9.18,5.16,2.46,0.91,9.25
ALLSKY_SFC_SW_DWN,1986,1.56,5.65,6.95,14.06,16.94,19.96,17.31,14.28,10.26,4.76,2.07,0.95,9.57
ALLSKY_SFC_SW_DWN,1987,1.78,3.91,7.54,13.27,16.47,15.38,18.31,13.62,10.19,5.38,2.19,1.14,9.13
ALLSKY_SFC_SW_DWN,1988,1.43,3.7,6.98,13.43,19.97,21.83,16.62,14.61,9.72,4.12,2.52,1.08,9.68
ALLSKY_SFC_SW_DWN,1989,1.58,3.74,6.72,13.59,21.06,22.53,19.87,15.01,10.74,5.07,2.43,1.01,10.31
ALLSKY_SFC_SW_DWN,1990,1.31,3.46,8.58,14.48,19.89,17.81,19.57,16.11,8.6,4.88,2.71,1.15,9.92
ALLSKY_SFC_SW_DWN,1991,1.76,3.7,6.27,13.18,19.08,15.95,19.14,15.26,11.09,5.68,2.49,1.27,9.61
ALLSKY_SFC_SW_DWN,1992,1.63,3.23,5.97,11.81,21.21,24.84,18.94,14.37,10.43,5.39,2.23,1.24,10.12
ALLSKY_SFC_SW_DWN,1993,1.77,3.86,7.78,14.42,20.51,22.48,16.8,14.79,8.19,4.5,2.53,1.04,9.92
ALLSKY_SFC_SW_DWN,1994,1.45,4.02,7.46,13.26,18.54,20.06,22.32,15.4,7.95,5.04,1.99,1.01,9.92
ALLSKY_SFC_SW_DWN,1995,1.4,4.0,7.45,13.43,19.42,18.08,21.15,18.82,9.44,5.16,2.47,1.13,10.2
ALLSKY_SFC_SW_DWN,1996,2.13,4.2,7.76,15.25,15.97,20.35,19.9,16.92,10.96,5.11,2.09,1.22,10.17
ALLSKY_SFC_SW_DWN,1997,2.09,3.66,7.24,14.47,17.67,21.56,20.84,17.56,10.75,5.04,2.25,1.14,10.39
ALLSKY_SFC_SW_DWN,1998,1.8,3.05,9.13,11.37,21.73,19.01,17.65,14.91,9.77,4.25,2.55,1.18,9.74
ALLSKY_SFC_SW_DWN,1999,1.56,4.21,6.04,13.5,19.37,17.69,20.13,16.4,11.09,5.4,2.38,1.08,9.94
ALLSKY_SFC_SW_DWN,2000,1.66,3.6,7.43,12.46,19.28,18.55,17.34,14.0,8.23,3.7,2.27,1.02,9.14
ALLSKY_SFC_SW_DWN,2001,1.5,4.01,8.19,11.62,19.72,18.17,19.57,13.37,7.88,4.53,2.56,1.14,9.39
ALLSKY_SFC_SW_DWN,2002,1.52,4.0,9.37,12.14,17.91,20.27,17.04,15.38,11.47,5.04,1.82,0.99,9.78
ALLSKY_SFC_SW_DWN,2003,1.65,4.29,9.56,15.57,15.39,18.38,17.7,17.41,10.43,6.36,1.84,1.13,10.01
ALLSKY_SFC_SW_DWN,2004,1.21,4.8,9.19,12.91,18.73,19.21,16.67,16.59,11.3,5.34,2.16,1.27,9.96
ALLSKY_SFC_SW_DWN,2005,1.94,3.99,9.52,15.19,19.01,20.67,17.23,14.23,11.48,6.55,2.07,1.21,10.29
ALLSKY_SFC_SW_DWN,2006,1.64,3.37,8.03,12.69,18.59,20.03,21.71,14.47,11.3,5.16,2.27,0.97,10.06
ALLSKY_SFC_SW_DWN,2007,1.75,2.98,10.08,16.47,17.83,19.79,16.67,15.36,10.59,5.95,2.64,1.06,10.13
ALLSKY_SFC_SW_DWN,2008,1.44,3.51,7.96,14.37,23.08,22.94,20.88,14.31,10.01,5.38,2.14,1.17,10.62
ALLSKY_SFC_SW_DWN,2009,1.45,3.87,8.27,16.3,20.68,23.23,18.59,15.24,10.58,5.87,1.55,1.1,10.59
ALLSKY_SFC_SW_DWN,2010,1.53,2.88,9.0,14.22,17.93,21.33,19.13,14.14,10.51,5.26,2.28,1.35,10.0
ALLSKY_SFC_SW_DWN,2011,2.03,3.08,8.94,16.48,17.71,20.42,16.21,13.58,9.29,5.75,1.68,1.2,9.73
ALLSKY_SFC_SW_DWN,2012,1.86,4.18,9.42,13.26,19.44,18.07,18.91,15.8,9.05,4.74,2.07,1.05,9.84
ALLSKY_SFC_SW_DWN,2013,1.64,3.54,9.49,16.02,18.1,19.58,21.56,15.91,9.98,4.93,2.4,1.15,10.4
ALLSKY_SFC_SW_DWN,2014,1.02,3.58,8.61,14.96,18.69,22.92,20.06,14.0,10.91,4.55,1.7,1.2,10.21
ALLSKY_SFC_SW_DWN,2015,1.65,3.54,8.56,16.44,17.56,20.0,18.27,16.39,10.65,4.99,2.11,1.0,10.13
ALLSKY_SFC_SW_DWN,2016,1.74,4.73,7.95,12.99,19.21,20.15,16.7,15.45,11.61,4.73,2.22,1.31,9.91
ALLSKY_SFC_SW_DWN,2017,2.01,3.58,8.16,14.54,19.3,19.26,18.81,14.61,8.91,5.05,2.47,1.2,9.86
ALLSKY_SFC_SW_DWN,2018,1.57,3.94,7.28,13.81,23.45,23.25,23.28,13.44,10.19,5.69,1.93,1.1,10.78
ALLSKY_SFC_SW_DWN,2019,1.7,4.2,8.84,17.18,18.86,19.96,18.59,14.55,9.98,5.28,1.6,1.18,10.19
ALLSKY_SFC_SW_DWN,2020,1.63,3.48,10.47,17.28,20.9,20.86,16.69,16.55,10.48,5.01,2.27,0.9,10.56
ALLSKY_SFC_SW_DWN,2021,1.79,4.52,9.21,17.01,15.17,20.89,18.54,15.26,9.87,5.18,2.13,1.15,10.08
ALLSKY_SFC_SW_DWN,2022,1.9,4.32,11.78,16.95,19.04,19.48,19.39,16.68,10.99,5.38,1.99,1.17,10.79
ALLSKY_SFC_SW_DWN,2023,1.77,4.51,7.51,16.43,21.68,24.05,17.77,13.68,10.92,4.76,2.03,1.12,10.54
