# Area: Estonia
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  58.6   Longitude 25.01 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 40.68 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DWN,1981,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1982,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1983,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1984,1.18,4.14,10.42,15.1,19.8,19.95,15.65,14.83,7.06,3.33,1.42,0.74,9.48
ALLSKY_SFC_SW_DWN,1985,1.04,4.03,9.12,14.97,18.05,18.16,16.43,13.83,8.56,4.0,1.37,0.8,9.22
ALLSKY_SFC_SW_DWN,1986,1.16,4.48,9.32,12.73,17.39,20.93,17.47,13.74,8.64,4.18,1.54,0.78,9.39
ALLSKY_SFC_SW_DWN,1987,1.0,3.23,9.79,15.29,15.18,18.78,19.15,12.78,8.76,4.8,1.59,0.71,9.29
ALLSKY_SFC_SW_DWN,1988,1.13,3.48,8.72,11.71,20.84,21.38,18.23,11.01,9.13,4.36,1.66,0.76,9.38
ALLSKY_SFC_SW_DWN,1989,1.07,2.95,6.28,11.72,21.98,19.63,20.0,12.56,9.36,4.47,1.42,0.73,9.39
ALLSKY_SFC_SW_DWN,1990,1.12,2.95,7.03,15.51,19.82,21.43,15.85,14.87,8.31,4.0,1.52,0.82,9.46
ALLSKY_SFC_SW_DWN,1991,1.11,4.14,7.2,12.01,16.86,17.09,19.86,15.44,9.7,4.56,1.65,0.71,9.23
ALLSKY_SFC_SW_DWN,1992,1.15,3.54,6.74,9.45,20.06,23.75,19.66,14.21,8.36,4.62,1.65,0.8,9.52
ALLSKY_SFC_SW_DWN,1993,1.14,3.46,6.61,14.21,20.35,19.49,18.21,14.24,9.74,4.31,1.88,0.71,9.56
ALLSKY_SFC_SW_DWN,1994,1.01,4.12,8.25,12.59,19.79,20.23,23.46,14.58,7.92,4.04,1.61,0.73,9.9
ALLSKY_SFC_SW_DWN,1995,1.16,2.26,5.74,13.15,16.96,20.55,21.33,16.88,9.93,4.42,1.71,0.76,9.61
ALLSKY_SFC_SW_DWN,1996,1.4,4.08,9.92,15.21,16.77,20.03,17.41,18.3,10.36,3.78,1.47,0.76,9.97
ALLSKY_SFC_SW_DWN,1997,1.2,3.49,8.27,12.84,17.93,20.45,20.74,18.92,9.82,4.61,1.37,0.75,10.07
ALLSKY_SFC_SW_DWN,1998,1.08,2.87,9.29,14.93,19.65,17.96,17.7,12.86,10.04,4.66,1.78,0.71,9.5
ALLSKY_SFC_SW_DWN,1999,1.06,3.5,9.43,12.38,19.61,22.76,22.06,16.55,11.18,3.74,1.67,0.76,10.43
ALLSKY_SFC_SW_DWN,2000,1.03,3.39,7.62,14.04,19.74,20.75,16.98,13.99,11.14,3.95,0.93,0.71,9.53
ALLSKY_SFC_SW_DWN,2001,1.08,3.43,8.47,11.07,19.42,18.39,20.77,14.92,8.62,3.89,1.53,0.92,9.42
ALLSKY_SFC_SW_DWN,2002,0.99,3.15,8.92,14.92,23.38,20.06,18.55,17.62,10.01,4.84,1.32,1.0,10.44
ALLSKY_SFC_SW_DWN,2003,1.08,3.34,9.44,13.02,16.83,19.14,18.79,13.81,10.27,4.73,1.12,0.8,9.4
ALLSKY_SFC_SW_DWN,2004,1.14,3.72,8.08,16.01,18.28,17.8,16.85,14.9,7.98,4.22,1.74,0.76,9.3
ALLSKY_SFC_SW_DWN,2005,1.06,3.83,9.99,13.38,18.02,20.82,19.76,14.25,10.25,5.4,1.5,0.87,9.96
ALLSKY_SFC_SW_DWN,2006,1.44,4.17,9.2,13.28,18.69,21.02,22.16,14.78,10.73,3.8,1.55,0.81,10.17
ALLSKY_SFC_SW_DWN,2007,1.32,4.6,8.37,14.75,17.63,21.94,17.06,16.51,9.28,3.74,1.43,0.69,9.8
ALLSKY_SFC_SW_DWN,2008,1.17,2.95,7.0,14.46,20.57,20.61,18.87,12.13,7.96,4.01,1.66,0.76,9.36
ALLSKY_SFC_SW_DWN,2009,1.21,3.39,7.42,16.77,19.57,18.15,17.64,15.27,9.19,3.85,1.36,0.67,9.57
ALLSKY_SFC_SW_DWN,2010,1.73,3.29,7.98,13.58,17.68,19.65,21.29,14.16,7.84,5.36,1.53,0.7,9.61
ALLSKY_SFC_SW_DWN,2011,1.18,5.08,8.84,15.15,18.24,22.24,18.37,14.81,9.26,4.9,1.69,0.77,10.06
ALLSKY_SFC_SW_DWN,2012,1.2,3.95,9.0,13.12,19.5,19.77,18.5,13.94,8.41,3.8,1.45,0.67,9.46
ALLSKY_SFC_SW_DWN,2013,1.39,3.25,11.18,14.38,20.18,20.05,18.7,15.79,10.71,4.26,1.58,0.75,10.23
ALLSKY_SFC_SW_DWN,2014,1.83,2.53,8.67,16.64,17.18,16.89,21.06,15.08,10.48,4.38,1.35,0.76,9.78
ALLSKY_SFC_SW_DWN,2015,1.05,3.2,7.7,12.05,17.31,20.44,17.69,18.6,9.01,5.69,1.55,0.92,9.64
ALLSKY_SFC_SW_DWN,2016,1.18,2.65,8.23,13.83,22.15,19.28,16.85,13.42,10.29,4.58,1.4,0.85,9.58
ALLSKY_SFC_SW_DWN,2017,1.09,3.37,7.51,12.78,20.82,20.5,18.38,14.21,8.42,3.87,1.59,0.81,9.48
ALLSKY_SFC_SW_DWN,2018,1.08,4.0,8.89,13.48,23.55,21.24,19.07,14.94,9.64,4.67,1.42,0.71,10.26
ALLSKY_SFC_SW_DWN,2019,1.31,3.48,8.21,16.99,18.01,22.52,18.84,15.31,9.86,3.93,1.28,0.78,10.07
ALLSKY_SFC_SW_DWN,2020,1.07,3.1,9.13,14.18,19.17,20.67,18.71,15.12,9.17,4.41,1.53,0.76,9.77
ALLSKY_SFC_SW_DWN,2021,1.05,3.91,7.66,14.4,15.94,23.15,20.61,13.02,9.38,4.82,1.68,0.88,9.73
ALLSKY_SFC_SW_DWN,2022,1.34,3.57,10.42,14.85,18.73,21.58,19.52,16.96,10.21,4.26,1.48,0.84,10.35
ALLSKY_SFC_SW_DWN,2023,1.1,3.34,8.23,14.9,21.5,23.65,18.5,13.35,10.33,4.58,1.6,0.83,10.19
