# Area: Fiji
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  -17.71   Longitude 178.07 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 212.73 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DWN,1981,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1982,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1983,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1984,20.77,19.95,18.57,15.83,12.32,11.48,12.84,15.39,18.51,18.32,18.47,21.66,17.0
ALLSKY_SFC_SW_DWN,1985,22.54,20.79,16.33,17.57,15.06,12.42,12.94,15.33,19.04,19.63,20.36,22.28,17.84
ALLSKY_SFC_SW_DWN,1986,21.74,22.18,18.66,14.6,14.28,13.23,13.81,15.01,17.16,22.43,20.55,20.21,17.8
ALLSKY_SFC_SW_DWN,1987,25.54,19.2,19.48,16.82,14.18,13.03,13.25,15.63,17.83,20.86,21.17,20.89,18.16
ALLSKY_SFC_SW_DWN,1988,21.27,19.24,18.59,15.52,13.32,12.54,12.85,15.8,17.76,20.99,21.39,20.25,17.46
ALLSKY_SFC_SW_DWN,1989,22.09,17.5,19.28,15.57,13.48,12.76,13.62,15.63,18.17,20.36,21.49,23.28,17.78
ALLSKY_SFC_SW_DWN,1990,21.06,22.55,17.41,16.88,14.67,13.05,13.51,15.14,16.45,19.91,19.97,21.92,17.68
ALLSKY_SFC_SW_DWN,1991,19.41,20.22,18.17,17.51,14.28,13.59,13.45,14.3,16.92,18.53,20.12,22.95,17.44
ALLSKY_SFC_SW_DWN,1992,23.1,21.79,19.98,14.81,14.0,12.16,12.67,15.19,18.76,18.96,21.68,19.52,17.71
ALLSKY_SFC_SW_DWN,1993,21.4,19.38,17.92,15.86,13.23,13.42,13.2,13.05,17.93,20.78,21.66,22.39,17.5
ALLSKY_SFC_SW_DWN,1994,19.65,18.94,18.25,16.74,13.89,13.12,13.51,15.83,15.25,21.5,21.59,23.33,17.63
ALLSKY_SFC_SW_DWN,1995,20.64,21.42,18.89,16.3,15.24,13.21,13.37,15.52,17.2,21.99,20.6,23.21,18.12
ALLSKY_SFC_SW_DWN,1996,19.79,20.95,17.85,18.06,13.45,11.63,13.76,16.2,17.1,21.71,21.43,20.96,17.73
ALLSKY_SFC_SW_DWN,1997,20.95,20.19,19.41,13.85,13.51,13.25,11.89,14.46,17.31,19.51,23.55,24.07,17.65
ALLSKY_SFC_SW_DWN,1998,20.95,23.68,19.17,19.15,14.94,13.92,14.64,16.85,17.35,20.82,20.76,22.13,18.66
ALLSKY_SFC_SW_DWN,1999,18.36,17.72,19.92,15.4,13.7,12.65,13.74,14.12,16.68,20.26,20.84,20.22,16.97
ALLSKY_SFC_SW_DWN,2000,20.66,19.73,18.22,14.86,13.61,13.09,13.37,15.39,15.84,20.34,19.71,20.15,17.08
ALLSKY_SFC_SW_DWN,2001,21.29,20.8,18.53,17.33,13.48,12.69,12.9,15.92,18.0,21.57,23.48,21.79,18.13
ALLSKY_SFC_SW_DWN,2002,20.38,20.18,19.92,15.69,13.22,13.93,12.52,13.21,16.3,19.61,16.79,21.74,16.95
ALLSKY_SFC_SW_DWN,2003,20.68,22.47,18.68,16.42,14.82,12.1,12.5,14.82,19.55,21.69,21.0,19.64,17.83
ALLSKY_SFC_SW_DWN,2004,24.6,19.53,18.87,16.0,15.57,11.24,14.25,12.27,17.2,20.74,22.16,21.23,17.81
ALLSKY_SFC_SW_DWN,2005,21.03,23.1,19.73,14.21,15.85,12.86,13.84,15.52,17.58,21.15,19.15,22.44,18.02
ALLSKY_SFC_SW_DWN,2006,19.78,19.58,20.92,18.79,13.99,12.62,13.25,14.65,16.71,16.56,23.32,19.71,17.47
ALLSKY_SFC_SW_DWN,2007,22.92,16.29,15.76,15.53,15.09,13.99,13.47,15.63,16.14,19.68,20.24,20.12,17.08
ALLSKY_SFC_SW_DWN,2008,17.69,19.51,18.35,16.75,11.7,11.8,14.05,16.28,17.88,20.68,22.2,22.35,17.43
ALLSKY_SFC_SW_DWN,2009,16.76,21.11,17.18,15.46,13.26,11.28,12.58,14.97,15.85,19.92,20.43,20.52,16.58
ALLSKY_SFC_SW_DWN,2010,22.88,22.14,18.16,14.98,14.32,12.88,13.59,17.95,20.12,18.34,16.29,20.32,17.64
ALLSKY_SFC_SW_DWN,2011,19.83,20.34,19.43,16.32,14.04,13.76,13.57,13.8,16.81,18.89,18.38,20.74,17.14
ALLSKY_SFC_SW_DWN,2012,18.5,18.06,18.69,14.77,14.31,12.12,13.23,15.38,16.6,19.94,19.45,21.46,16.88
ALLSKY_SFC_SW_DWN,2013,22.73,18.96,16.42,16.38,13.58,12.53,13.31,14.62,17.31,17.99,20.71,22.16,17.22
ALLSKY_SFC_SW_DWN,2014,22.83,19.89,19.75,16.46,14.28,13.53,13.78,15.67,19.17,18.06,22.3,19.52,17.92
ALLSKY_SFC_SW_DWN,2015,20.42,20.35,20.07,17.26,14.32,12.06,14.08,14.02,16.74,20.55,21.86,20.22,17.65
ALLSKY_SFC_SW_DWN,2016,24.43,21.56,19.56,14.05,15.86,14.71,14.92,13.32,19.68,20.49,23.66,19.17,18.44
ALLSKY_SFC_SW_DWN,2017,22.53,16.23,16.97,18.69,14.41,12.78,14.08,16.14,18.58,21.64,19.41,19.59,17.6
ALLSKY_SFC_SW_DWN,2018,22.48,19.3,18.26,15.63,15.58,12.84,15.18,17.79,17.35,15.86,23.12,21.62,17.91
ALLSKY_SFC_SW_DWN,2019,18.78,20.86,17.92,16.07,15.37,13.38,14.26,15.76,18.33,18.5,19.57,22.18,17.56
ALLSKY_SFC_SW_DWN,2020,23.13,23.78,16.33,14.79,14.02,12.56,14.34,17.39,17.84,19.88,21.95,19.19,17.91
ALLSKY_SFC_SW_DWN,2021,18.68,19.13,17.64,18.18,13.0,13.7,15.06,16.6,18.22,22.69,22.44,20.65,17.99
ALLSKY_SFC_SW_DWN,2022,18.1,18.96,17.32,16.08,15.1,14.38,15.35,16.18,20.84,19.23,23.15,20.62,17.93
ALLSKY_SFC_SW_DWN,2023,20.52,18.4,19.44,18.45,14.11,12.82,12.21,14.37,18.12,21.0,22.1,24.19,17.98
